SA1_7DIGITCODE_2016	Sex	labourForceParticipation
1131017	F	70.5
1131017	M	76.7
1131018	F	72.7
1131018	M	84.5
1131019	F	71.5
1131019	M	82.8
1131020	F	58.9
1131020	M	76.5
1131021	F	69.2
1131021	M	80.9
1131022	F	72.3
1131022	M	85.1
1131025	F	70.3
1131025	M	82.9
1131027	F	76.9
1131027	M	92.2
1131030	F	63.3
1131030	M	79.7
1131032	F	67.5
1131032	M	73.8
1131033	F	75.4
1131033	M	79
1131034	F	69.4
1131034	M	80.8
1131035	F	67.3
1131035	M	83.9
1131036	F	71.7
1131036	M	78.3
1131037	F	66.3
1131037	M	76.3
1131038	F	69
1131038	M	84.6
1131039	F	71.2
1131039	M	75.4
1131040	F	71.2
1131040	M	75.9
1131041	F	72.3
1131041	M	81.6
1131042	F	74.4
1131042	M	85.5
1131043	F	70.7
1131043	M	82.1
1131044	F	63.1
1131044	M	74.8
1131045	F	65.4
1131045	M	77.4
1131046	F	74
1131046	M	84
1131047	F	72
1131047	M	84.3
1131048	F	39.6
1131048	M	41.9
1131049	F	67.1
1131049	M	82.6
1131050	F	65.4
1131050	M	79.2
1131051	F	71.2
1131051	M	80.6
1131052	F	68.9
1131052	M	74.1
1131053	F	72.6
1131053	M	87.3
1131054	F	67.1
1131054	M	82.9
1131055	F	71.6
1131055	M	81.5
1131056	F	63.2
1131056	M	82.3
1131057	F	75
1131057	M	84.1
1131058	F	67.1
1131058	M	81.3
1131059	F	71.4
1131059	M	80.5
1131060	F	65
1131060	M	79.5
1131061	F	72.6
1131061	M	84.5
1131062	F	75.9
1131062	M	82.5
1131063	F	71.5
1131063	M	79.8
1131064	F	72.6
1131064	M	77.1
1131065	F	69
1131065	M	81.2
1131066	F	78.2
1131066	M	80.5
1131067	F	68.6
1131067	M	77.6
1131201	F	58.2
1131201	M	56
1131203	F	75
1131203	M	81
1131204	F	44
1131204	M	58.8
1131205	F	51.7
1131205	M	64
1131206	F	53.8
1131206	M	64.4
1131207	F	58.9
1131207	M	66.4
1131208	F	52.7
1131208	M	73.5
1131209	F	53.3
1131209	M	65.5
1131210	F	62.8
1131210	M	68
1131211	F	48.4
1131211	M	60.6
1131213	F	58.6
1131213	M	70.9
1131214	F	66.1
1131214	M	70.8
1131215	F	56.3
1131215	M	65.4
1131216	F	59.3
1131216	M	71.3
1131217	F	55.8
1131217	M	76.6
1131218	F	52.3
1131218	M	66.4
1131219	F	59.5
1131219	M	77.9
1131220	F	67.8
1131220	M	73.7
1131221	M	77.8
1131222	F	55.7
1131222	M	64.4
1131223	F	56.2
1131223	M	66.9
1131226	F	62.2
1131226	M	73
1131227	F	51
1131227	M	63.7
1131228	F	60
1131228	M	69.9
1131229	F	38.6
1131229	M	55.3
1131230	F	65.4
1131230	M	69.2
1131231	F	65
1131231	M	77
1131232	F	53.8
1131232	M	69.6
1131233	F	53.1
1131233	M	67.3
1131234	F	53.2
1131234	M	62.8
1131235	F	47.5
1131235	M	53.2
1131236	F	73.2
1131236	M	82.3
1131237	M	100
1131238	F	76
1131238	M	81.8
1131239	F	69.5
1131239	M	78.7
1131240	F	69.4
1131240	M	79.9
1131241	F	71
1131241	M	85.6
1131301	F	34.6
1131301	M	45.3
1131302	F	42.6
1131302	M	52.1
1131303	F	33
1131303	M	44.8
1131304	F	27.1
1131304	M	37.8
1131305	F	47.5
1131305	M	58.6
1131306	F	36
1131306	M	44.1
1131307	F	42.7
1131307	M	57.6
1131308	F	31.7
1131308	M	47.6
1131309	F	43.6
1131309	M	48.5
1131310	F	53.8
1131310	M	67.2
1131311	F	22.7
1131311	M	35.7
1131312	F	22.3
1131312	M	38.2
1131313	F	46.3
1131313	M	63.8
1131314	F	40.5
1131314	M	53
1131315	F	38.5
1131315	M	59.6
1131316	F	24.1
1131316	M	47.1
1131317	F	38.1
1131317	M	54.1
1131318	F	44.7
1131318	M	54.9
1131319	F	43.8
1131319	M	62.4
1131320	F	43.8
1131320	M	63.9
1131321	F	32.8
1131321	M	43
1131322	F	35.3
1131322	M	55.2
1131323	F	32.8
1131323	M	36.7
1131325	F	35.7
1131325	M	56.1
1131326	F	58.2
1131326	M	55.7
1131327	F	52
1131327	M	69.2
1131328	F	53.9
1131328	M	68.2
1131330	F	31.1
1131330	M	39.3
1131332	F	40.2
1131332	M	57.9
1131333	F	42.6
1131333	M	54.3
1131334	F	49.5
1131334	M	65.1
1131335	F	47.7
1131335	M	65.3
1131336	F	37.3
1131336	M	48.9
1131337	F	44.3
1131337	M	56
1131338	F	60.7
1131338	M	66.2
1131339	F	35.3
1131339	M	63.3
1131340	F	32.9
1131340	M	63.5
1131341	F	30.1
1131341	M	52.5
1131342	F	40.4
1131342	M	47.9
1131343	F	48
1131343	M	54
1131345	F	40.7
1131345	M	59.6
1131346	F	31.2
1131346	M	48.5
1131347	F	39.9
1131347	M	58
1131348	F	58.9
1131348	M	65.5
1131349	F	46.7
1131349	M	68.4
1131350	F	42.3
1131350	M	61.7
1131351	F	58.5
1131351	M	66.7
1131352	F	45.8
1131352	M	53.7
1131401	F	71.3
1131401	M	77.2
1131402	F	57.1
1131402	M	78
1131403	F	61.2
1131403	M	73.3
1131404	F	70.7
1131404	M	84
1131405	F	65.8
1131405	M	77.7
1131406	F	62.8
1131406	M	75.2
1131407	F	61
1131407	M	66.7
1131408	F	75.7
1131408	M	76.1
1131409	F	56.2
1131409	M	69.7
1131410	F	62.5
1131410	M	76.8
1131411	F	59.1
1131411	M	69.1
1131412	F	55.3
1131412	M	77
1131413	F	59.4
1131413	M	61.1
1131414	F	67.8
1131414	M	76.9
1131415	F	63.2
1131415	M	72.4
1131416	F	24.7
1131416	M	36.6
1131417	F	56.2
1131417	M	68.8
1131419	F	62.4
1131419	M	82.7
1131420	M	100
1131421	F	100
1131421	M	60
1131422	F	69.9
1131422	M	82.2
1131423	F	61.5
1131423	M	75.7
1131501	F	61.7
1131501	M	75.2
1131502	F	67.6
1131502	M	76.1
1131503	F	61
1131503	M	67
1131504	F	65.2
1131504	M	72.8
1131505	F	67.1
1131505	M	79.9
1131506	F	63.8
1131506	M	76.8
1131507	F	79.5
1131507	M	89.4
1131508	F	62.1
1131508	M	70.7
1131509	F	56.5
1131509	M	71.7
1131510	F	58.8
1131510	M	66.9
1131511	F	55.9
1131511	M	69.4
1131512	F	59.9
1131512	M	79.6
1131513	F	67.8
1131513	M	66.9
1131514	F	60
1131514	M	67.8
1131515	F	58
1131515	M	71.7
1131516	F	54.8
1131516	M	73.7
1131517	F	60
1131517	M	74.3
1131518	F	52.9
1131518	M	79.3
1131519	F	65.7
1131519	M	70.1
1131520	F	61.9
1131520	M	75.6
1131521	F	58.6
1131521	M	72.2
1131522	F	65.6
1131522	M	73.5
1131523	F	62.3
1131523	M	68.9
1131524	F	58.1
1131524	M	72.8
1131525	F	65.7
1131525	M	73.8
1131526	F	58
1131526	M	74.1
1131527	F	54.6
1131527	M	69.8
1131528	F	51.7
1131528	M	70.9
1131529	F	63
1131529	M	76.6
1131530	F	61.6
1131530	M	73
1131531	F	63
1131531	M	76.5
1131532	F	61.7
1131532	M	76
1131533	F	64.9
1131533	M	75.8
1131534	F	58
1131534	M	69.6
1131535	F	56.9
1131535	M	63.4
1131536	F	48.1
1131536	M	61.2
1131537	F	59.4
1131537	M	76.5
1131538	F	61.4
1131538	M	76.3
1131539	F	61.7
1131539	M	69.1
1131540	F	64
1131540	M	72.5
1131541	F	61.5
1131541	M	82.3
1131542	F	60.7
1131542	M	75.8
1131543	F	64
1131543	M	74.8
1131544	F	53.6
1131544	M	62.1
1131545	F	58
1131545	M	74.2
1131546	F	60.8
1131546	M	71.4
1131602	F	40.6
1131602	M	36.5
1131603	F	37.8
1131603	M	53.8
1131605	F	36.1
1131605	M	59.4
1131606	F	39.4
1131606	M	51.4
1131607	F	40.3
1131607	M	55.4
1131608	F	39.3
1131608	M	44
1131609	F	39.8
1131609	M	45.8
1131610	F	35.3
1131610	M	57.1
1131611	F	32.4
1131611	M	35.9
1131612	F	42.1
1131612	M	54.3
1131613	F	45.3
1131613	M	49.4
1131614	F	52.3
1131614	M	66.3
1131615	F	62
1131615	M	71.8
1131616	F	49.5
1131616	M	53.5
1131617	F	31.4
1131617	M	41.3
1131618	F	34.3
1131618	M	52.5
1131619	F	43.2
1131619	M	54.9
1131620	F	41.7
1131620	M	59
1131621	F	36
1131621	M	44.1
1131622	F	49.3
1131622	M	61.1
1131623	F	49.6
1131623	M	68.4
1131624	F	34.8
1131624	M	51.9
1131625	F	34.1
1131625	M	34.3
1131626	F	37.1
1131626	M	49.6
1131627	F	28.5
1131627	M	64.2
1131628	F	42.4
1131628	M	52.5
1131629	F	37.4
1131629	M	46.2
1131630	F	35.5
1131630	M	52.4
1131631	F	43.9
1131631	M	53.7
1131632	F	30.2
1131632	M	39.3
1131633	F	35.7
1131633	M	41.2
1131634	F	42.1
1131634	M	53.5
1131635	F	34.2
1131635	M	48.3
1131636	F	25.9
1131636	M	31.2
1131638	F	33.7
1131638	M	43.8
1131639	F	37.3
1131639	M	55.5
1131640	F	44.5
1131640	M	50.5
1131641	F	35.5
1131641	M	56.5
1131642	F	70.8
1131642	M	89.2
1131643	F	67.1
1131643	M	83.6
1131644	F	67.2
1131644	M	84.8
1131645	F	30.1
1131645	M	40.3
1131646	F	64
1131646	M	82.4
1131647	F	67.9
1131647	M	83.9
1131648	F	66.8
1131648	M	79.4
1131649	F	67.5
1131649	M	79.4
1131651	M	100
1131701	M	60
1131702	F	40.5
1131702	M	54.7
1131703	F	39
1131703	M	54.7
1131705	F	48.8
1131705	M	61.3
1131706	F	36.7
1131706	M	46.3
1131707	F	37
1131707	M	48.6
1131708	F	37.9
1131708	M	56.6
1131709	F	38.3
1131709	M	57
1131710	F	44.1
1131710	M	57.7
1131711	F	35.7
1131711	M	55.5
1131712	F	43.4
1131712	M	65.1
1131714	F	36.4
1131714	M	41.7
1131715	F	34.5
1131715	M	59
1131718	F	45.4
1131718	M	56.7
1131719	F	50.5
1131719	M	61.9
1131720	F	47.4
1131720	M	58.8
1131721	F	39.2
1131721	M	58.3
1131723	F	34.4
1131723	M	53.8
1131724	F	53.1
1131724	M	54.2
1131725	F	35.1
1131725	M	49.6
1131726	F	38.8
1131726	M	50
1131727	F	41.1
1131727	M	57.1
1131728	F	53.9
1131728	M	70.4
1131729	F	51.1
1131729	M	52.6
1131730	F	48.6
1131730	M	55.7
1131731	F	41.9
1131731	M	57.1
1131732	F	42.2
1131732	M	52.9
1131733	F	28.2
1131733	M	38.7
1131734	F	45.4
1131734	M	64.5
1131736	F	41.9
1131736	M	72.5
1131737	F	40.3
1131737	M	62.4
1131738	F	49
1131738	M	75.6
1131739	F	56.1
1131739	M	77.4
1131742	F	54.3
1131742	M	71.4
1131744	F	52.7
1131744	M	66.7
1131746	F	43.7
1131746	M	64.7
1131747	F	55.6
1131747	M	68.4
1131748	F	55.8
1131748	M	57
1131749	F	44.2
1131749	M	62.1
1131750	F	50.6
1131750	M	72.4
1131751	F	51.1
1131751	M	52.8
1131752	F	54.5
1131752	M	78.3
1131753	F	48.8
1131753	M	69
1131754	F	49
1131754	M	69.1
1131755	F	47.3
1131755	M	62.6
1131756	F	46.6
1131756	M	61
1131757	F	42.7
1131757	M	67.3
1131758	F	40.9
1131758	M	69.6
1131759	F	41.1
1131759	M	62.2
1131760	F	49.6
1131760	M	73.4
1131761	F	37.6
1131761	M	62.3
1131762	F	54.2
1131762	M	82.9
1131801	F	100
1131801	M	42.9
1131901	F	60.4
1131901	M	78.6
1131902	F	56.3
1131902	M	73.2
1131903	F	64.8
1131903	M	76.4
1131904	F	66.7
1131904	M	83.7
1131905	F	62
1131905	M	72.9
1131906	F	61.9
1131906	M	80.3
1131907	F	54.6
1131907	M	71.5
1131908	F	61.7
1131908	M	77.9
1131909	F	63.3
1131909	M	75.8
1131910	M	81.8
1131912	F	56
1131912	M	72.5
1131913	F	51.9
1131913	M	72.6
1131914	F	58.3
1131914	M	70.7
1131915	F	52.5
1131915	M	64.6
1131916	F	58.2
1131916	M	69.8
1131917	F	58.7
1131917	M	72
1131918	F	52.4
1131918	M	66.5
1131919	F	38.8
1131919	M	51.8
1131920	M	133.3
1131921	F	56.9
1131921	M	68
1131922	F	53.2
1131922	M	68.6
1131923	F	41
1131923	M	60.3
1131924	F	58.2
1131924	M	69.9
1131925	F	49.7
1131925	M	74.8
1131926	F	22.4
1131926	M	46.6
1131927	F	67.6
1131927	M	67.9
1131928	F	52.3
1131928	M	64
1131929	F	48.2
1131929	M	60.2
1131930	F	50.8
1131930	M	75
1131931	F	64
1131931	M	76.3
1131932	F	55.9
1131932	M	65.3
1131933	F	48.8
1131933	M	60.4
1131934	F	56.5
1131934	M	63.6
1131935	F	63.2
1131935	M	73.5
1131936	F	62
1131936	M	75.2
1131937	F	62.5
1131937	M	77.9
1131938	F	53.5
1131938	M	65.4
1131939	F	60.2
1131939	M	73.1
1131940	F	75.2
1131940	M	84.1
1131941	F	61.2
1131941	M	75.2
1131942	F	63.2
1131942	M	82.4
1131943	F	54.9
1131943	M	70.2
1131944	F	65.2
1131944	M	79.3
1131945	F	63.6
1131945	M	81.7
1131946	F	55.1
1131946	M	73.1
1131947	F	61.5
1131947	M	68.3
1131948	F	59
1131948	M	68.1
1132001	F	100
1132001	M	40
1132002	F	100
1132002	M	100
1132102	F	82.7
1132102	M	84.7
1132103	F	66.9
1132103	M	71.3
1132104	F	68
1132104	M	78.4
1132105	F	64.4
1132105	M	70.1
1132106	F	61
1132106	M	61.4
1132108	F	62.6
1132108	M	61.3
1132109	F	63
1132109	M	66.5
1132111	F	68.1
1132111	M	76.3
1132112	F	62.2
1132112	M	69
1132113	F	66.5
1132113	M	70.6
1132114	F	62.6
1132114	M	74.4
1132115	F	30.6
1132115	M	36.6
1132116	F	70.6
1132116	M	74.9
1132117	F	62
1132117	M	67
1132118	F	69.5
1132118	M	76.8
1132119	F	72.7
1132119	M	81.8
1132120	F	100
1132120	M	100
1132123	M	100
1132124	F	71.4
1132124	M	79.9
1132125	F	64.5
1132125	M	54.5
1132126	F	64.8
1132126	M	70.8
1132127	F	63.9
1132127	M	75.6
1132128	F	63.9
1132128	M	82
1132129	F	66.7
1132129	M	71.7
1132130	F	68.7
1132130	M	70.2
1132201	F	60.2
1132201	M	74.2
1132202	F	52.6
1132202	M	73.1
1132203	F	51.5
1132203	M	67.6
1132204	F	56.6
1132204	M	59.5
1132205	F	65.5
1132205	M	75
1132206	F	67.4
1132206	M	76.3
1132207	F	56
1132207	M	67.3
1132208	F	56.6
1132208	M	66.2
1132209	F	63.6
1132209	M	72.7
1132210	F	60.1
1132210	M	64.6
1132211	F	61.1
1132211	M	68.8
1132212	F	56.1
1132212	M	61.5
1132213	F	52.2
1132213	M	64.4
1132214	F	61.4
1132214	M	56.2
1132215	F	62.7
1132215	M	76
1132216	F	70.2
1132216	M	84.3
1132217	F	62
1132217	M	66.1
1132218	F	55.2
1132218	M	68.4
1132220	F	16.1
1132220	M	20.9
1132221	F	60.5
1132221	M	75.2
1132222	F	53.9
1132222	M	59.6
1132223	F	46.5
1132223	M	70.4
1132224	F	20
1132224	M	22.4
1132225	F	53.6
1132225	M	61.5
1132226	F	61.8
1132226	M	60
1132227	F	53.1
1132227	M	61.9
1132228	F	61.1
1132228	M	57.7
1132229	F	63
1132229	M	64.9
1132230	F	56.8
1132230	M	76.7
1132231	F	57.8
1132231	M	74.3
1132232	F	27.5
1132232	M	31.4
1132233	F	54.1
1132233	M	68.5
1132234	F	50.6
1132234	M	67.5
1132235	F	48.6
1132235	M	62.6
1132236	F	49.3
1132236	M	60.3
1132237	F	52.9
1132237	M	62.9
1132238	F	56.1
1132238	M	69.8
1132239	F	53.4
1132239	M	62
1132240	F	56.5
1132240	M	65.9
1132241	F	49
1132241	M	51.9
1132242	F	56.2
1132242	M	70.4
1132243	F	58.4
1132243	M	63.5
1132244	F	48.9
1132244	M	64
1132245	F	54.3
1132245	M	59.2
1132246	F	54.4
1132246	M	59.7
1132247	F	49.3
1132247	M	67.2
1132249	F	78.3
1132249	M	86.1
1132250	F	73.1
1132250	M	79.9
1132251	F	70.4
1132251	M	76.3
1132301	F	60.7
1132301	M	59.6
1132302	F	52.5
1132302	M	60.2
1132303	F	49.5
1132303	M	51.9
1132304	F	56.5
1132304	M	65.4
1132305	F	45.9
1132305	M	60.1
1132306	F	22.1
1132306	M	33
1132307	F	62.6
1132307	M	61.2
1132308	F	20.7
1132308	M	32.4
1132309	F	57.3
1132309	M	64.8
1132310	F	55.6
1132310	M	58.7
1132311	F	58.7
1132311	M	70.1
1132312	F	57.9
1132312	M	70.8
1132313	F	59
1132313	M	73.7
1132314	F	54.8
1132314	M	64.2
1132315	F	57.5
1132315	M	68
1132316	F	70.1
1132316	M	81.9
1132317	F	50.3
1132317	M	61.7
1132318	F	62.4
1132318	M	78.9
1132319	F	56.1
1132319	M	51.7
1132320	F	51.9
1132320	M	62.5
1132322	F	49.2
1132322	M	60.6
1132323	F	62.7
1132323	M	66.9
1132325	F	57
1132325	M	65.2
1132326	F	59.3
1132326	M	65
1132327	F	60.9
1132327	M	70.6
1132328	F	61.9
1132328	M	64.7
1132329	F	57.7
1132329	M	68.5
1132401	F	100
1132501	F	43.5
1132501	M	31.6
1132601	F	73.9
1132601	M	71.6
1132602	F	60.1
1132602	M	65.3
1132603	F	66.3
1132603	M	62.5
1132604	F	64.8
1132604	M	66.9
1132605	F	59.1
1132605	M	60.1
1132606	F	66
1132606	M	69.9
1132607	F	62.6
1132607	M	70.8
1132608	F	64.9
1132608	M	68.8
1132609	F	67
1132609	M	68.4
1132610	F	73.7
1132610	M	72.9
1132611	F	66.2
1132611	M	71.5
1132612	F	51
1132612	M	57.4
1132613	F	73.9
1132613	M	75.3
1132614	F	61.6
1132614	M	62.3
1132615	F	56.3
1132615	M	62.9
1132616	F	72.2
1132616	M	75.5
1132617	F	69.8
1132617	M	62.7
1132618	F	51.4
1132618	M	50.3
1132619	F	55.7
1132619	M	58.4
1132620	F	65.7
1132620	M	66.1
1132621	F	59.7
1132621	M	65.8
1132622	F	66.3
1132622	M	72.9
1132624	F	58.7
1132624	M	64.9
1132625	F	60.4
1132625	M	68.2
1132626	F	67.9
1132626	M	65.4
1132627	F	64.4
1132627	M	64.9
1132628	F	67.2
1132628	M	61.7
1132629	F	64.2
1132629	M	66.8
1132630	F	71.2
1132630	M	69
1132631	F	63.9
1132631	M	64.4
1132632	F	50.5
1132632	M	60.5
1132633	F	62.6
1132633	M	72.2
1132634	F	59.1
1132634	M	66.3
1132635	F	61.6
1132635	M	69.9
1132636	F	62.6
1132636	M	67.4
1132637	F	66.9
1132637	M	74.5
1132638	F	71.8
1132638	M	78.3
1132639	F	76
1132639	M	69.4
1132640	F	49.3
1132640	M	61.2
1132641	F	24.7
1132641	M	37.1
1132642	F	44.4
1132642	M	67.3
1132643	F	60.9
1132643	M	65.1
1132644	F	53.9
1132644	M	61.6
1132645	F	65.2
1132645	M	66.2
1132646	F	56
1132646	M	67.8
1132647	F	65.3
1132647	M	62
1132648	F	67.1
1132648	M	72.2
1132649	F	39.1
1132649	M	51.4
1132650	F	29.3
1132650	M	43.2
1132651	F	60.5
1132651	M	65.1
1132652	F	57.1
1132652	M	62.9
1132653	F	63.4
1132653	M	72.1
1132654	F	57.3
1132654	M	74.5
1132655	F	67.3
1132655	M	72.2
1132656	F	67
1132656	M	74.2
1132657	F	56.6
1132657	M	69.8
1132658	F	70
1132658	M	69.4
1132659	F	60.9
1132659	M	69.6
1132660	F	62.7
1132660	M	69.2
1132661	F	63.9
1132661	M	74.3
1132662	F	67.7
1132662	M	74.2
1132663	F	76.1
1132663	M	80.1
1132664	F	78.8
1132664	M	80.1
1132701	F	66.4
1132701	M	70.1
1132702	F	72.3
1132702	M	72
1132703	F	70.7
1132703	M	68.6
1132704	F	78.7
1132704	M	74.4
1132705	F	76.4
1132705	M	75
1132706	F	55.4
1132706	M	61.1
1132707	F	65.2
1132707	M	73
1132708	F	67.6
1132708	M	74
1132709	F	68.1
1132709	M	66.4
1132710	F	67
1132710	M	72.9
1132711	F	76.5
1132711	M	80.6
1132712	F	65
1132712	M	64.4
1132713	F	72.6
1132713	M	69
1132714	F	79.4
1132714	M	80.3
1132715	F	71.8
1132715	M	79.9
1132716	F	63.7
1132716	M	65.5
1132717	F	58.9
1132717	M	60.7
1132718	F	71.3
1132718	M	71.4
1132719	F	74.4
1132719	M	69.4
1132720	F	68.2
1132720	M	74.8
1132721	F	71.1
1132721	M	74.7
1132722	F	71.4
1132722	M	83.8
1132723	F	68.8
1132723	M	76.1
1132724	F	65
1132724	M	64.1
1132725	F	67.4
1132725	M	63.3
1132726	F	67.3
1132726	M	70.1
1132727	F	75.5
1132727	M	65.6
1132728	F	49.1
1132728	M	52.4
1132729	F	76.1
1132729	M	76.7
1132730	F	75.2
1132730	M	69.6
1132731	F	67.9
1132731	M	76.6
1132732	F	71.8
1132732	M	75.3
1132733	F	68.2
1132733	M	72.7
1132734	F	69.6
1132734	M	73.7
1132735	F	62.5
1132735	M	61.7
1132736	F	75
1132736	M	77.4
1132737	F	71.1
1132737	M	62
1132738	F	73.9
1132738	M	70.5
1132739	F	75
1132739	M	78
1132740	F	69.5
1132740	M	54.8
1132741	F	81.1
1132741	M	85.3
1132742	F	68.1
1132742	M	74.8
1132743	F	67.1
1132743	M	63.5
1132744	F	68.3
1132744	M	73.7
1132745	F	74
1132745	M	78.6
1132746	F	74.5
1132746	M	86.1
1132747	F	68
1132747	M	69.9
1132748	F	66.3
1132748	M	72.3
1132749	F	71.6
1132749	M	68.3
1132750	F	74.6
1132750	M	71.3
1132801	F	78.1
1132801	M	80.4
1132802	F	71.3
1132802	M	76
1132803	F	65.5
1132803	M	74.1
1132804	F	60.2
1132804	M	70.9
1132805	M	28.6
1132806	F	66.4
1132806	M	75.2
1132807	F	69.7
1132807	M	72.4
1132808	F	59
1132808	M	68.6
1132809	F	74.1
1132809	M	76
1132810	F	56.3
1132810	M	65.2
1132811	F	66.7
1132811	M	68
1132812	F	62.9
1132812	M	84.1
1132813	F	63.1
1132813	M	66.2
1132814	F	58.6
1132814	M	64.4
1132815	F	80
1132815	M	80.7
1132817	F	69.9
1132817	M	72.7
1132818	F	64.3
1132818	M	72.8
1132819	F	81.2
1132819	M	82.3
1132820	F	80.4
1132820	M	77.8
1132821	F	79.1
1132821	M	76.2
1132822	F	69.8
1132822	M	69.9
1132901	F	66.7
1132901	M	72.9
1132902	F	74.5
1132902	M	80.4
1132903	F	60.3
1132903	M	64.8
1132904	F	73.3
1132904	M	67
1132905	F	69.4
1132905	M	76.1
1132906	F	61.7
1132906	M	56.6
1132907	F	68.4
1132907	M	66.5
1132908	F	53
1132908	M	50.5
1132909	F	66.1
1132909	M	77.1
1132910	F	75.9
1132910	M	78.3
1132911	F	80.5
1132911	M	71.1
1132912	F	81.2
1132912	M	86.6
1132913	F	72.4
1132913	M	66.5
1132914	F	66
1132914	M	72.9
1132915	F	69.6
1132915	M	66.7
1132916	F	48
1132916	M	56.9
1132917	F	69.3
1132917	M	60.9
1132918	F	68.3
1132918	M	65.3
1132919	F	72.8
1132919	M	72.4
1132920	F	70.6
1132920	M	76.3
1132921	F	80.4
1132921	M	69.5
1132922	F	74.8
1132922	M	75
1132923	F	75
1132923	M	74.3
1132924	F	65.3
1132924	M	77.6
1132925	F	70.9
1132925	M	71.5
1132926	F	69
1132926	M	71.7
1132927	F	66.8
1132927	M	70.4
1132928	F	67.7
1132928	M	52.8
1133001	F	81.7
1133001	M	87.6
1133003	F	52.8
1133003	M	58.6
1133004	F	78.1
1133004	M	82.3
1133005	F	80.2
1133005	M	83.8
1133006	F	77.6
1133006	M	81.4
1133007	F	75.1
1133007	M	79.2
1133008	F	71.2
1133008	M	74.4
1133009	F	80.9
1133009	M	82.6
1133010	F	74.7
1133010	M	82.8
1133011	F	79
1133011	M	81.2
1133013	F	71.7
1133013	M	84.5
1133014	M	100
1133015	F	84.2
1133015	M	86.9
1133016	F	77.3
1133016	M	74.8
1133017	F	72.7
1133017	M	82.2
1133018	F	78.6
1133018	M	66.7
1133021	F	46.2
1133021	M	78.9
1133022	F	84.2
1133022	M	84.1
1133023	F	79.6
1133023	M	82.9
1133026	F	73.4
1133026	M	69.5
1133027	F	69.9
1133027	M	61
1133028	F	76.3
1133028	M	84
1133029	F	82.9
1133029	M	80.5
1133030	F	79.5
1133030	M	80.3
1133031	F	81.8
1133031	M	85.7
1133032	F	82.7
1133032	M	86.4
1133033	F	78.3
1133033	M	85.3
1133034	F	83.6
1133034	M	88.2
1133035	F	75.4
1133035	M	80.9
1133036	F	88.9
1133036	M	89.8
1133037	F	85.3
1133037	M	88.3
1133039	F	84.1
1133039	M	84.5
1133040	F	71.6
1133040	M	74.4
1133041	F	96.3
1133041	M	74.4
1133042	F	80.8
1133042	M	80.4
1133043	F	83.9
1133043	M	85.2
1133044	F	74.5
1133044	M	82.7
1133045	F	69.5
1133045	M	78.4
1133101	F	100
1133101	M	40
1133102	F	65.1
1133102	M	77.8
1133103	F	75.3
1133103	M	80.8
1133105	F	68.4
1133105	M	77.5
1133106	F	49
1133106	M	42.9
1133107	F	60.4
1133107	M	69.5
1133108	F	29
1133108	M	26
1133109	F	51.8
1133109	M	61.7
1133110	F	67.8
1133110	M	68.8
1133111	F	65.3
1133111	M	69.6
1133112	F	73
1133112	M	76.6
1133113	F	72.3
1133113	M	76.1
1133114	F	59.2
1133114	M	64.6
1133115	F	75.3
1133115	M	72.2
1133116	F	58.8
1133116	M	67.1
1133117	F	70.5
1133117	M	79.1
1133118	F	63.8
1133118	M	69.1
1133119	F	53.8
1133119	M	72.3
1133120	F	60.4
1133120	M	68.7
1133121	F	72.7
1133121	M	81.7
1133122	F	78.4
1133122	M	75.6
1133123	F	55.2
1133123	M	60.3
1133124	F	84.4
1133124	M	80.1
1133125	F	74.7
1133125	M	73.4
1133126	F	67.2
1133126	M	74
1133127	F	65.2
1133127	M	66.8
1133129	F	70.4
1133129	M	75.2
1133130	F	33.2
1133130	M	46.9
1133131	F	30.8
1133131	M	34
1133132	F	51.2
1133132	M	61.7
1133133	F	48
1133133	M	50.4
1133134	F	41.5
1133134	M	56
1133135	F	49.4
1133135	M	62.7
1133136	F	58.4
1133136	M	62.9
1133137	F	58.5
1133137	M	58.2
1133138	F	64.1
1133138	M	61.4
1133139	F	69.4
1133139	M	72.3
1133140	F	71.2
1133140	M	79.7
1133141	F	57.7
1133141	M	53.2
1133142	F	56.7
1133142	M	66.3
1133143	F	65.4
1133143	M	74.6
1133144	F	77.8
1133144	M	84.3
1133201	F	46.2
1133201	M	49.7
1133204	F	66.1
1133204	M	71
1133205	F	70.5
1133205	M	81.5
1133206	F	79.3
1133206	M	77.8
1133207	F	82.4
1133207	M	84.7
1133208	F	78.4
1133208	M	77.4
1133209	F	27.1
1133209	M	40
1133210	F	79.4
1133210	M	85
1133211	F	71.3
1133211	M	65.3
1133212	F	77.7
1133212	M	74.3
1133213	F	62.9
1133213	M	64.1
1133214	F	29.2
1133214	M	34
1133215	F	74.6
1133215	M	81.3
1133216	F	67.2
1133216	M	77
1133217	F	75.9
1133217	M	77.7
1133218	F	71.4
1133218	M	79.5
1133219	F	63.9
1133219	M	70
1133220	F	71.2
1133220	M	80.2
1133221	F	76.5
1133221	M	71.7
1133222	F	60.8
1133222	M	62.3
1133223	F	78.2
1133223	M	77.7
1133224	F	77.4
1133224	M	77
1133225	F	74.7
1133225	M	80.2
1133226	F	81.5
1133226	M	79.7
1133227	F	71.8
1133227	M	71.9
1133228	F	55.6
1133228	M	63.9
1133229	F	81.2
1133229	M	77.9
1133230	F	76.4
1133230	M	78.5
1133231	F	80
