SA1_7DIGITCODE_2016	Sex	unemployment
1155830	F	5.2
1155830	M	2.4
1155831	M	4.2
1155832	F	7.4
1155832	M	10.5
1155833	F	2.9
1155833	M	4.7
1155834	F	7.2
1155834	M	4.5
1155835	F	7.7
1155835	M	8
1155836	F	4.8
1155836	M	3.6
1155837	F	12.6
1155838	F	7.5
1155838	M	4.9
1155839	F	5.8
1155839	M	8.6
1155840	M	10.1
1155841	F	4.9
1155841	M	2.8
1155842	F	7.1
1155843	F	5.2
1155843	M	6.3
1155844	F	7.7
1155844	M	7.3
1155845	F	4.1
1155845	M	5.4
1155846	F	5.8
1155847	F	15.3
1155847	M	4.1
1155848	F	3.6
1155848	M	2.8
1155849	M	5.4
1155851	M	6.3
1155852	F	5.3
1155852	M	3.4
1155901	F	4.5
1155901	M	8.5
1155902	F	5.1
1155902	M	3.8
1155903	F	10.1
1155903	M	4.7
1155904	F	4.5
1155904	M	6.8
1155905	F	3
1155905	M	2.5
1155906	F	7.6
1155906	M	5.8
1155907	F	1.7
1155907	M	10.3
1155908	F	2
1155908	M	4.6
1155909	F	2.8
1155909	M	2.6
1155910	F	7.6
1155910	M	3.3
1155911	F	2.2
1155911	M	2.8
1155912	F	2.9
1155912	M	7.3
1155913	F	2.4
1155913	M	5.3
1155914	F	5.8
1155914	M	2.5
1155915	F	4.3
1155915	M	8.2
1155916	F	2.4
1155916	M	2.3
1155917	F	5.1
1155917	M	2
1155918	F	2.1
1155918	M	6.3
1155919	F	5
1155919	M	3.1
1155920	F	3.4
1155921	F	7.5
1155921	M	6.3
1155922	F	2.4
1155922	M	1.9
1155923	F	7.5
1155923	M	3.3
1155924	F	2.7
1155924	M	6.8
1155925	F	8.4
1155925	M	6.3
1155926	M	3.8
1155927	F	6.6
1155927	M	2.6
1155928	F	8.7
1155929	F	4.2
1155929	M	4.8
1155930	F	6
1155930	M	6.4
1155931	F	2.4
1155931	M	4.8
1155932	F	2.8
1155932	M	5.9
1155933	F	2.9
1155933	M	4.2
1155934	F	3.6
1155934	M	2.6
1155935	M	4.2
1155936	F	7.5
1155936	M	4.2
1155937	F	11.1
1155938	F	3.6
1155938	M	4
1155939	F	6
1155939	M	8.1
1156001	F	4.9
1156001	M	3.6
1156002	F	6.8
1156002	M	7
1156003	F	6.1
1156003	M	5.2
1156004	F	13.9
1156004	M	14.4
1156005	F	7.3
1156005	M	5.8
1156006	F	3.5
1156006	M	6.5
1156007	F	10.3
1156007	M	9.8
1156008	F	12.6
1156008	M	5.6
1156009	F	16.1
1156009	M	11
1156010	F	15
1156010	M	25.5
1156011	F	6.8
1156011	M	9.8
1156012	F	7.1
1156012	M	10.3
1156013	F	8.7
1156013	M	6.3
1156014	F	12.9
1156014	M	8.8
1156015	F	15.2
1156015	M	10.6
1156016	F	7.1
1156016	M	4.4
1156017	F	2.1
1156017	M	8
1156018	F	5.3
1156018	M	6
1156019	F	5.8
1156019	M	8.4
1156020	F	17.9
1156020	M	6.4
1156021	F	11.9
1156021	M	12.4
1156022	F	5.3
1156022	M	3.8
1156023	F	3.6
1156023	M	3
1156024	F	11.6
1156024	M	10.5
1156025	M	7.9
1156026	F	7.4
1156026	M	4.4
1156027	F	10.7
1156027	M	34.1
1156028	F	4.9
1156101	F	6.6
1156101	M	5.1
1156102	F	10.3
1156102	M	3.2
1156103	F	4.5
1156104	F	14.5
1156104	M	4.8
1156105	F	5.2
1156105	M	6.1
1156106	F	4.4
1156106	M	6.3
1156107	F	5
1156107	M	10.7
1156108	F	2.4
1156108	M	2.2
1156109	F	13.2
1156109	M	3.1
1156110	F	8.5
1156110	M	7.1
1156111	F	7.5
1156111	M	10.9
1156112	F	3.6
1156112	M	5.3
1156113	F	8.8
1156113	M	7.1
1156114	F	12.7
1156114	M	4.1
1156115	M	2.5
1156116	F	3.5
1156116	M	3.6
1156117	F	7.6
1156117	M	8
1156118	F	10.6
1156118	M	12.5
1156119	F	8.4
1156119	M	5.7
1156120	F	5.4
1156120	M	8.1
1156121	F	7.7
1156121	M	10.2
1156122	F	14.1
1156122	M	4.3
1156123	F	3.8
1156123	M	8.8
1156125	F	11.3
1156125	M	5.7
1156126	F	12.4
1156126	M	13
1156127	F	3.4
1156127	M	7.7
1156128	F	4
1156128	M	2.8
1156129	F	8.6
1156129	M	9.6
1156130	F	8.7
1156130	M	12
1156131	F	9.7
1156131	M	6.6
1156132	F	12
1156132	M	3.3
1156133	F	5.4
1156133	M	7
1156134	F	10.1
1156134	M	3.1
1156135	F	16.1
1156135	M	4.1
1156201	F	12.2
1156202	F	8.3
1156202	M	7.7
1156203	F	3.1
1156203	M	5.4
1156204	F	7.7
1156204	M	2
1156205	F	8.4
1156205	M	3.2
1156206	M	3.3
1156207	F	6.3
1156207	M	2.4
1156208	F	4.5
1156208	M	2.2
1156209	F	2.5
1156209	M	4.8
1156301	F	4.6
1156301	M	5.8
1156302	F	7
1156302	M	6.8
1156303	F	3.1
1156303	M	2.4
1156304	F	3.2
1156304	M	4.7
1156305	F	11.1
1156305	M	8.2
1156306	F	10.7
1156306	M	9.2
1156307	F	8.7
1156307	M	3.8
1156308	F	9.7
1156308	M	3.9
1156309	F	7.2
1156309	M	5.5
1156310	F	5.5
1156310	M	8.5
1156311	F	5.2
1156311	M	6.5
1156312	F	5.2
1156312	M	7.2
1156313	F	11.5
1156314	F	2.5
1156314	M	2.5
1156315	F	8.1
1156315	M	8.6
1156316	F	4.1
1156316	M	11.5
1156317	F	7.4
1156317	M	3.3
1156318	F	7.3
1156318	M	8.1
1156319	F	4.1
1156319	M	5.5
1156320	F	2.8
1156320	M	4.9
1156321	F	2.9
1156321	M	4.1
1156322	F	10.6
1156322	M	7.8
1156323	F	4.2
1156323	M	7.4
1156324	F	5
1156324	M	4.3
1156325	F	3.9
1156325	M	3.5
1156326	M	3.3
1156327	F	4.1
1156328	F	4.1
1156328	M	11
1156329	F	10.7
1156329	M	7.2
1156330	F	6.8
1156330	M	2.1
1156331	F	10.8
1156331	M	6.9
1156332	M	3.2
1156333	F	9.4
1156333	M	6.3
1156334	F	14
1156334	M	9.6
1156335	F	3.7
1156335	M	3.6
1156336	F	8.3
1156336	M	9.8
1156337	F	12.3
1156337	M	3.6
1156338	F	9.6
1156338	M	2.7
1156339	F	6.8
1156339	M	3.9
1156340	F	8.2
1156340	M	7.6
1156341	F	11.1
1156341	M	6.7
1156342	F	2.2
1156342	M	5.3
1156343	F	8.1
1156343	M	4.9
1156344	F	14.3
1156344	M	4.5
1156345	F	7.7
1156345	M	6
1156346	F	2.4
1156346	M	6.3
1156347	F	5.1
1156347	M	9.9
1156348	F	5
1156348	M	5.6
1156349	F	3.8
1156350	F	3.5
1156350	M	8
1156351	F	7
1156352	F	13.6
1156352	M	8.2
1156353	F	10.5
1156353	M	5.6
1156354	F	7.8
1156354	M	7
1156355	F	11.3
1156355	M	7.2
1156356	F	27.3
1156357	F	9.8
1156401	F	2.9
1156401	M	5.7
1156402	F	7.2
1156402	M	4
1156403	F	2.9
1156403	M	6.5
1156404	F	6.6
1156404	M	6
1156405	F	4
1156405	M	4.1
1156406	F	11.4
1156406	M	6.5
1156407	F	5.3
1156407	M	5.6
1156408	F	4.7
1156408	M	8.3
1156409	F	8.2
1156409	M	4.9
1156410	F	6.1
1156410	M	8.5
1156411	F	7.1
1156411	M	3.8
1156412	F	7
1156412	M	6.5
1156413	F	8.5
1156413	M	4.2
1156414	F	11.5
1156414	M	9.4
1156415	F	7.5
1156415	M	7
1156416	F	6.2
1156416	M	5.9
1156418	F	32.4
1156418	M	30
1156419	M	9.3
1156420	F	17.4
1156420	M	19.4
1156421	F	6.3
1156421	M	4.4
1156422	F	16.4
1156422	M	11.2
1156423	F	16.3
1156423	M	11
1156424	F	12.7
1156424	M	4.9
1156425	F	3.8
1156425	M	5.5
1156426	F	12.2
1156426	M	5.7
1156428	M	4.9
1156501	F	22.7
1156501	M	23.3
1156502	F	10.1
1156502	M	15.6
1156503	F	13.8
1156503	M	2.9
1156504	F	18.8
1156504	M	34.1
1156505	F	9.9
1156505	M	7.4
1156506	F	5.3
1156506	M	4.5
1156507	F	6.1
1156507	M	2.8
1156508	F	17.2
1156508	M	16.7
1156509	F	10.3
1156509	M	4
1156510	F	4.6
1156510	M	12.9
1156511	F	8.6
1156511	M	5.8
1156512	F	13.5
1156512	M	8.2
1156513	F	13.3
1156513	M	12.3
1156514	F	8.6
1156514	M	13.6
1156515	F	19.4
1156515	M	23
1156516	F	6.9
1156516	M	3.8
1156517	F	10.1
1156517	M	8.4
1156518	F	17.9
1156518	M	15
1156519	F	4.4
1156519	M	5.6
1156520	F	7.1
1156520	M	10.2
1156521	F	6
1156521	M	2.3
1156522	F	9.5
1156522	M	9.8
1156523	F	13.3
1156523	M	10.1
1156524	F	20.3
1156524	M	14.4
1156525	M	5.3
1156526	F	5.1
1156526	M	3.2
1156527	F	11.2
1156527	M	9.7
1156528	M	3.4
1156529	F	5.4
1156529	M	11.4
1156530	F	7.8
1156530	M	5.9
1156531	F	11.4
1156531	M	10.8
1156532	F	28.9
1156532	M	17.9
1156533	F	9
1156533	M	5
1156601	F	7.2
1156601	M	7.3
1156602	F	1.9
1156602	M	5.7
1156603	F	6.5
1156603	M	2.1
1156604	F	7
1156604	M	6.7
1156605	F	7.1
1156605	M	3.8
1156606	F	7.2
1156606	M	2.9
1156607	F	2.6
1156607	M	9.2
1156608	F	4
1156608	M	3
1156609	F	3.1
1156609	M	3
1156610	F	3.3
1156610	M	2.5
1156611	F	1.5
1156611	M	6.5
1156612	M	3.3
1156613	F	5.6
1156613	M	2.2
1156614	F	2.8
1156614	M	3.6
1156615	F	3.4
1156615	M	3.7
1156616	F	2.9
1156616	M	2.6
1156617	F	2.7
1156617	M	3.3
1156618	F	3.6
1156618	M	10.3
1156619	F	4.6
1156620	M	7
1156621	F	4.8
1156621	M	12.5
1156701	F	3.4
1156701	M	3.3
1156702	F	4.2
1156702	M	3.6
1156703	F	2
1156703	M	2.6
1156704	F	10.5
1156704	M	2.9
1156705	F	3.8
1156705	M	2.3
1156706	F	3
1156706	M	7.1
1156707	F	2.9
1156707	M	3.1
1156708	M	5.3
1156709	F	12.9
1156709	M	9
1156710	F	2.7
1156710	M	2.9
1156711	F	7.7
1156711	M	2.5
1156712	F	1.8
1156712	M	7.9
1156713	F	8.7
1156713	M	3.9
1156714	F	7.2
1156714	M	2.8
1156715	F	2.8
1156715	M	8
1156716	F	3.7
1156716	M	3
1156717	F	5.4
1156717	M	3.1
1156718	F	5.7
1156718	M	3.6
1156719	F	13.5
1156720	F	3.1
1156720	M	2.8
1156721	F	4.4
1156721	M	7.4
1156722	F	5.9
1156722	M	5.1
1156723	F	5.9
1156723	M	12.1
1156724	F	27.9
1156724	M	12.5
1156725	F	25.9
1156725	M	33.3
1156801	F	10.1
1156801	M	14
1156802	M	9.6
1156803	F	16.9
1156803	M	7.2
1156805	M	3.3
1156806	F	5.5
1156806	M	8.8
1156807	F	9.2
1156807	M	9.4
1156808	F	11.2
1156808	M	12.5
1156810	F	3.2
1156810	M	4.4
1156811	F	2.9
1156811	M	5.8
1156812	F	5.9
1156812	M	12.1
1156813	F	2.9
1156813	M	2.7
1156814	F	4.1
1156815	F	5
1156815	M	2.1
1156816	F	8.3
1156816	M	10
1156817	F	7.1
1156817	M	4.7
1156818	F	9.9
1156818	M	3.7
1156819	F	9.8
1156819	M	11
1156820	F	11.7
1156820	M	10.1
1156901	F	7.5
1156901	M	3.8
1156902	F	2.4
1156902	M	3.5
1156903	F	3.8
1156903	M	8.8
1156904	F	8.2
1156904	M	4.6
1156905	F	2.4
1156906	M	3.7
1156907	F	4.3
1156908	F	4
1156908	M	8.9
1156909	M	6.3
1156910	F	2.8
1156911	F	4.5
1156911	M	2.1
1156912	F	5.4
1156912	M	3.4
1156913	F	2.6
1156913	M	3.5
1156914	F	3.4
1156914	M	2
1156915	F	2.7
1156915	M	4.3
1156916	F	8.9
1156916	M	6.9
1156917	F	4.8
1156917	M	3.3
1156918	F	6
1156918	M	4.9
1156919	F	5.1
1156919	M	4.3
1156920	F	3.9
1156920	M	4.4
1156921	F	1.5
1156921	M	3.4
1156923	F	2
1156923	M	4.7
1156924	F	3.9
1156924	M	2.7
1156925	F	3.6
1156925	M	6.5
1156926	F	5.1
1156926	M	3.3
1156927	F	4.7
1156927	M	2.5
1156928	F	3.5
1156928	M	3.1
1156929	F	6.7
1156930	F	3
1156930	M	2.9
1156931	F	6.6
1156931	M	2.2
1156932	F	2.6
1156932	M	4.4
1156933	F	3.2
1156933	M	8.7
1156934	F	2.1
1156934	M	3.6
1156935	M	3.1
1156936	F	6.6
1156936	M	3.9
1156938	F	5.6
1156938	M	7.4
1156939	M	6.8
1156940	F	7.2
1156940	M	6.4
1157001	F	5.1
1157001	M	4.6
1157002	F	3.2
1157002	M	14
1157003	F	2.9
1157003	M	3.5
1157004	F	2
1157004	M	5
1157005	F	8.8
1157005	M	5.9
1157006	F	1.5
1157006	M	4.8
1157007	F	4.8
1157007	M	7.7
1157008	M	4.9
1157009	F	5.5
1157010	F	6.3
1157010	M	3.2
1157011	F	4.3
1157011	M	2
1157012	M	8.2
1157013	F	3.7
1157013	M	9.4
1157014	F	2.4
1157014	M	7.1
1157015	M	4.2
1157016	F	3.4
1157016	M	2.4
1157017	F	4.2
1157018	M	4.2
1157019	F	5.5
1157019	M	3.7
1157020	M	3.1
1157021	F	3.9
1157021	M	3.3
1157022	M	7.5
1157023	F	7
1157023	M	3.3
1157024	F	5.8
1157024	M	4.6
1157025	M	4.5
1157026	F	3.8
1157027	M	3
1157101	F	14.8
1157101	M	4.7
1157102	F	15.8
1157102	M	6.6
1157103	F	14.3
1157103	M	15.4
1157104	F	14.6
1157104	M	13
1157105	F	20.4
1157105	M	10.3
1157106	F	13.9
1157106	M	2.3
1157107	F	14.1
1157107	M	10.8
1157108	F	24.5
1157108	M	13.3
1157109	F	7.4
1157109	M	9.6
1157110	F	10.6
1157110	M	10.2
1157111	F	15.1
1157111	M	8.8
1157112	F	9.5
1157112	M	11.1
1157113	F	19.5
1157113	M	12
1157114	F	12.7
1157114	M	13.3
1157115	F	12.5
1157115	M	10.9
1157116	F	13.8
1157116	M	8.5
1157117	F	19.3
1157117	M	11.1
1157118	F	11.4
1157118	M	9.1
1157119	F	15.9
1157119	M	21.5
1157120	F	14.6
1157120	M	9.2
1157122	F	7.6
1157122	M	10.4
1157123	F	9.8
1157123	M	12.2
1157124	F	12.1
1157124	M	11.8
1157125	F	10.8
1157125	M	8.3
1157126	F	12.1
1157126	M	6.9
1157127	F	9.9
1157127	M	15.6
1157128	F	9.6
1157128	M	7.3
1157129	F	5.6
1157130	F	7.2
1157130	M	3.9
1157131	F	5.1
1157131	M	12.4
1157132	F	14.3
1157132	M	9.1
1157133	F	11.4
1157133	M	8.6
1157134	F	14
1157134	M	11.1
1157135	F	21.7
1157135	M	19.2
1157136	F	13
1157136	M	11.3
1157137	F	13.1
1157137	M	10.2
1157140	F	15.4
1157140	M	12.3
1157201	F	5.6
1157201	M	9.1
1157203	F	10.3
1157203	M	13
1157204	F	10
1157204	M	7.1
1157205	F	12.6
1157205	M	5.3
1157206	F	25
1157206	M	12
1157207	F	9.1
1157207	M	8.1
1157208	F	10
1157208	M	11.4
1157209	F	16.5
1157209	M	15.8
1157210	F	15.8
1157210	M	11
1157211	F	5.2
1157212	F	12.5
1157212	M	13.3
1157213	F	5.6
1157213	M	12.3
1157214	F	13.2
1157214	M	14.9
1157215	F	22.8
1157215	M	7.8
1157216	F	13.9
1157216	M	11.2
1157217	F	5.6
1157217	M	14.1
1157219	F	12.8
1157219	M	11.6
1157221	F	24.1
1157221	M	6.5
1157222	F	13
1157222	M	15.3
1157223	F	14.1
1157223	M	9
1157224	F	13.3
1157224	M	12.2
1157226	F	10.7
1157226	M	7.6
1157227	F	16.4
1157227	M	5.7
1157229	F	14.9
1157229	M	7.7
1157230	F	16.7
1157230	M	10.1
1157231	F	18.9
1157231	M	8.9
1157232	F	17.4
1157232	M	8.9
1157234	F	13.4
1157234	M	9.4
1157235	F	19.7
1157235	M	12.3
1157236	F	12.6
1157236	M	9.2
1157237	F	9.9
1157237	M	6.8
1157240	F	19.1
1157240	M	4.7
1157241	F	14.3
1157241	M	18.8
1157242	F	4
1157242	M	5.3
1157243	F	8.6
1157243	M	6.2
1157244	F	18.5
1157244	M	12.3
1157301	F	14.9
1157301	M	12.6
1157302	F	14.8
1157302	M	14.8
1157303	F	9.2
1157303	M	12.4
1157304	F	23.6
1157304	M	12.9
1157305	F	12.4
1157305	M	17.7
1157306	F	33.3
1157306	M	16.1
1157307	F	30.4
1157307	M	20.8
1157308	F	11.5
1157308	M	10.1
1157309	F	11.4
1157309	M	12.4
1157310	F	5.5
1157310	M	12.2
1157311	F	14.3
1157311	M	17.4
1157312	F	10.4
1157312	M	10.8
1157313	F	19
1157313	M	10.2
1157314	F	23.2
1157314	M	7.8
1157315	F	14.5
1157315	M	9.6
1157316	F	10.3
1157316	M	12
1157317	F	14
1157317	M	14.9
1157318	F	14.9
1157318	M	11.4
1157319	F	22.5
1157319	M	9
1157320	F	20.8
1157320	M	19.1
1157321	F	23.7
1157321	M	11.7
1157322	F	6.8
1157322	M	10.5
1157323	F	18.5
1157323	M	16
1157324	F	10.7
1157324	M	11.8
1157325	F	8.5
1157325	M	11.7
1157326	F	15.8
1157326	M	7.1
1157327	F	19.3
1157327	M	14.8
1157328	F	4.3
1157328	M	13.3
1157329	F	17.5
1157329	M	13.7
1157330	F	22.7
1157330	M	5.4
1157331	F	14.9
1157331	M	8.2
1157401	F	26.8
1157401	M	13.9
1157402	F	23.1
1157402	M	7.5
1157403	F	11.5
1157403	M	14.2
1157404	F	14.9
1157404	M	14.1
1157405	F	20
1157405	M	16.7
1157406	F	9.4
1157406	M	8.1
1157407	F	11.6
1157407	M	8.1
1157408	F	17.9
1157408	M	7
1157409	F	14.8
1157409	M	10.1
1157410	F	3.8
1157410	M	9.5
1157411	F	9
1157411	M	9.1
1157412	F	18.5
1157412	M	11.6
1157413	F	20
1157413	M	7.5
1157414	F	13.8
1157414	M	18.9
1157415	F	15.8
1157415	M	10.4
1157416	F	21.4
1157416	M	4.2
1157417	F	29.5
1157417	M	7.1
1157418	F	16
1157418	M	7.5
1157419	F	5.9
1157419	M	9.8
1157420	F	8.5
1157420	M	3.8
1157421	F	15.4
1157421	M	13.3
1157501	F	8
1157501	M	6.7
1157502	F	3.2
1157502	M	4.9
1157503	F	11.7
1157504	F	3.4
1157504	M	10.7
1157505	F	9.4
1157505	M	8.2
1157506	F	7.6
1157506	M	3.5
1157507	F	7.5
1157507	M	6.5
1157508	F	4.9
1157508	M	7.7
1157509	F	7.4
1157509	M	8.1
1157510	F	6.7
1157510	M	9.1
1157511	F	4.8
1157511	M	7.6
1157512	F	4.6
1157512	M	3.6
1157513	F	10.2
1157513	M	12.1
1157515	F	6.1
1157515	M	4.5
1157516	F	5.9
1157516	M	3.1
1157517	F	3.3
1157517	M	9.8
1157518	F	5.9
1157518	M	6.9
1157519	F	11.6
1157519	M	13.6
1157520	F	10.1
1157520	M	9.2
1157521	F	2.5
1157521	M	5.7
1157522	F	10.3
1157522	M	9.2
1157523	F	5.7
1157523	M	6.6
1157524	M	7.3
1157525	F	2.9
1157525	M	4.5
1157526	F	11.4
1157526	M	2.9
1157527	F	4.4
1157527	M	5.6
1157528	F	7
1157528	M	6.9
1157529	F	3.1
1157529	M	5.3
1157530	F	11.6
1157530	M	6
1157531	F	2.9
1157531	M	6.4
1157532	F	4.7
1157532	M	9.7
1157533	F	4.2
1157533	M	3.2
1157534	F	7
1157534	M	8.3
1157535	F	9.1
1157535	M	4.8
1157536	F	7.5
1157536	M	5.8
1157537	F	15.6
1157537	M	4.9
1157538	F	5.5
1157538	M	6.3
1157539	M	4.3
1157540	F	4.3
1157540	M	5.2
1157541	F	11.4
1157541	M	10
1157543	F	2.5
1157543	M	5.1
1157544	F	4.4
1157544	M	3.3
1157545	F	8.8
1157545	M	10.2
1157546	F	4.4
1157548	F	3.6
1157548	M	6.6
1157549	F	2
1157549	M	5
1157550	F	19.4
1157550	M	3.8
1157551	F	11.1
1157551	M	2.2
1157552	F	9.2
1157552	M	3.6
1157553	F	5.6
1157554	F	14.3
1157554	M	3.6
1157601	F	5.4
1157601	M	6
1157602	F	3.3
1157602	M	8.8
1157603	F	4.9
1157603	M	2.5
1157604	M	33.3
1157605	F	4.3
1157605	M	8.7
1157606	F	11.1
1157606	M	3.6
1157607	F	6.9
1157607	M	8.2
1157608	F	3.1
1157608	M	8.8
1157702	F	12.9
1157702	M	4.7
1157703	F	7.6
1157703	M	3.8
1157704	F	7.8
1157704	M	9.5
1157705	F	13.8
1157705	M	7.1
1157706	F	18.6
1157706	M	3.5
1157708	F	12.4
1157708	M	5.1
1157709	F	2.4
1157709	M	5
1157710	F	7.3
1157710	M	3.8
1157711	F	5.6
1157711	M	5.4
1157712	F	6.5
1157712	M	9
1157713	F	7.4
1157713	M	5
1157714	F	12.7
1157714	M	2
1157715	F	9.6
1157715	M	7.9
1157716	F	8.3
1157716	M	11.4
1157717	F	2.9
1157717	M	3.5
1157718	F	7.8
1157718	M	6
1157719	F	9.5
1157719	M	4.8
1157720	F	7.5
1157720	M	7.1
1157721	M	11.1
1157722	F	9.4
1157722	M	7
1157723	F	6.6
1157723	M	6
1157724	F	14.1
1157724	M	8.7
1157726	F	12.7
1157726	M	3.8
1157727	F	8.2
1157727	M	6.6
1157728	F	6.4
1157728	M	2.9
1157729	F	6.3
1157730	F	4.5
1157801	F	9.4
1157801	M	7.7
1157802	F	13
1157802	M	9.4
1157803	F	4
1157804	F	3.1
1157804	M	4.2
1157805	F	4.3
1157806	F	9.7
1157806	M	2.8
1157807	M	2.8
1157808	F	2.3
1157808	M	8.9
1157809	F	5.5
1157809	M	5.1
1157811	F	9.4
1157811	M	3.1
1157812	F	3.6
1157812	M	5.4
1157814	M	5.5
1157815	F	6.9
1157815	M	7.1
1157816	F	6
1157816	M	5.3
1157817	F	4.7
1157818	F	6.7
1157819	F	6.1
1157819	M	6.9
1157820	M	3.7
1157821	F	4.4
1157821	M	4.7
1157822	F	3.4
1157822	M	2.1
1157823	F	4.3
1157823	M	10.2
1157824	F	5.9
1157824	M	4.4
1157825	F	9.1
1157826	F	5.4
1157826	M	7.4
1157827	F	6
1157827	M	3.4
1157828	F	9.4
1157829	F	7
1157901	F	10
1157901	M	21.7
1157902	F	4.1
1157902	M	7.4
1157903	F	11.3
1157903	M	2.3
1157904	F	3.9
1157904	M	4.2
1157905	F	13.6
1157905	M	6.6
1157906	F	7.8
1157906	M	5.4
1157907	F	8.1
1157907	M	3.2
1157908	F	11.3
1157908	M	4.1
1157909	F	4.5
1157909	M	12.9
1157910	F	8.4
1157910	M	4.5
1157911	F	4.7
1157911	M	3.5
1157912	F	4.8
1157912	M	5.3
1157913	F	9.3
1157914	F	7.3
1157914	M	6.4
1157915	F	5.8
1157915	M	4.7
1157916	F	6.8
1157916	M	6.3
1157917	F	9.5
1157918	F	11.3
1157918	M	5.2
1157919	F	4.2
1157919	M	7.3
1157920	M	4.6
1158001	F	7.7
1158001	M	13
1158002	F	7.7
1158002	M	7.2
1158003	F	11.4
1158003	M	7.9
1158004	F	6.7
1158004	M	4.2
1158005	F	12.2
1158005	M	10.3
1158006	F	8.8
1158006	M	9.5
1158007	F	7.1
1158007	M	8.3
1158008	F	10.9
1158008	M	8.5
1158009	F	8.8
1158009	M	3.7
1158010	F	9
1158010	M	6.2
1158011	F	3.1
1158012	F	10.2
1158012	M	6.7
1158013	F	12.6
1158013	M	2.8
1158014	F	10.6
1158014	M	5.3
1158015	F	11.6
1158015	M	9.6
1158016	F	9.1
1158016	M	5
1158017	F	19.1
1158017	M	9.7
1158018	F	6
1158018	M	10.8
1158019	F	8.3
1158019	M	7.8
1158020	F	8.7
1158020	M	12.2
1158021	F	7.2
1158021	M	1.8
1158022	F	4.7
1158022	M	7.1
1158101	F	5.4
1158101	M	7.9
1158102	F	10.5
1158102	M	11.8
1158103	F	18.8
1158103	M	9.9
1158104	F	13.6
1158104	M	15.3
1158105	F	4.2
1158105	M	6.6
1158106	F	18.4
1158106	M	8.9
1158107	F	14.3
1158107	M	8.4
1158108	F	11.7
1158108	M	4.8
1158109	F	20.2
1158109	M	11.3
1158110	F	9.5
1158110	M	10
1158111	F	14.1
1158111	M	6.1
1158112	F	7.1
1158112	M	10.8
1158113	F	11.8
1158113	M	9.2
1158114	F	4.8
1158114	M	4.8
1158117	F	15.3
1158117	M	20.7
1158118	F	11.8
1158118	M	15
1158119	F	10.2
1158119	M	10
1158120	F	3.1
1158120	M	10.3
1158122	F	7.9
1158122	M	5.8
1158123	F	12.2
1158123	M	4.9
1158124	F	10.5
1158124	M	15.4
1158125	F	6.7
1158125	M	10.3
1158126	F	19
1158126	M	7.8
1158127	F	7.3
1158127	M	2.8
1158128	F	13.4
1158128	M	12.8
1158129	F	11.3
1158129	M	9.8
1158130	M	12.5
1158131	F	5.6
1158131	M	5.2
1158132	F	6.9
1158132	M	8.8
1158133	F	14.1
1158133	M	12.3
1158134	F	5.6
1158134	M	7.9
1158201	F	8.5
1158201	M	9.7
1158202	F	11
1158202	M	12.9
1158204	F	30
1158204	M	16.7
1158205	F	12.2
1158205	M	14
1158206	F	13.5
1158206	M	13.6
1158207	F	11.5
1158207	M	14
1158208	F	11.6
1158208	M	8.5
1158209	F	17.6
1158209	M	15.7
1158210	M	16
1158211	F	9.2
1158211	M	10.9
1158212	F	19.6
1158212	M	16.5
1158213	F	6.1
1158213	M	5.9
1158214	F	16.7
1158214	M	16.5
1158215	F	14.1
1158215	M	12.2
1158216	F	8.2
1158216	M	12.5
1158217	F	25
1158217	M	16
1158218	F	7.4
1158218	M	12.6
1158219	F	16.4
1158219	M	14.2
1158220	F	17.9
1158220	M	11.9
1158221	F	4.9
1158221	M	13.2
1158222	F	10.8
1158222	M	9.6
1158223	F	18.3
1158223	M	15.3
1158224	F	14.3
1158224	M	9.8
1158225	F	15
1158225	M	16.5
1158226	F	17.3
1158226	M	10.3
1158227	F	8.1
1158227	M	21.4
1158228	F	17.8
1158228	M	7.7
1158229	F	26.3
1158229	M	22.3
1158230	F	12.2
1158230	M	6.5
1158231	F	29.2
1158231	M	8.5
1158232	F	5.6
1158232	M	14.4
1158233	F	6.7
1158233	M	11.3
1158235	F	13.6
1158235	M	11.8
1158301	F	18.1
1158301	M	10.6
1158302	F	9.4
1158302	M	11.5
1158303	F	35
1158303	M	10.2
1158304	F	5.4
1158304	M	11.9
1158305	F	10.6
1158305	M	14.6
1158306	F	12.9
1158306	M	14.6
1158307	F	13.6
1158307	M	14
1158308	F	10.6
1158308	M	12.9
1158309	F	11.8
1158309	M	6.2
1158310	F	9.4
1158310	M	8.6
1158311	F	13.1
1158311	M	14
1158312	F	19.1
1158312	M	16.7
1158313	F	12.6
1158313	M	13
1158315	F	12.1
1158315	M	17.8
1158316	F	11.8
1158316	M	15.7
1158317	F	15
1158317	M	15.4
1158319	M	19.2
1158320	F	8.8
1158320	M	4.8
1158321	F	5.7
1158321	M	6.7
1158322	F	6.7
1158322	M	18.4
1158323	F	9.1
1158323	M	26.6
1158325	F	16.7
1158325	M	13.4
1158326	F	19.4
1158326	M	27.2
1158401	F	11.2
1158401	M	19.4
1158402	F	7.7
1158402	M	8
1158403	F	14.6
1158403	M	12.2
1158404	F	7
1158404	M	11.5
1158405	F	6.6
1158405	M	11.1
1158406	F	18.5
1158406	M	17.1
1158407	F	5.4
1158407	M	7.1
1158408	F	4.5
1158408	M	11.4
1158409	F	8.8
1158409	M	13.2
1158410	F	16.7
1158410	M	17.2
1158411	F	7.5
