SA1_7DIGITCODE_2016	Sex	employmentToPopulation
1160501	M	79
1160502	F	66
1160502	M	73.4
1160503	F	60.5
1160503	M	70.1
1160504	F	63.2
1160504	M	73.2
1160505	F	72.5
1160505	M	67
1160506	F	66.3
1160506	M	67
1160507	F	64.2
1160507	M	64.8
1160508	F	66.7
1160508	M	68.6
1160601	F	59.6
1160601	M	70.4
1160602	F	62.6
1160602	M	74.3
1160603	F	59.2
1160603	M	72.1
1160604	F	66.1
1160604	M	66.3
1160605	F	63.2
1160605	M	67.5
1160606	F	74.2
1160606	M	73.6
1160607	F	54
1160607	M	64.8
1160608	F	61.5
1160608	M	76.4
1160609	F	56.9
1160609	M	61.4
1160610	F	60.5
1160610	M	74.3
1160611	F	65.3
1160611	M	69.3
1160612	F	57.7
1160612	M	73.6
1160613	F	63.5
1160613	M	64.1
1160614	F	57.1
1160614	M	68.9
1160616	F	72.1
1160616	M	71.7
1160618	F	62.2
1160618	M	68.4
1160619	F	63.8
1160619	M	70.8
1160620	F	57.8
1160620	M	63.6
1160701	F	64.1
1160701	M	73.1
1160702	F	57.3
1160702	M	65.5
1160703	F	61.6
1160703	M	65
1160704	F	52.8
1160704	M	75.4
1160705	F	66.7
1160705	M	71.3
1160706	F	64.5
1160706	M	72.1
1160707	F	64.7
1160707	M	75.9
1160708	F	50.9
1160708	M	64
1160710	F	57.4
1160710	M	57.9
1160711	F	61.4
1160711	M	69
1160712	F	64.1
1160712	M	75.1
1160713	F	64.3
1160713	M	70.5
1160714	F	77.5
1160714	M	78.2
1160716	F	64.5
1160716	M	71.9
1160717	F	64.2
1160717	M	70.5
1160718	F	54
1160718	M	66.3
1160719	F	61.6
1160719	M	71.4
1160720	F	66.3
1160720	M	74.5
1160721	F	61.2
1160721	M	66.5
1160722	F	63.6
1160722	M	73.8
1160723	F	69.3
1160723	M	72.8
1160724	F	63.6
1160724	M	69.5
1160725	F	56.1
1160725	M	60.3
1160726	F	55.6
1160726	M	57.2
1160727	F	65.4
1160727	M	78.6
1160728	F	65.1
1160728	M	69.3
1160729	F	58.2
1160729	M	67.7
1160730	F	56.8
1160730	M	55.2
1160731	F	60.4
1160731	M	65.1
1160732	F	46.8
1160732	M	53.7
1160733	F	69.5
1160733	M	73.6
1160734	F	60.7
1160734	M	67.3
1160735	F	60.2
1160735	M	71.9
1160736	F	66.3
1160736	M	72.7
1160737	F	61.2
1160737	M	64.8
1160738	F	64.8
1160738	M	60.6
1160739	F	78.5
1160739	M	80
1160740	F	64.9
1160740	M	71.1
1160801	F	57.5
1160801	M	64.1
1160802	F	66
1160802	M	69.9
1160803	F	58.2
1160803	M	72.4
1160804	F	67.3
1160804	M	74.2
1160805	F	71.6
1160805	M	69
1160806	F	56.1
1160806	M	62.7
1160807	F	74.5
1160807	M	68.9
1160808	F	57.9
1160808	M	73.2
1160809	F	67.8
1160809	M	68.2
1160810	F	53.5
1160810	M	69.7
1160811	F	77.1
1160811	M	71
1160812	F	78.5
1160812	M	86.5
1160813	F	56.6
1160813	M	57.1
1160814	F	61.4
1160814	M	67.3
1160815	F	73
1160815	M	69.8
1160816	F	63.4
1160816	M	68.8
1160817	F	61.1
1160817	M	67.6
1160902	F	64.8
1160902	M	69.4
1160903	F	70.7
1160903	M	73.7
1160904	F	77.5
1160904	M	81.9
1160905	F	70.7
1160905	M	80.8
1160906	F	70.7
1160906	M	73
1160907	F	70.1
1160907	M	73
1160908	F	74.2
1160908	M	81.7
1160909	F	77.1
1160909	M	73.6
1160910	F	66.8
1160910	M	82.3
1949999	F	28.1
1949999	M	29.3
1979993	F	30.9
1979993	M	39.2
2100101	F	56.6
2100101	M	62.4
2100102	F	37.8
2100102	M	35.1
2100105	F	49.7
2100105	M	50.4
2100106	F	57.6
2100106	M	64.8
2100107	F	50.3
2100107	M	46.8
2100108	F	58.9
2100108	M	74.5
2100109	F	50.6
2100109	M	52.9
2100110	F	64.5
2100110	M	72
2100111	F	59.4
2100111	M	76.4
2100112	F	54.2
2100112	M	64.4
2100113	F	66.2
2100113	M	62.1
2100114	F	47.2
2100114	M	61.1
2100115	F	57.1
2100115	M	56.8
2100117	F	66.3
2100117	M	69.8
2100118	F	70.5
2100118	M	80.3
2100119	F	73.9
2100119	M	74.4
2100120	F	65.8
2100120	M	75.4
2100121	F	65.6
2100121	M	75.1
2100122	F	67.9
2100122	M	76.5
2100123	F	67.6
2100123	M	75.5
2100124	F	66.9
2100124	M	76.8
2100201	F	56
2100201	M	66.5
2100202	F	49.1
2100202	M	52.1
2100203	F	54.2
2100203	M	61
2100204	F	46
2100204	M	53.5
2100205	F	51.7
2100205	M	60.2
2100206	F	41.7
2100206	M	38.4
2100207	F	52.1
2100207	M	61.4
2100208	F	42.5
2100208	M	63.6
2100211	F	60.8
2100211	M	65.8
2100212	F	60.5
2100212	M	47
2100213	F	46
2100213	M	50.7
2100214	F	56.1
2100214	M	64.1
2100215	F	68.3
2100215	M	60.6
2100216	F	56
2100216	M	58.7
2100217	F	45.8
2100217	M	59.5
2100218	F	63.1
2100218	M	68.5
2100219	F	32.9
2100219	M	42.1
2100220	F	51.8
2100220	M	66
2100221	F	46.2
2100221	M	49.6
2100222	F	52.2
2100222	M	61.3
2100223	F	35.4
2100223	M	50
2100224	F	51.4
2100224	M	54.6
2100225	F	36.9
2100225	M	53.6
2100226	F	58.3
2100226	M	56.7
2100227	F	65.6
2100227	M	69.7
2100228	F	39
2100228	M	53.8
2100229	F	56.4
2100229	M	50
2100230	F	56.1
2100230	M	59.4
2100231	F	67.2
2100231	M	65.5
2100232	F	50.8
2100232	M	60.9
2100233	F	44.1
2100233	M	56.5
2100234	F	56.2
2100234	M	61.2
2100301	F	48.5
2100301	M	50
2100302	F	43.1
2100302	M	48
2100303	F	57.7
2100303	M	56.6
2100304	F	50.8
2100304	M	51
2100305	F	49.7
2100305	M	54
2100306	F	52.9
2100306	M	62.5
2100307	F	42.8
2100307	M	48.1
2100308	F	54.7
2100308	M	48
2100309	F	60.8
2100309	M	65.8
2100310	F	44.6
2100310	M	56.9
2100311	F	70.9
2100311	M	75.4
2100312	F	53.6
2100312	M	69.8
2100313	F	61.8
2100313	M	68.3
2100314	F	50.7
2100314	M	55
2100315	F	65.3
2100315	M	68.8
2100316	F	24.1
2100316	M	38.2
2100317	F	52.3
2100317	M	61.9
2100318	F	59.2
2100318	M	61.8
2100319	F	34.5
2100319	M	55.1
2100320	F	52.6
2100320	M	60
2100321	F	47.8
2100321	M	57.6
2100322	F	62.7
2100322	M	64.3
2100323	F	52.5
2100323	M	67.5
2100324	F	52.3
2100324	M	61
2100325	F	59.8
2100325	M	56.7
2100326	F	68
2100326	M	78.1
2100327	F	64.4
2100327	M	64.9
2100328	F	55.6
2100328	M	54.8
2100329	F	56.1
2100329	M	59
2100330	F	62.2
2100330	M	58.2
2100331	F	46.1
2100331	M	61
2100332	F	66.8
2100332	M	70.1
2100333	F	60
2100333	M	62.9
2100334	F	46.7
2100334	M	57.5
2100335	F	42.1
2100335	M	57.4
2100337	F	57.2
2100337	M	74.1
2100338	F	37.8
2100338	M	56
2100339	F	38.6
2100339	M	54
2100340	F	47
2100340	M	52.4
2100341	F	49.7
2100341	M	62.9
2100342	F	61.7
2100342	M	71.6
2100343	F	52.6
2100343	M	70.5
2100344	F	14
2100344	M	17.1
2100345	F	64
2100345	M	74
2100346	F	63.5
2100346	M	64.9
2100347	F	67.1
2100347	M	74.8
2100348	F	41.5
2100348	M	48.2
2100349	F	47.8
2100349	M	51.6
2100350	F	61.3
2100350	M	54.5
2100351	F	32.4
2100351	M	42.8
2100401	F	47.8
2100401	M	50
2100402	F	22.5
2100402	M	33.6
2100404	F	53.5
2100404	M	53
2100405	F	37.9
2100405	M	48.8
2100406	F	49.3
2100406	M	52.2
2100407	F	53.6
2100407	M	53.1
2100408	F	48.8
2100408	M	54
2100409	F	41.9
2100409	M	52
2100410	F	46.2
2100410	M	60.3
2100411	F	62.3
2100411	M	68.9
2100412	F	48.5
2100412	M	58.6
2100414	F	63.4
2100414	M	59
2100415	F	42.9
2100415	M	52.3
2100416	F	49.4
2100416	M	54.1
2100417	F	56.3
2100417	M	53
2100418	F	42.2
2100418	M	53.6
2100419	F	47.4
2100419	M	52.3
2100420	F	50.6
2100420	M	50.2
2100421	F	52.3
2100421	M	63.6
2100422	F	61.7
2100422	M	66.9
2100423	F	59.5
2100423	M	47.6
2100424	F	43.8
2100424	M	58.5
2100425	F	41.2
2100425	M	49.8
2100426	F	60.2
2100426	M	61.7
2100427	F	48.3
2100427	M	50.3
2100428	F	38
2100428	M	47.1
2100429	F	46
2100429	M	63.9
2100430	F	48.3
2100430	M	44.7
2100431	F	45.1
2100431	M	54.4
2100432	F	29.7
2100432	M	46.2
2100433	F	45.7
2100433	M	49.6
2100434	F	40.3
2100434	M	48.1
2100435	F	30.5
2100435	M	37.9
2100436	F	51.2
2100436	M	64.9
2100437	F	39.8
2100437	M	44.1
2100438	F	35.7
2100438	M	44.7
2100439	F	47.6
2100439	M	56
2100440	F	42.4
2100440	M	52.1
2100441	F	33.5
2100441	M	50.4
2100442	F	52.2
2100442	M	65
2100443	F	50
2100443	M	46.9
2100444	F	52.6
2100444	M	53.4
2100445	F	35.2
2100445	M	42.1
2100446	F	31.3
2100446	M	58.2
2100447	F	45
2100447	M	52.6
2100448	F	40
2100448	M	44.6
2100449	F	12
2100449	M	29.9
2100451	F	61.5
2100451	M	61.3
2100452	F	55
2100452	M	65.7
2100453	F	61
2100453	M	73.4
2100454	F	57
2100454	M	69.4
2100455	F	54.3
2100455	M	61.3
2100456	F	62.1
2100456	M	74.4
2100501	F	52
2100501	M	63.5
2100502	F	56.6
2100502	M	59.6
2100504	F	48.8
2100504	M	49.3
2100505	F	30.5
2100505	M	28.8
2100506	F	71.1
2100506	M	74.7
2100507	F	50.9
2100507	M	58
2100508	F	61.3
2100508	M	68.8
2100509	F	48.6
2100509	M	55
2100510	F	52.9
2100510	M	54.5
2100511	F	66.3
2100511	M	64.8
2100512	F	64.9
2100512	M	60.5
2100513	F	57.7
2100513	M	66.5
2100514	F	68
2100514	M	62.5
2100515	F	50
2100515	M	64.4
2100516	F	65.7
2100516	M	69.4
2100517	F	54.1
2100517	M	58.7
2100518	F	59
2100518	M	66.1
2100519	F	37.3
2100519	M	47.1
2100601	F	19.1
2100601	M	30.5
2100602	F	55.1
2100602	M	69.8
2100603	F	51.2
2100603	M	72.3
2100604	F	64.7
2100604	M	76.2
2100605	F	74.2
2100605	M	81.9
2100606	F	58.5
2100606	M	57.8
2100607	F	72.6
2100607	M	64
2100608	F	74.4
2100608	M	72.9
2100610	F	59.4
2100610	M	52.9
2100611	F	51.3
2100611	M	46.5
2100612	F	42
2100612	M	47.2
2100613	F	57.9
2100613	M	49.2
2100614	F	53.6
2100614	M	47.9
2100615	F	56.2
2100615	M	60.4
2100616	F	6.5
2100617	F	56.7
2100617	M	64.8
2100701	F	68.2
2100701	M	70.3
2100702	F	66.2
2100702	M	63.5
2100703	F	52.4
2100703	M	58.4
2100704	F	57.7
2100704	M	61.5
2100705	F	60.7
2100705	M	65.2
2100706	F	62.8
2100706	M	70
2100707	F	63.8
2100707	M	64.9
2100708	F	58.4
2100708	M	66.7
2100709	F	70.1
2100709	M	65.8
2100801	F	22
2100801	M	32
2100804	F	27.3
2100804	M	41.1
2100805	F	16.8
2100805	M	29.6
2100806	F	26.2
2100806	M	32.2
2100807	F	39.4
2100807	M	43
2100809	F	41.1
2100809	M	53.6
2100810	F	48.6
2100810	M	58.8
2100811	F	48.5
2100811	M	64.9
2100812	F	48.1
2100812	M	53.5
2100813	F	37
2100813	M	50
2100815	F	23.3
2100815	M	38.2
2100816	F	48.4
2100816	M	58.9
2100818	F	68.5
2100818	M	74
2100820	F	43.6
2100820	M	49.7
2100821	F	36.8
2100821	M	52.5
2100822	F	28.6
2100822	M	47
2100823	F	37.8
2100823	M	45.2
2100824	F	16.6
2100824	M	32
2100825	F	22.4
2100825	M	29.8
2100826	F	34.6
2100826	M	46.2
2100827	F	43.2
2100827	M	46.4
2100828	F	39.9
2100828	M	44.4
2100829	F	27.4
2100829	M	56.5
2100830	F	34.9
2100830	M	53.7
2100831	F	44.4
2100831	M	49.6
2100832	F	25
2100832	M	32.9
2100833	F	41.5
2100833	M	50.8
2100834	F	33.1
2100834	M	41.1
2100835	F	66.9
2100835	M	68.6
2100836	F	63
2100836	M	67.6
2100837	F	72.9
2100837	M	75.8
2100838	F	84.3
2100838	M	55.9
2100840	F	66.1
2100840	M	58.1
2100841	F	71.4
2100841	M	81.3
2100842	F	74.7
2100842	M	84.3
2100843	F	47.6
2100843	M	44.4
2100844	F	71.4
2100844	M	81.5
2100845	F	50
2100845	M	54.1
2100901	F	43.9
2100901	M	62.2
2100902	F	59
2100902	M	59.5
2100903	F	62.5
2100903	M	69.5
2100904	F	58
2100904	M	70.1
2100905	F	52.9
2100905	M	53
2100906	F	60
2100906	M	58
2100907	F	66
2100907	M	71.8
2100908	F	43.1
2100908	M	72.4
2100909	F	55.1
2100909	M	63.1
2100910	F	56.2
2100910	M	62.1
2100911	F	49.6
2100911	M	68.2
2100912	F	55.1
2100912	M	62.9
2100913	F	46.4
2100913	M	55.6
2100914	F	39.3
2100914	M	51.2
2100915	F	36.7
2100915	M	44.8
2100916	F	37.3
2100916	M	43.3
2100917	F	60.9
2100917	M	64.6
2101001	F	60.9
2101001	M	60.9
2101002	F	43.2
2101002	M	47.6
2101003	F	33.9
2101003	M	56
2101004	F	24.3
2101004	M	33.1
2101005	F	15.5
2101005	M	29.9
2101006	F	51.3
2101006	M	53.4
2101007	F	59.6
2101007	M	62.7
2101008	F	45.6
2101008	M	54.6
2101009	F	54
2101009	M	54.3
2101010	F	50.8
2101010	M	58.6
2101011	F	63
2101011	M	70.7
2101012	F	33.2
2101012	M	36.1
2101013	F	40.8
2101013	M	40.5
2101014	F	51.9
2101014	M	53.8
2101015	F	55.2
2101015	M	67.2
2101016	F	46.9
2101016	M	59.7
2101017	F	69
2101017	M	60.7
2101018	F	68.6
2101018	M	66.4
2101021	F	40.8
2101021	M	44.5
2101022	F	41.2
2101022	M	41
2101023	F	36.2
2101023	M	36.4
2101024	F	38
2101024	M	46.5
2101025	F	36.7
2101025	M	54.5
2101101	F	47
2101101	M	50.3
2101102	F	62.6
2101102	M	74
2101103	F	46.5
2101103	M	50
2101104	F	55
2101104	M	54.1
2101105	F	44.1
2101105	M	54.3
2101106	F	44.6
2101106	M	43.2
2101107	F	52
2101107	M	61.2
2101108	F	46.9
2101108	M	60.6
2101109	F	37.3
2101109	M	56.6
2101110	F	48.2
2101110	M	61.5
2101111	F	53.5
2101111	M	52.9
2101112	F	45.7
2101112	M	52.1
2101113	F	55.4
2101113	M	59.9
2101114	F	53.3
2101114	M	63.7
2101115	F	33.2
2101115	M	47.1
2101116	F	42.3
2101116	M	47.9
2101117	F	52.7
2101117	M	51.7
2101118	F	39.4
2101118	M	48.1
2101119	F	50
2101119	M	50.3
2101120	F	58.2
2101120	M	58.4
2101121	F	44.4
2101121	M	56.9
2101122	F	49.5
2101122	M	53.4
2101123	F	45.8
2101123	M	59.2
2101124	F	54.1
2101124	M	48.2
2101125	F	48.1
2101125	M	59.3
2101201	F	47.3
2101201	M	53.6
2101202	F	65.2
2101202	M	52.1
2101203	F	66.7
2101203	M	66.1
2101204	F	48.2
2101204	M	52.4
2101205	F	54.5
2101205	M	57.9
2101206	F	52.5
2101206	M	62.2
2101207	F	55.2
2101207	M	63.2
2101208	F	55.2
2101208	M	62.5
2101209	F	55
2101209	M	67.4
2101210	F	55.7
2101210	M	67.4
2101211	F	45.9
2101211	M	60.5
2101212	F	54.2
2101212	M	55.7
2101213	F	49.3
2101213	M	66
2101214	F	49.7
2101214	M	55.2
2101215	F	61.4
2101215	M	66
2101216	F	60.5
2101216	M	65.4
2101217	F	51.7
2101217	M	61.5
2101301	F	40.7
2101301	M	41.3
2101302	F	38.2
2101302	M	55.2
2101303	F	41.1
2101303	M	50.4
2101304	F	41.2
2101304	M	44.5
2101305	F	46.9
2101305	M	53
2101306	F	23.6
2101306	M	34.2
2101307	F	41.7
2101307	M	44.7
2101308	F	43.4
2101308	M	50.7
2101309	F	28.3
2101309	M	48.5
2101310	F	40.4
2101310	M	39.5
2101401	F	35.9
2101401	M	42.8
2101402	F	26.7
2101402	M	33.3
2101403	F	50.8
2101403	M	54.6
2101404	F	44
2101404	M	49.5
2101405	F	74
2101405	M	80.2
2101406	F	57.8
2101406	M	16
2101407	F	47.9
2101407	M	53
2101408	F	56.6
2101408	M	60.2
2101409	F	44.1
2101409	M	48.8
2101410	F	43.8
2101410	M	49.2
2101411	F	44.8
2101411	M	49.6
2101412	F	37.9
2101412	M	41.9
2101413	F	100
2101501	F	58.7
2101501	M	62.8
2101502	F	54.3
2101502	M	46.1
2101503	F	59.6
2101503	M	66.1
2101504	F	47.2
2101504	M	40
2101505	F	32.4
2101505	M	47.1
2101506	F	39.5
2101506	M	46.3
2101507	F	57.3
2101507	M	58.1
2101508	F	59.1
2101508	M	58.8
2101509	F	50.9
2101509	M	60
2101510	F	47.6
2101510	M	63.7
2101511	F	54.5
2101511	M	58.9
2101512	F	42.5
2101512	M	60
2101601	F	27.1
2101601	M	50
2101602	F	33.8
2101602	M	40.3
2101603	F	35.3
2101603	M	39
2101604	F	33.3
2101604	M	43.5
2101605	F	19.4
2101605	M	29.9
2101606	F	32.5
2101606	M	36.5
2101607	F	37
2101607	M	46
2101608	F	40
2101608	M	53.1
2101609	F	30.5
2101609	M	35.5
2101610	F	34.3
2101610	M	43
2101611	F	43.2
2101611	M	38.2
2101612	F	45.4
2101612	M	58.5
2101613	F	28.7
2101613	M	36.4
2101614	F	50.8
2101614	M	52.3
2101615	F	18.9
2101615	M	16.5
2101616	F	35.1
2101616	M	44.6
2101617	F	46.7
2101617	M	34.4
2101618	F	27.8
2101618	M	33.9
2101619	F	36.2
2101619	M	43.3
2101620	F	43.6
2101620	M	42.1
2101621	F	43.8
2101621	M	65.5
2101701	F	23.2
2101701	M	23.6
2101702	F	50
2101702	M	61.5
2101703	F	40.7
2101703	M	50.9
2101704	F	27.6
2101704	M	41
2101705	F	25.3
2101705	M	32
2101706	F	42.5
2101706	M	62.5
2101707	F	38.1
2101707	M	40.1
2101708	F	33.3
2101708	M	37.8
2101709	F	42.2
2101709	M	44
2101710	F	46.1
2101710	M	40.1
2101711	F	37.2
2101711	M	52.8
2101712	F	37.1
2101712	M	43.7
2101713	F	34.9
2101713	M	33.7
2101714	F	46.7
2101714	M	49
2101715	F	39.1
2101715	M	60.2
2101801	F	38.6
2101801	M	47.5
2101802	F	54.2
2101802	M	57.9
2101803	F	45.9
2101803	M	56.5
2101804	F	22.9
2101804	M	40.5
2101805	F	32.3
2101805	M	35.5
2101806	F	48.5
2101806	M	52.3
2101807	F	45.8
2101807	M	54.1
2101808	F	50.5
2101808	M	60.9
2101809	F	47.4
2101809	M	51.8
2101810	F	46.1
2101810	M	50.4
2101811	F	26
2101811	M	28.2
2101812	F	13
2101812	M	23.6
2101813	F	52
2101813	M	55.5
2101814	F	58.3
2101814	M	54.4
2101815	F	63.2
2101815	M	56.7
2101816	F	57.8
2101816	M	61.5
2101817	F	42.4
2101817	M	52.7
2101818	F	45.4
2101818	M	46.4
2101819	F	34.4
2101819	M	61
2101820	F	40
2101820	M	34
2101821	F	57
2101821	M	60.2
2101822	F	56.3
2101822	M	64.2
2101823	F	54.7
2101823	M	54.2
2101824	F	51.2
2101824	M	63.9
2101825	F	39.3
2101825	M	51.4
2101826	F	61.9
2101826	M	53.2
2101827	F	57.1
2101827	M	54.8
2101828	F	32.9
2101828	M	41.7
2101829	F	58.3
2101829	M	57.8
2101830	F	53.2
2101830	M	57.4
2101831	F	55.9
2101831	M	58.2
2101832	F	51.6
2101832	M	55.2
2101833	F	56.1
2101833	M	57.7
2101834	F	62.9
2101834	M	60.7
2101835	F	55.1
2101835	M	60
2101836	F	29.2
2101836	M	30.7
2101837	F	47.9
2101837	M	57.8
2101838	F	47.5
2101838	M	48.8
2101901	F	39.5
2101901	M	42.5
2101902	F	36.3
2101902	M	47.1
2101903	F	41.8
2101903	M	39.4
2101904	F	36.6
2101904	M	51.2
2101905	F	37.9
2101905	M	45.5
2101906	F	47.1
2101906	M	52.7
2101907	F	46.1
2101907	M	57.5
2101908	F	44.4
2101908	M	48.1
2101909	F	44.9
2101909	M	50.6
2101910	F	53.7
2101910	M	59.2
2101911	F	49
2101911	M	48
2101912	F	53.8
2101912	M	67.1
2101913	F	45.9
2101913	M	43.5
2101914	F	30.8
2101914	M	33
2101915	F	53.6
2101915	M	57.5
2101916	F	27.8
2101916	M	40.7
2101917	F	39.5
2101917	M	61.5
2101918	F	48.4
2101918	M	54.4
2101919	F	52.3
2101919	M	56.5
2101920	F	58.5
2101920	M	63.9
2101921	F	39.3
2101921	M	52.4
2101922	F	51.7
2101922	M	56.5
2101923	F	40.6
2101923	M	51.5
2101924	F	43.4
2101924	M	56.5
2102001	F	36.2
2102001	M	48.1
2102002	F	56.6
2102002	M	62.1
2102003	F	43.1
2102003	M	56.4
2102004	F	48.1
2102004	M	50.3
2102005	F	39.8
2102005	M	48.1
2102006	F	52.8
2102006	M	59
2102007	F	57.3
2102007	M	62.7
2102008	F	73.3
2102008	M	73.8
2102009	F	55.5
2102009	M	64
2102010	F	50.6
2102010	M	58.4
2102011	F	58.3
2102011	M	63.7
2102012	F	45.9
2102012	M	53.2
2102013	F	55.6
2102013	M	61.7
2102014	F	53.5
2102014	M	51.7
2102015	F	56.5
2102015	M	50.4
2102016	F	61.2
2102016	M	59.8
2102017	F	28.7
2102017	M	49
2102018	F	43.1
2102018	M	55
2102019	F	43.1
2102019	M	52.9
2102020	F	52.5
2102020	M	50.5
2102021	F	50.7
2102021	M	60.8
2102022	F	42.3
2102022	M	56.4
2102023	F	43.7
2102023	M	60.7
2102024	F	49.7
2102024	M	57.8
2102025	F	47.5
2102025	M	57.3
2102026	F	44.3
2102026	M	57.5
2102027	F	32.3
2102027	M	40.4
2102028	F	55
2102028	M	60.9
2102029	F	48.8
2102029	M	58.1
2102030	F	57.3
2102030	M	60.8
2102031	F	43.6
2102031	M	56.2
2102032	F	40.9
2102032	M	51.4
2102033	F	49.7
2102033	M	49.7
2102034	F	56.6
2102034	M	62.1
2102035	F	44.8
2102035	M	62.1
2102036	F	61.3
2102036	M	72
2102038	F	28.7
2102038	M	39.2
2102039	F	50
2102039	M	46.7
2102101	F	57.4
2102101	M	52.2
2102102	F	50.5
2102102	M	59.8
2102103	F	40.9
2102103	M	60.6
2102104	F	52.8
2102104	M	63
2102105	F	57
2102105	M	60.5
2102106	F	48.1
2102106	M	58.2
2102107	F	65.3
2102107	M	66.3
2102108	F	50.8
2102108	M	41.5
2102109	F	58.2
2102109	M	50
2102110	F	55.6
2102110	M	65.9
2102111	F	37.1
2102111	M	48.8
2102112	F	52.3
2102112	M	55.9
2102113	F	53.8
2102113	M	59.5
2102114	F	52.1
2102114	M	56.9
2102115	F	56.3
2102115	M	58.7
2102116	F	63.1
2102116	M	68.6
2102117	F	57.7
2102117	M	68
2102118	F	65.8
2102118	M	66.5
2102119	F	49.5
2102119	M	59.5
2102120	F	62.8
2102120	M	67.2
2102121	F	44.1
2102121	M	44.3
2102122	F	72.8
2102122	M	62.7
2102125	F	62.4
2102125	M	68.9
2102126	F	57.9
2102126	M	61.7
2102201	F	41.3
2102201	M	46.2
2102202	F	35.4
2102202	M	47.9
2102203	F	24.8
2102203	M	39.8
2102204	F	35.8
2102204	M	40.2
2102205	F	62.4
2102205	M	58.2
2102206	F	61.1
2102206	M	58.1
2102208	F	46.7
2102208	M	60.6
2102209	F	48.7
2102209	M	61.1
2102210	F	60.6
2102210	M	64.2
2102211	F	36.4
2102211	M	53.4
2102212	F	57.8
2102212	M	68.3
2102213	F	31.9
2102213	M	37.8
2102214	F	55.2
2102214	M	66.4
2102215	F	41.8
2102215	M	55.9
2102216	F	43.9
2102216	M	54.4
2102217	F	42.4
2102217	M	45.5
2102218	F	45.4
2102218	M	61.1
2102219	F	41.6
2102219	M	56.3
2102220	F	35.5
2102220	M	43.7
2102221	F	23.1
2102221	M	34.1
2102222	F	64.8
2102222	M	68.9
2102223	F	43.2
2102223	M	51.3
2102224	F	46.2
2102224	M	50.8
2102225	F	41.9
2102225	M	59.8
2102226	F	53.1
2102226	M	69.6
2102227	F	48.8
2102227	M	59.8
2102228	F	55.9
2102228	M	57.2
2102229	F	55.6
2102229	M	60.8
2102230	F	29.3
2102230	M	31.5
2102231	F	54.4
2102231	M	53.6
2102232	F	47.8
2102232	M	64.4
2102233	F	50.8
2102233	M	53.6
2102234	F	50
2102234	M	60.7
2102235	F	53.4
2102235	M	59.8
2102236	F	45
2102236	M	47.9
2102237	F	59.7
2102237	M	59.8
2102238	F	40.8
2102238	M	50
2102239	F	46.6
2102239	M	54.2
2102240	F	31.4
2102240	M	63
2102241	F	46.2
2102241	M	49.3
2102242	F	22.9
2102242	M	39
2102243	F	39.4
2102243	M	51.3
2102244	F	50.3
2102244	M	69.7
2102245	F	60.7
2102245	M	70.1
2102301	F	58.3
2102301	M	66.5
2102302	F	61.9
2102302	M	72.8
2102305	F	57.9
2102305	M	67.4
2102306	F	59.4
2102306	M	63.6
2102307	F	54.8
2102307	M	62.5
2102308	F	67.1
2102308	M	66.8
2102309	F	68.3
2102309	M	72.4
2102310	F	73.8
2102310	M	82.6
2102311	F	65.5
2102311	M	77.3
2102312	F	64.5
2102312	M	77
2102401	F	53
2102401	M	66.2
2102402	F	58
2102402	M	63.2
2102403	F	53.1
2102403	M	64.4
2102405	F	65.9
2102405	M	72.2
2102407	F	68.3
2102407	M	70
2102408	F	68.3
2102408	M	75.8
2102409	F	69.4
2102409	M	76.4
2102410	F	67.8
2102410	M	73.9
2102411	F	47.9
2102411	M	51.4
2102412	F	63.8
2102412	M	70.9
2102413	F	63.1
2102413	M	71.2
2102414	F	56.5
2102414	M	69.5
2102415	F	74.3
2102415	M	65.2
2102418	F	69.9
2102418	M	72.5
2102419	F	69.9
2102419	M	67.2
2102420	F	70.5
2102420	M	71.8
2102421	F	55.5
2102421	M	68.6
2102422	F	24.4
2102422	M	35.8
2102501	F	51.8
2102501	M	63.7
2102502	F	62.4
2102502	M	64.1
2102503	F	62.4
2102503	M	65.7
2102504	F	49
2102504	M	59
2102505	F	43.7
2102505	M	50
2102506	F	46.6
2102506	M	54.6
2102509	F	60
2102509	M	66
2102510	F	48.9
2102510	M	59.8
2102511	F	40.6
2102511	M	57.1
2102512	F	59
2102512	M	69.7
2102513	F	61.9
2102513	M	71.7
2102514	F	64.2
2102514	M	66.7
2102515	F	70.7
2102515	M	64.8
2102516	F	64.5
2102516	M	75.1
2102517	F	59.5
2102517	M	72.2
2102518	F	65.9
2102518	M	76.4
2102519	F	60.3
2102519	M	61.9
2102520	F	53.6
2102520	M	57.4
2102521	F	62.3
2102521	M	66.8
2102522	F	52.4
2102522	M	58.7
2102523	F	65.1
2102523	M	67.6
2102601	F	61.7
2102601	M	75
2102602	F	52.3
2102602	M	62.8
2102603	F	64.5
2102603	M	63.5
2102604	F	60.1
2102604	M	68.6
2102605	F	62.7
2102605	M	55.5
2102606	F	59.5
2102606	M	73.8
2102607	F	56.5
2102607	M	58.6
2102608	F	63.4
2102608	M	70.8
2102609	F	56.3
2102609	M	65.7
2102610	F	58.5
2102610	M	63.2
2102611	F	62.2
2102611	M	62.1
2102612	F	61.9
2102612	M	61.5
2102613	F	65.5
2102613	M	69.3
2102614	F	65.2
2102614	M	72.8
2102615	F	66
2102615	M	60
2102616	F	57.9
2102616	M	65.3
2102617	F	43.9
2102617	M	45.2
