SA1_7DIGITCODE_2016	medianTotalPersonalIncome
1105710	23608
1105711	25688
1105712	23400
1105713	22360
1105714	26988
1105715	23192
1105716	25376
1105717	29224
1105718	25376
1105719	28704
1105720	24492
1105801	32240
1105802	38012
1105804	32604
1105805	29380
1105806	49712
1105807	31512
1105808	22984
1105809	43056
1105811	42848
1105813	39312
1105814	20956
1105815	30888
1105816	35984
1105817	33644
1105818	32188
1105819	32656
1105820	25532
1105821	29068
1105822	29900
1105823	28808
1105824	30836
1105825	30524
1105826	36920
1105827	29276
1105828	33592
1105829	27872
1105830	29120
1105831	39208
1105832	29224
1105833	22516
1105834	32240
1105835	41964
1105836	29744
1105837	33176
1105838	38584
1105839	37908
1105840	38376
1105841	10868
1105842	44824
1105843	26468
1105844	38896
1105845	41340
1105846	28964
1105847	39052
1105848	35152
1105849	
1105850	37336
1105851	25220
1105852	
1105853	28340
1105854	26520
1105855	29744
1105856	36244
1105857	24908
1105858	
1105859	47424
1105860	46280
1105861	42068
1105862	51324
1105863	41028
1105864	49244
1105901	36868
1105902	31148
1105903	32864
1105904	
1105905	21320
1105906	23920
1105907	22152
1105908	23140
1105910	43680
1105912	31148
1105913	38324
1105914	27872
1105915	33956
1105916	40664
1105917	39988
1105918	40248
1105919	39416
1105920	39468
1105921	41860
1105922	36140
1105923	35776
1105924	25376
1105925	44148
1105926	39780
1105927	31824
1106001	36608
1106002	40508
1106003	31616
1106004	33124
1106005	21580
1106006	37700
1106007	28444
1106008	41340
1106009	40872
1106010	27924
1106011	35516
1106012	37856
1106013	34060
1106014	40092
1106015	38844
1106016	36660
1106017	35464
1106018	30524
1106019	32656
1106020	39936
1106021	
1106101	27924
1106102	30732
1106103	37024
1106104	38116
1106105	28340
1106106	33020
1106107	33384
1106108	36660
1106109	31148
1106110	25012
1106111	25064
1106112	27040
1106113	35724
1106114	31304
1106115	34580
1106116	30784
1106201	23452
1106202	22308
1106203	33176
1106204	25896
1106205	37856
1106206	30160
1106207	26988
1106208	24024
1106209	27664
1106210	28912
1106211	24076
1106212	24284
1106213	33540
1106214	38948
1106215	30940
1106216	37700
1106217	34788
1106218	34008
1106219	36868
1106220	34424
1106221	27248
1106222	23972
1106223	
1106224	18668
1106225	
1106301	
1106302	
1106303	24752
1106304	36816
1106305	36920
1106306	21112
1106307	
1106308	24648
1106309	20696
1106310	25636
1106311	24024
1106312	25584
1106313	28392
1106314	30732
1106315	34632
1106316	26104
1106317	22828
1106318	22932
1106319	22568
1106320	23660
1106321	25844
1106322	24180
1106323	28600
1106324	25220
1106325	28288
1106326	29276
1106327	35880
1106328	32812
1106329	31356
1106401	26260
1106402	30680
1106403	24544
1106404	26312
1106405	20644
1106406	23660
1106407	32604
1106408	31668
1106409	23556
1106410	25064
1106411	32396
1106412	32812
1106413	32136
1106414	26104
1106415	22620
1106416	28496
1106417	29744
1106418	28860
1106501	31044
1106502	23868
1106503	26468
1106504	29276
1106505	27716
1106506	29588
1106507	25220
1106508	34216
1106509	32500
1106510	39156
1106511	34788
1106512	24440
1106513	29172
1106514	30004
1106515	26416
1106516	35828
1106517	33384
1106518	35828
1106519	28236
1106520	38168
1106521	35880
1106522	30316
1106523	27820
1106524	35828
1106525	33488
1106526	31876
1106527	22360
1106528	24128
1106529	20176
1106601	22100
1106602	34684
1106603	34320
1106604	27092
1106605	25220
1106606	21008
1106607	22100
1106608	22516
1106609	28600
1106610	26364
1106611	29276
1106612	28808
1106613	34632
1106701	29380
1106702	37700
1106703	37284
1106704	24076
1106705	34632
1106706	35100
1106707	37284
1106708	34788
1106709	26364
1106710	36244
1106711	28340
1106712	24804
1106713	38896
1106714	25740
1106715	30420
1106716	37700
1106717	29900
1106718	42328
1106719	22932
1106720	27924
1106721	24856
1106722	25688
1106723	29900
1106724	29900
1106725	37700
1106726	31876
1106727	23920
1106728	26572
1106729	22308
1106801	25688
1106802	19032
1106803	22828
1106804	23244
1106805	24128
1106806	31876
1106807	23088
1106808	32188
1106809	27352
1106810	31512
1106811	34580
1106901	32604
1106902	28860
1106903	43004
1106904	30784
1106905	36192
1106906	24180
1106907	34788
1106908	32448
1106909	29640
1106910	39624
1106911	19708
1106912	23296
1106913	35412
1106914	28600
1106915	33280
1106916	29432
1106917	30628
1106918	35932
1106919	30264
1107001	32188
1107002	35724
1107003	24804
1107004	25740
1107005	24440
1107006	24128
1107007	24908
1107008	29900
1107009	
1107010	26052
1107011	27612
1107012	27092
1107013	25896
1107014	29016
1107015	25168
1107016	23504
1107017	37908
1107018	26676
1107019	23400
1107020	22308
1107021	20020
1107022	28080
1107023	24336
1107024	30940
1107025	31616
1107026	29432
1107027	29796
1107028	29016
1107029	30056
1107030	43940
1107031	
1107032	24544
1107101	24440
1107102	25584
1107103	25584
1107104	27924
1107105	29484
1107106	28600
1107107	24336
1107108	31564
1107109	37908
1107110	34528
1107111	31980
1107112	39312
1107113	21684
1107114	42536
1107115	31304
1107116	35828
1107117	32344
1107118	46800
1107119	30472
1107120	36452
1107121	26260
1107122	23296
1107123	21684
1107124	23556
1107125	29900
1107126	23712
1107127	33488
1107128	25324
1107201	24076
1107202	30732
1107203	25428
1107204	20852
1107205	29484
1107206	45032
1107207	40872
1107208	30576
1107209	32240
1107210	25584
1107211	40768
1107212	36764
1107214	35932
1107215	34320
1107216	26208
1107217	35360
1107218	35308
1107219	29328
1107220	30316
1107221	34632
1107222	45760
1107224	25688
1107225	40196
1107226	38844
1107227	40924
1107228	41444
1107301	
1107302	26728
1107303	24960
1107304	22828
1107305	21788
1107306	20696
1107307	22412
1107308	19656
1107309	24388
1107310	29016
1107311	21320
1107312	22568
1107313	25324
1107314	26364
1107401	25064
1107402	29692
1107403	27976
1107404	34268
1107405	24960
1107406	24076
1107407	24596
1107408	27300
1107409	23868
1107410	22932
1107411	27560
1107412	24076
1107413	27196
1107414	30992
1107415	25532
1107416	25896
1107417	27040
1107418	37388
1107419	23816
1107420	36608
1107421	33592
1107422	25532
1107423	18616
1107425	22568
1107426	25792
1107427	29172
1107501	
1107601	38324
1107602	38376
1107603	37440
1107604	28028
1107605	33176
1107606	24440
1107607	23972
1107608	24908
1107609	34580
1107610	28964
1107611	20644
1107612	25740
1107613	35724
1107614	49764
1107615	40716
1107616	41444
1107617	30004
1107618	25168
1107619	38428
1107620	31512
1107621	37492
1107701	41860
1107702	25792
1107703	45188
1107704	33280
1107705	25792
1107706	33124
1107707	32500
1107708	37544
1107709	38012
1107710	27092
1107711	37024
1107712	41860
1107713	28132
1107714	31408
1107715	35620
1107716	37076
1107717	34892
1107718	33072
1107719	29380
1107720	19812
1107721	32344
1107722	27716
1107723	32604
1107724	25584
1107725	34996
1107726	30888
1107727	34320
1107728	37856
1107729	34840
1107730	32968
1107731	34528
1107732	32708
1107733	23868
1107734	25168
1107735	
1107736	51324
1107737	43888
1107738	37180
1107739	19500
1107740	30992
1107741	26260
1107742	30940
1107743	32032
1107744	34320
1107745	29224
1107746	30784
1107747	19136
1107748	26364
1107749	21164
1107750	20228
1107751	23140
1107752	24232
1107753	36088
1107754	35516
1107801	34632
1107802	34008
1107804	31928
1107805	23816
1107806	35256
1107807	45448
1107808	20280
1107809	41184
1107810	39312
1107811	39104
1107812	38740
1107813	46800
1107814	37856
1107815	28808
1107816	42952
1107817	34840
1107818	43472
1107819	42016
1107820	46072
1107821	37440
1107822	38116
1107823	39312
1107824	34736
1107825	40040
1107826	37232
1107827	47580
1107828	32448
1107829	30940
1107830	27144
1107831	44044
1107833	50648
1107834	55640
1107835	46904
1107836	38948
1107837	22932
1107838	33124
1107839	25428
1107840	49140
1107841	48932
1107842	50024
1107843	40508
1107844	43836
1107845	33124
1107901	25012
1107902	27404
1107903	25792
1107904	27092
1107905	27560
1107906	25376
1107907	38688
1107908	34320
1107909	39936
1107910	30680
1107911	44876
1107912	43316
1107913	42380
1107914	39728
1107915	40196
1107916	38948
1107917	26780
1107918	32656
1107919	31408
1107920	28028
1107921	27768
1107922	48204
1107923	33020
1107924	38376
1107925	35568
1107926	37336
1107927	39468
1107928	51428
1107929	49816
1107930	40456
1107931	48048
1107932	36920
1107933	35724
1107934	34112
1107935	35724
1107936	35516
1108001	25428
1108002	31824
1108003	29328
1108004	18148
1108005	25168
1108006	23660
1108007	23400
1108008	21632
1108009	21112
1108010	24544
1108011	22256
1108012	21944
1108013	23140
1108014	24648
1108015	27820
1108016	30472
1108017	31720
1108018	22152
1108019	26728
1108020	29068
1108021	26988
1108022	32240
1108023	24856
1108024	25064
1108025	26832
1108026	
1108027	35308
1108028	34580
1108029	33852
1108030	29224
1108031	26832
1108032	26988
1108033	33228
1108034	27872
1108036	31512
1108037	27924
1108038	27612
1108039	26884
1108040	32708
1108041	23296
1108042	29120
1108043	25376
1108044	30680
1108046	22568
1108047	22724
1108048	23452
1108049	23868
1108050	25376
1108051	
1108052	23452
1108053	29536
1108054	30784
1108055	23140
1108101	24856
1108102	21996
1108103	21788
1108104	24960
1108105	22828
1108106	20332
1108107	24336
1108108	23140
1108109	23296
1108110	22620
1108111	
1108112	22152
1108113	24804
1108114	23608
1108115	28288
1108116	24388
1108117	26676
1108118	32656
1108119	21268
1108120	23452
1108121	21112
1108122	21684
1108123	24596
1108124	23764
1108125	29484
1108126	26260
1108127	31512
1108128	29016
1108129	23972
1108130	25688
1108131	24856
1108132	22516
1108133	20644
1108134	29432
1108135	24700
1108136	22880
1108137	24024
1108138	22464
1108139	26832
1108140	24440
1108141	31876
1108143	24700
1108144	22152
1108145	23296
1108146	24492
1108147	21736
1108148	25792
1108149	27612
1108150	27872
1108151	38428
1108152	29692
1108201	12636
1108202	22516
1108203	24908
1108204	24492
1108205	26936
1108206	29900
1108207	23764
1108208	36036
1108209	21996
1108210	23400
1108211	22932
1108212	21268
1108213	20696
1108214	25376
1108215	21060
1108216	24752
1108217	26364
1108218	25272
1108219	25116
1108220	23608
1108221	22152
1108222	23244
1108223	29016
1108224	23036
1108225	24648
1108226	24700
1108227	30680
1108228	35256
1108229	26312
1108230	22620
1108231	25584
1108232	26936
1108233	24284
1108234	24492
1108235	24908
1108236	
1108237	24440
1108238	25272
1108239	23400
1108240	26104
1108241	21424
1108242	22048
1108243	34216
1108244	23504
1108245	33436
1108301	25792
1108302	29900
1108303	26988
1108304	28704
1108305	28080
1108306	26624
1108307	29068
1108308	27664
1108309	27196
1108310	32188
1108311	24388
1108312	26104
1108313	28080
1108314	29432
1108315	28652
1108316	25792
1108317	24492
1108401	30784
1108402	
1108403	24752
1108404	25688
1108405	28444
1108406	25376
1108407	31200
1108408	30784
1108409	34528
1108410	25792
1108411	23660
1108412	33956
1108413	26156
1108414	29952
1108415	40144
1108416	26104
1108417	34996
