SA1_7DIGITCODE_2016	PrivateDwelling	persons
1140614	1	271
1140615	0	11
1140615	1	381
1140616	0	5
1140616	1	444
1140617	1	7
1140618	0	11
1140618	1	356
1140619	0	14
1140619	1	522
1140620	0	8
1140620	1	302
1140621	0	4
1140621	1	341
1140622	0	17
1140622	1	387
1140623	0	9
1140623	1	574
1140624	0	9
1140624	1	486
1140625	0	13
1140625	1	380
1140626	0	4
1140626	1	318
1140627	0	12
1140627	1	299
1140628	0	6
1140628	1	300
1140629	1	395
1140630	1	294
1140631	1	355
1140632	0	112
1140632	1	11
1140633	0	7
1140633	1	483
1140634	0	7
1140634	1	485
1140635	0	8
1140635	1	390
1140636	1	337
1140637	0	3
1140637	1	261
1140638	0	19
1140638	1	399
1140639	0	13
1140639	1	266
1140640	0	56
1140640	1	490
1140641	0	17
1140641	1	528
1140642	0	3
1140642	1	557
1140643	0	4
1140643	1	339
1140644	0	14
1140644	1	454
1140645	0	3
1140645	1	353
1140646	0	171
1140646	1	311
1140647	0	116
1140647	1	173
1140648	0	20
1140648	1	495
1140701	0	19
1140701	1	401
1140702	1	409
1140703	0	22
1140703	1	257
1140704	0	3
1140704	1	493
1140705	0	117
1140705	1	403
1140706	1	503
1140707	0	8
1140707	1	327
1140708	0	3
1140708	1	549
1140709	0	3
1140709	1	401
1140710	0	12
1140710	1	559
1140711	0	6
1140711	1	386
1140712	0	22
1140712	1	584
1140713	0	17
1140713	1	342
1140714	0	3
1140714	1	178
1140718	0	6
1140718	1	285
1140719	0	21
1140719	1	510
1140721	0	6
1140721	1	269
1140722	0	5
1140722	1	332
1140723	0	9
1140723	1	377
1140724	0	9
1140724	1	284
1140725	0	3
1140725	1	405
1140726	0	20
1140726	1	357
1140727	0	8
1140727	1	552
1140728	0	3
1140728	1	398
1140729	1	360
1140730	0	3
1140730	1	266
1140731	1	256
1140732	0	5
1140732	1	476
1140733	1	274
1140734	0	7
1140734	1	284
1140735	0	15
1140735	1	315
1140736	0	33
1140736	1	361
1140737	0	168
1140737	1	333
1140738	0	34
1140738	1	342
1140739	0	7
1140739	1	372
1140741	0	13
1140741	1	707
1140742	0	8
1140742	1	505
1140743	0	7
1140743	1	572
1140744	0	17
1140744	1	236
1140745	0	27
1140745	1	379
1140746	0	13
1140746	1	359
1140747	0	26
1140747	1	572
1140748	0	4
1140748	1	340
1140749	0	56
1140749	1	936
1140750	0	103
1140750	1	94
1140751	0	40
1140751	1	672
1140752	0	9
1140752	1	757
1140753	0	25
1140753	1	755
1140801	1	321
1140802	0	3
1140802	1	259
1140803	0	4
1140803	1	388
1140804	1	502
1140805	0	4
1140805	1	475
1140806	0	3
1140806	1	391
1140807	0	5
1140807	1	433
1140808	0	37
1140808	1	305
1140809	0	3
1140809	1	263
1140810	0	4
1140810	1	466
1140811	0	7
1140811	1	246
1140812	0	26
1140812	1	458
1140813	0	4
1140813	1	422
1140814	0	3
1140814	1	337
1140815	0	66
1140815	1	350
1140816	0	9
1140816	1	251
1140817	0	9
1140817	1	424
1140818	1	272
1140819	0	3
1140819	1	323
1140820	0	5
1140820	1	307
1140821	0	16
1140821	1	503
1140822	0	10
1140822	1	403
1140823	0	4
1140823	1	354
1140824	0	23
1140824	1	262
1140825	0	3
1140825	1	366
1140826	0	75
1140826	1	519
1140827	0	3
1140827	1	253
1140829	0	3
1140829	1	361
1140830	0	5
1140830	1	223
1140831	0	75
1140831	1	823
1140832	0	49
1140832	1	507
1140833	0	4
1140833	1	253
1140834	0	11
1140834	1	488
1140835	0	3
1140835	1	360
1140836	0	8
1140836	1	394
1140838	0	27
1140838	1	627
1140839	0	3
1140839	1	251
1140840	0	10
1140840	1	441
1140841	1	401
1140842	0	3
1140842	1	337
1140843	0	21
1140843	1	318
1140844	0	10
1140844	1	476
1140845	0	15
1140845	1	543
1140846	1	351
1140847	0	3
1140847	1	340
1140848	1	391
1140849	0	38
1140849	1	794
1140850	0	3
1140850	1	382
1140851	0	9
1140851	1	372
1140852	0	12
1140852	1	291
1140854	1	184
1140855	0	21
1140855	1	382
1140856	0	8
1140856	1	198
1140857	0	10
1140857	1	396
1140858	1	364
1140859	0	74
1140859	1	445
1140860	0	10
1140860	1	387
1140902	1	426
1140903	0	3
1140903	1	417
1140904	0	3
1140904	1	388
1140905	0	8
1140905	1	400
1140906	0	9
1140906	1	334
1140907	0	3
1140907	1	504
1140908	0	4
1140908	1	484
1140909	0	5
1140909	1	339
1140910	0	3
1140910	1	300
1140911	0	40
1140911	1	382
1140912	0	6
1140912	1	230
1140913	1	389
1140914	0	15
1140914	1	560
1140915	0	20
1140915	1	416
1140916	1	306
1140917	0	13
1140917	1	491
1140918	1	335
1140919	0	6
1140919	1	414
1140921	0	13
1140921	1	369
1140922	0	15
1140922	1	324
1140923	0	3
1140923	1	364
1140926	1	349
1140927	0	27
1140927	1	602
1140928	0	16
1140928	1	388
1140929	0	7
1140929	1	516
1140930	1	262
1140931	1	481
1140932	1	439
1140933	0	3
1140933	1	525
1140934	0	13
1140934	1	326
1140935	1	425
1140936	0	17
1140936	1	542
1140937	0	7
1140937	1	457
1140938	0	13
1140938	1	317
1140939	0	10
1140939	1	377
1140941	1	77
1140942	0	7
1140942	1	264
1140943	0	120
1140943	1	577
1140944	0	52
1140944	1	573
1141001	0	32
1141001	1	943
1141002	1	402
1141003	0	11
1141003	1	603
1141004	0	8
1141004	1	283
1141005	0	11
1141005	1	293
1141006	0	15
1141006	1	373
1141007	1	628
1141008	0	10
1141008	1	467
1141009	0	5
1141009	1	419
1141010	0	14
1141010	1	501
1141012	0	24
1141012	1	482
1141013	0	3
1141013	1	546
1141014	0	3
1141014	1	254
1141015	0	6
1141015	1	386
1141016	0	9
1141016	1	467
1141018	0	4
1141018	1	395
1141020	0	6
1141020	1	494
1141021	0	3
1141021	1	391
1141022	0	19
1141022	1	531
1141023	1	315
1141024	0	7
1141024	1	396
1141025	0	4
1141025	1	452
1141027	0	8
1141027	1	530
1141028	1	429
1141029	0	7
1141029	1	305
1141030	1	523
1141031	0	17
1141031	1	404
1141032	0	10
1141032	1	371
1141033	0	3
1141033	1	289
1141035	0	8
1141035	1	441
1141037	0	6
1141037	1	368
1141038	0	18
1141038	1	325
1141039	1	401
1141040	0	16
1141040	1	448
1141041	0	7
1141041	1	383
1141042	0	34
1141042	1	328
1141044	1	323
1141045	0	6
1141045	1	441
1141046	0	8
1141046	1	210
1141047	1	252
1141048	0	21
1141048	1	484
1141049	1	416
1141050	0	4
1141050	1	289
1141051	0	33
1141051	1	260
1141052	0	36
1141052	1	1071
1141053	0	14
1141053	1	360
1141101	0	3
1141101	1	412
1141102	0	19
1141102	1	472
1141103	0	15
1141103	1	451
1141104	0	20
1141104	1	469
1141105	0	7
1141105	1	524
1141106	0	12
1141106	1	303
1141107	0	11
1141107	1	297
1141108	1	445
1141109	0	12
1141109	1	232
1141110	0	3
1141110	1	309
1141111	0	11
1141111	1	523
1141112	1	248
1141113	0	99
1141113	1	262
1141114	0	112
1141114	1	416
1141115	0	227
1141115	1	346
1141116	0	3
1141116	1	3
1141117	0	131
1141117	1	404
1141118	0	6
1141118	1	409
1141119	0	4
1141119	1	595
1141120	0	3
1141120	1	294
1141121	0	10
1141121	1	290
1141122	0	13
1141122	1	455
1141123	0	23
1141123	1	532
1141124	1	464
1141125	1	347
1141126	0	38
1141126	1	463
1141127	0	4
1141127	1	429
1141128	0	4
1141128	1	321
1141129	1	518
1141130	0	15
1141130	1	406
1141131	0	6
1141131	1	625
1141132	0	10
1141132	1	455
1141133	0	3
1141133	1	489
1141134	0	18
1141134	1	762
1141135	0	15
1141135	1	317
1141136	0	4
1141136	1	448
1141137	0	115
1141137	1	203
1141138	0	6
1141138	1	227
1141139	0	16
1141139	1	333
1141140	0	3
1141140	1	559
1141141	1	353
1141142	1	396
1141143	0	5
1141143	1	420
1141144	0	41
1141144	1	651
1141201	0	24
1141201	1	384
1141202	0	5
1141202	1	564
1141203	0	12
1141203	1	454
1141204	0	661
1141204	1	163
1141205	0	15
1141205	1	547
1141206	0	5
1141206	1	356
1141207	0	17
1141207	1	533
1141208	1	271
1141209	0	4
1141209	1	418
1141210	0	16
1141210	1	291
1141211	0	223
1141211	1	171
1141212	0	9
1141212	1	402
1141214	0	8
1141214	1	341
1141215	1	305
1141217	0	25
1141217	1	376
1141218	0	26
1141218	1	561
1141219	0	4
1141219	1	431
1141220	0	13
1141220	1	336
1141221	0	4
1141221	1	434
1141222	0	15
1141222	1	650
1141223	0	222
1141223	1	709
1141224	0	3
1141224	1	477
1141225	0	8
1141225	1	355
1141226	0	3
1141226	1	468
1141227	0	3
1141227	1	478
1141228	0	6
1141228	1	312
1141229	0	20
1141229	1	328
1141230	0	4
1141230	1	566
1141231	0	6
1141231	1	358
1141232	1	396
1141233	1	325
1141234	0	21
1141234	1	553
1141235	1	267
1141236	0	12
1141236	1	513
1141237	0	3
1141237	1	492
1141238	0	27
1141238	1	386
1141240	0	25
1141240	1	374
1141241	0	140
1141241	1	173
1141242	0	160
1141242	1	376
1141243	0	11
1141243	1	434
1141301	0	37
1141301	1	342
1141302	0	6
1141302	1	518
1141303	0	31
1141303	1	391
1141304	0	21
1141304	1	518
1141305	0	9
1141305	1	384
1141306	0	15
1141306	1	407
1141307	0	75
1141307	1	353
1141308	0	12
1141308	1	256
1141309	0	39
1141309	1	373
1141310	0	32
1141310	1	600
1141311	0	24
1141311	1	602
1141312	0	11
1141312	1	332
1141313	0	21
1141313	1	526
1141314	0	9
1141314	1	316
1141315	0	45
1141315	1	459
1141316	0	47
1141316	1	369
1141317	0	23
1141317	1	307
1141318	0	15
1141318	1	391
1141319	0	10
1141319	1	423
1141320	0	15
1141320	1	340
1141321	0	24
1141321	1	428
1141322	0	15
1141322	1	367
1141323	0	3
1141323	1	304
1141324	0	17
1141324	1	375
1141325	0	30
1141325	1	494
1141326	0	21
1141326	1	445
1141327	0	32
1141327	1	437
1141328	0	16
1141328	1	354
1141329	0	59
1141329	1	655
1141330	0	17
1141330	1	368
1141331	0	19
1141331	1	285
1141332	0	51
1141332	1	504
1141333	0	27
1141333	1	379
1141334	0	11
1141334	1	381
1141335	0	66
1141335	1	533
1141336	0	51
1141336	1	468
1141337	0	40
1141337	1	521
1141338	0	150
1141338	1	478
1141339	0	6
1141339	1	298
1141340	0	84
1141340	1	361
1141341	0	69
1141341	1	472
1141342	0	12
1141342	1	353
1141401	0	27
1141401	1	341
1141402	0	10
1141402	1	292
1141403	0	11
1141403	1	325
1141404	0	26
1141404	1	283
1141405	0	7
1141405	1	371
1141406	0	45
1141406	1	318
1141407	0	21
1141407	1	422
1141408	0	29
1141408	1	437
1141409	0	19
1141409	1	618
1141410	0	22
1141410	1	460
1141411	0	28
1141411	1	529
1141412	0	46
1141412	1	349
1141413	0	3
1141413	1	231
1141414	0	26
1141414	1	426
1141415	0	42
1141415	1	539
1141416	0	34
1141416	1	546
1141417	0	23
1141417	1	568
1141418	0	46
1141418	1	438
1141419	0	16
1141419	1	340
1141420	0	28
1141420	1	457
1141421	0	9
1141421	1	306
1141422	0	25
1141422	1	321
1141423	0	120
1141423	1	136
1141424	0	239
1141424	1	501
1141425	0	49
1141425	1	570
1141426	0	14
1141426	1	337
1141427	0	10
1141427	1	325
1141428	0	26
1141428	1	379
1141429	0	8
1141429	1	330
1141430	0	48
1141430	1	470
1141431	0	10
1141431	1	410
1141432	0	28
1141432	1	485
1141433	0	23
1141433	1	317
1141434	0	124
1141434	1	321
1141435	0	101
1141435	1	369
1141436	0	20
1141436	1	341
1141437	1	245
1141438	0	18
1141438	1	389
1141439	0	21
1141439	1	246
1141440	0	14
1141440	1	276
1141441	0	3
1141441	1	200
1141442	0	25
1141442	1	305
1141443	0	20
1141443	1	339
1141444	0	12
1141444	1	247
1141501	0	29
1141501	1	269
1141502	0	7
1141502	1	277
1141503	0	34
1141503	1	470
1141504	0	14
1141504	1	293
1141505	0	18
1141505	1	361
1141506	0	8
1141506	1	409
1141507	0	11
1141507	1	319
1141508	0	25
1141508	1	538
1141509	0	33
1141509	1	375
1141510	0	3
1141511	0	4
1141511	1	420
1141512	0	40
1141512	1	406
1141513	0	24
1141513	1	418
1141514	0	10
1141514	1	432
1141515	0	12
1141515	1	341
1141516	0	17
1141516	1	310
1141517	0	53
1141517	1	409
1141518	0	38
1141518	1	523
1141519	0	6
1141519	1	279
1141520	0	31
1141520	1	391
1141521	0	87
1141521	1	499
1141522	0	29
1141522	1	497
1141523	0	29
1141523	1	411
1141524	0	27
1141524	1	238
1141525	0	58
1141525	1	457
1141526	0	16
1141526	1	447
1141527	0	18
1141527	1	494
1141528	0	47
1141528	1	332
1141529	0	23
1141529	1	314
1141530	0	33
1141530	1	513
1141531	0	35
1141531	1	479
1141532	0	7
1141532	1	463
1141533	0	46
1141533	1	450
1141534	0	59
1141534	1	204
1141535	0	35
1141535	1	614
1141536	0	39
1141536	1	495
1141537	0	188
1141537	1	45
1141538	0	8
1141538	1	308
1141539	0	21
1141539	1	403
1141540	0	46
1141540	1	413
1141541	0	46
1141541	1	528
1141542	0	40
1141542	1	463
1141543	0	13
1141543	1	526
1141544	0	17
1141544	1	257
1141545	0	15
1141545	1	432
1141546	0	110
1141546	1	411
1141547	0	22
1141547	1	259
1141548	0	11
1141548	1	304
1141549	0	16
1141549	1	387
1141550	0	12
1141550	1	258
1141551	0	21
1141551	1	292
1141552	0	42
1141552	1	430
1141553	0	89
1141553	1	406
1141554	0	10
1141554	1	313
1141555	0	14
1141555	1	299
1141556	0	71
1141556	1	402
1141557	0	12
1141557	1	257
1141558	0	34
1141558	1	493
1141559	0	13
1141559	1	364
1141560	0	79
1141560	1	524
1141561	0	24
1141561	1	386
1141562	0	35
1141562	1	295
1141563	0	9
1141563	1	283
1141564	0	10
1141565	0	13
1141565	1	216
1141566	0	19
1141566	1	413
1141567	0	8
1141567	1	231
1141568	0	32
1141568	1	229
1141569	0	21
1141569	1	250
1141570	0	15
1141570	1	229
1141571	0	17
1141571	1	268
1141601	0	108
1141601	1	473
1141602	0	51
1141602	1	415
1141603	0	17
1141603	1	311
1141604	0	13
1141604	1	477
1141605	0	55
1141605	1	469
1141606	0	36
1141606	1	568
1141607	0	32
1141607	1	408
1141608	0	29
1141608	1	274
1141609	0	42
1141609	1	442
1141610	0	61
1141610	1	449
1141611	0	22
1141611	1	205
1141612	0	18
1141612	1	285
1141613	0	52
1141613	1	424
1141614	0	38
1141614	1	616
1141615	0	104
1141615	1	576
1141616	0	22
1141616	1	246
1141617	0	167
1141617	1	375
1141618	0	25
1141618	1	440
1141619	0	50
1141619	1	433
1141620	0	117
1141620	1	234
1141621	0	48
1141621	1	521
1141622	0	71
1141622	1	537
1141623	0	83
1141623	1	460
1141624	0	42
1141624	1	330
1141625	0	65
1141625	1	509
1141626	0	32
1141626	1	287
1141627	0	72
1141627	1	403
1141628	0	34
1141628	1	395
1141629	0	22
1141629	1	521
1141630	0	81
1141630	1	610
1141631	0	74
1141631	1	491
1141632	0	19
1141632	1	304
1141633	0	37
1141633	1	472
1141634	0	22
1141634	1	201
1141635	0	54
1141635	1	538
1141636	0	26
1141636	1	363
1141637	0	48
1141637	1	571
1141701	0	40
1141701	1	472
1141702	0	216
1141702	1	104
1141703	0	72
1141703	1	807
1141704	0	26
1141704	1	373
1141706	0	69
1141706	1	346
1141707	0	44
1141707	1	238
1141708	0	44
1141708	1	433
1141709	0	79
1141709	1	275
1141710	1	10
1141712	0	20
1141712	1	450
1141713	0	201
1141713	1	190
1141714	0	31
1141714	1	393
1141716	0	20
1141716	1	357
1141717	0	39
1141717	1	246
1141718	0	66
1141718	1	381
1141719	0	17
1141719	1	256
1141721	0	26
1141721	1	361
1141723	0	33
1141723	1	522
1141724	0	116
1141724	1	685
1141726	0	149
1141726	1	314
1141728	0	24
1141728	1	229
1141729	0	87
1141729	1	394
1141730	0	47
1141730	1	234
1141731	0	238
1141731	1	231
1141732	0	17
1141732	1	351
1141733	0	31
1141733	1	292
1141734	0	36
1141734	1	315
1141801	0	13
1141801	1	367
1141803	0	18
1141803	1	534
1141804	0	9
1141804	1	511
1141805	0	13
1141805	1	441
1141806	0	31
1141806	1	610
1141808	0	18
1141808	1	560
1141809	0	8
1141809	1	377
1141810	0	5
1141810	1	271
1141811	0	14
1141811	1	302
1141812	0	12
1141812	1	553
1141813	0	23
1141813	1	469
1141814	0	3
1141814	1	334
1141815	0	14
1141815	1	585
1141816	0	8
1141816	1	412
1141817	0	14
1141817	1	532
1141818	0	13
1141818	1	424
1141819	0	5
1141819	1	451
1141820	0	19
1141820	1	390
1141821	0	32
1141821	1	377
1141822	0	17
1141822	1	467
1141823	0	10
1141823	1	565
1141827	0	23
1141827	1	454
1141828	0	32
1141828	1	437
1141829	0	17
1141829	1	455
1141830	0	6
1141830	1	481
1141831	0	15
1141831	1	333
1141832	0	32
1141832	1	493
1141833	0	34
1141833	1	218
1141834	0	24
1141834	1	659
1141835	0	34
1141835	1	355
1141836	0	12
1141836	1	413
1141837	0	17
1141837	1	235
1141838	0	13
1141838	1	486
1141839	0	5
1141839	1	508
1141840	0	18
1141840	1	411
1141841	0	26
1141841	1	564
1141843	0	11
1141843	1	276
1141844	0	15
1141844	1	560
1141845	1	254
1141846	0	16
1141846	1	238
1141847	0	3
1141847	1	400
1141848	0	38
1141848	1	418
1141849	0	24
1141849	1	476
1141850	0	9
1141850	1	320
1141901	0	59
1141901	1	371
1141902	0	41
1141902	1	441
1141903	0	16
1141903	1	517
1141904	0	6
1141904	1	250
1141905	0	131
1141905	1	421
1141906	0	20
1141906	1	508
1141907	0	43
1141907	1	395
1141908	0	212
1141908	1	354
1141909	0	15
1141909	1	373
1141910	0	43
1141910	1	426
1141911	0	14
1141911	1	237
1141912	0	24
1141912	1	491
1141913	0	25
1141913	1	319
1141914	0	37
1141914	1	248
1141915	0	19
1141915	1	289
1141916	0	18
1141916	1	367
1141917	0	22
1141917	1	556
1141918	0	18
1141918	1	583
1141919	0	16
1141919	1	359
1141920	0	21
1141920	1	421
1141921	0	58
1141921	1	508
1141922	0	101
1141922	1	480
1141923	0	103
1141923	1	518
1141924	0	65
1141924	1	553
1141925	0	164
1141925	1	370
1141926	0	15
1141926	1	484
1141927	0	37
1141927	1	348
1141928	0	30
1141928	1	374
1141929	0	36
1141929	1	353
1141930	0	19
1141930	1	176
1141931	0	30
1141931	1	341
1141932	0	21
1141932	1	555
1141933	0	144
1141933	1	561
1141934	0	21
1141934	1	431
1141935	0	21
1141935	1	342
1141936	0	106
1141936	1	522
1141937	0	145
1141937	1	379
1141938	0	15
1141938	1	551
1141939	0	253
1141939	1	109
1141940	0	87
1141940	1	418
1141941	0	14
1141941	1	304
1141942	1	16
1141943	0	9
1141943	1	512
1141944	0	13
1141944	1	444
1141945	0	13
1141945	1	539
1141946	0	11
1141946	1	320
1141947	0	47
1141947	1	508
1141948	0	54
1141948	1	490
1142001	0	17
1142001	1	437
1142002	0	39
1142002	1	352
1142003	0	15
1142003	1	206
1142004	0	16
1142004	1	344
1142005	0	19
1142005	1	335
1142006	0	37
1142006	1	288
1142007	0	9
1142007	1	478
1142008	0	11
1142008	1	349
1142009	0	3
1142009	1	302
1142010	0	5
1142010	1	280
1142011	0	84
1142011	1	392
1142012	0	8
1142012	1	265
1142013	0	16
1142013	1	465
1142014	0	14
1142014	1	339
1142015	0	7
1142015	1	322
1142016	0	6
1142016	1	511
1142017	0	35
1142017	1	636
1142020	0	16
1142020	1	453
1142021	0	17
1142021	1	313
1142022	0	8
1142022	1	285
1142023	0	13
1142023	1	415
1142024	0	17
1142024	1	622
1142025	0	3
1142025	1	441
1142026	0	24
1142026	1	467
1142027	0	14
1142027	1	327
1142028	0	59
1142028	1	510
1142029	0	43
1142029	1	526
1142030	0	21
1142030	1	623
1142101	0	25
1142101	1	532
1142102	0	18
1142102	1	627
1142103	0	17
1142103	1	379
1142104	0	21
1142104	1	502
1142105	1	551
1142106	0	44
1142106	1	695
1142107	0	11
1142107	1	213
1142108	0	11
1142108	1	297
1142109	0	11
1142109	1	602
1142110	0	10
1142110	1	234
1142111	0	28
1142111	1	533
1142112	0	13
1142112	1	278
1142113	0	4
1142113	1	305
1142114	1	463
1142115	0	7
1142115	1	299
1142116	0	6
1142116	1	457
1142117	0	22
1142117	1	411
1142118	0	39
1142118	1	337
1142119	0	126
1142119	1	198
1142120	0	96
1142120	1	652
1142121	0	16
1142121	1	411
1142122	0	16
1142122	1	452
1142123	0	94
1142123	1	369
1142201	0	13
1142201	1	473
1142202	0	10
1142202	1	328
1142203	0	3
1142203	1	215
1142204	0	17
1142204	1	455
1142205	1	370
1142206	0	7
1142206	1	326
1142207	0	4
1142207	1	343
1142208	1	299
1142209	1	285
1142210	0	11
1142210	1	322
1142211	0	21
1142211	1	530
1142212	0	11
1142212	1	373
1142213	0	49
1142213	1	247
1142214	0	11
1142214	1	313
1142215	0	26
1142215	1	356
1142216	0	3
1142216	1	386
1142217	0	9
1142217	1	415
1142218	0	3
1142218	1	312
1142219	1	352
1142220	0	14
1142220	1	443
1142221	0	3
1142221	1	410
1142222	0	17
1142222	1	424
1142223	0	8
1142223	1	355
1142224	0	9
1142224	1	283
1142225	0	10
1142225	1	417
1142226	1	507
1142227	0	5
1142227	1	498
1142228	0	10
1142228	1	374
1142229	0	17
1142229	1	289
1142230	0	6
1142230	1	410
1142231	0	13
1142231	1	386
1142232	0	3
1142232	1	190
1142233	0	27
1142233	1	516
1142234	1	292
1142301	0	4
1142301	1	480
1142302	0	27
1142302	1	655
1142303	1	584
1142304	0	4
1142304	1	314
1142305	0	8
1142305	1	478
1142306	0	154
1142306	1	350
1142307	0	32
1142307	1	374
1142308	0	12
1142308	1	299
1142309	0	5
1142309	1	536
1142310	0	18
1142310	1	479
1142311	0	12
1142311	1	243
1142312	0	7
1142312	1	391
1142313	0	10
1142313	1	395
1142314	0	3
1142314	1	528
1142315	0	19
1142315	1	361
1142316	0	62
1142316	1	544
1142317	0	37
1142317	1	564
1142320	0	8
1142320	1	336
1142321	0	13
1142321	1	532
1142322	0	123
1142322	1	441
1142323	0	10
1142323	1	362
1142324	0	3
1142324	1	354
1142325	0	12
1142325	1	252
1142326	0	8
1142326	1	470
1142327	0	3
1142327	1	247
1142329	0	10
1142329	1	484
1142330	0	10
1142330	1	430
1142331	1	181
1142332	0	287
1142332	1	554
1142333	0	18
1142333	1	220
1142334	0	17
1142334	1	623
1142335	0	14
1142335	1	594
1142336	1	270
1142337	0	21
1142337	1	474
1142338	0	28
1142338	1	475
1142339	0	13
1142339	1	521
1142340	0	24
1142340	1	419
1142341	0	8
1142341	1	331
1142342	0	62
1142342	1	302
1142344	0	81
1142344	1	533
1142345	0	95
1142345	1	628
1142346	0	16
1142346	1	556
1142347	0	16
1142347	1	335
1142348	0	10
1142348	1	372
1142349	0	14
1142349	1	434
1142350	0	3
1142350	1	138
1142351	0	7
1142351	1	595
1142352	1	14
1142353	0	62
1142353	1	442
1142354	0	89
1142354	1	1300
1142355	1	486
1142401	0	16
1142401	1	505
1142402	0	4
1142402	1	358
1142403	0	10
1142403	1	412
1142404	0	5
1142404	1	289
1142405	0	18
1142405	1	288
1142406	0	11
1142406	1	457
1142407	0	22
1142407	1	394
1142408	0	13
1142408	1	428
1142409	0	26
1142409	1	492
1142410	0	24
1142410	1	576
1142411	0	9
1142411	1	392
1142412	0	27
1142412	1	526
1142413	0	16
1142413	1	377
1142414	0	46
1142414	1	382
1142415	0	10
1142415	1	290
1142416	0	7
1142416	1	270
1142417	1	311
1142418	0	20
1142418	1	512
1142419	0	11
1142419	1	613
1142420	0	6
1142420	1	335
1142421	0	16
1142421	1	221
1142422	0	6
1142422	1	510
1142423	1	458
1142424	0	19
1142424	1	417
1142425	0	18
1142425	1	302
1142426	0	75
1142426	1	307
1142427	0	46
1142427	1	409
1142428	0	39
1142428	1	473
1142429	0	7
1142429	1	361
1142430	0	9
1142430	1	271
1142431	0	30
1142431	1	413
1142432	0	23
1142432	1	286
1142433	0	3
1142433	1	436
1142501	0	4
1142501	1	262
1142502	0	8
1142502	1	271
1142503	0	6
1142503	1	234
1142504	0	4
1142504	1	207
1142505	0	3
1142505	1	271
1142506	0	9
1142506	1	354
1142507	0	3
1142507	1	429
1142508	0	3
1142508	1	267
1142509	0	10
1142509	1	297
1142510	0	13
1142510	1	295
1142511	0	6
1142511	1	220
1142512	0	3
1142512	1	264
1142513	0	59
1142513	1	333
1142514	0	15
1142514	1	457
1142515	0	15
1142515	1	194
1142516	1	455
1142517	0	8
1142517	1	341
1142518	0	7
1142518	1	574
1142519	0	9
1142519	1	408
1142520	0	3
1142520	1	3
1142521	0	30
1142521	1	382
1142522	0	3
1142522	1	35
1142523	0	47
1142523	1	568
1142601	0	74
1142601	1	538
1142602	0	35
1142602	1	565
1142603	0	50
1142603	1	575
1142604	0	26
1142604	1	462
1142605	0	39
1142605	1	564
1142606	0	26
1142606	1	372
1142607	0	11
1142607	1	350
1142608	0	20
1142608	1	467
1142609	0	12
1142609	1	191
1142610	0	17
1142610	1	352
1142611	0	9
1142611	1	295
1142612	0	17
1142612	1	451
1142613	0	3
1142613	1	212
1142614	0	31
1142614	1	207
1142615	0	19
1142615	1	365
1142616	0	35
1142616	1	513
1142617	0	5
1142617	1	228
1142618	0	8
1142618	1	201
1142619	0	31
1142619	1	302
1142620	0	27
1142620	1	324
1142621	0	18
1142621	1	353
1142622	0	27
1142622	1	398
1142623	0	29
1142623	1	426
1142624	0	18
1142624	1	296
1142625	0	31
1142625	1	275
1142626	0	7
1142626	1	281
1142627	0	26
1142627	1	215
1142628	0	26
1142628	1	467
1142629	0	17
1142629	1	366
1142630	0	35
1142630	1	639
1142631	0	25
1142631	1	594
1142632	0	31
1142632	1	665
1142633	0	49
1142633	1	557
1142634	0	5
1142634	1	291
1142635	0	3
1142635	1	232
1142636	0	18
1142636	1	383
1142637	0	74
1142637	1	689
1142638	0	21
1142638	1	368
1142639	0	4
1142639	1	360
1142640	0	3
1142640	1	244
1142641	0	19
1142641	1	487
1142642	0	20
1142642	1	292
1142643	0	50
1142643	1	391
1142644	0	45
1142644	1	472
1142645	0	96
1142645	1	829
1142646	0	24
1142646	1	579
1142647	0	10
1142647	1	307
1142648	0	14
1142648	1	452
1142649	0	15
1142649	1	531
1142650	0	19
1142650	1	408
1142651	0	40
1142651	1	369
1142652	0	40
1142652	1	512
1142653	0	31
1142653	1	447
1142654	0	5
1142654	1	354
1142655	0	29
1142655	1	543
1142656	0	22
1142656	1	479
1142701	0	11
1142701	1	344
1142702	0	7
1142702	1	433
1142703	0	10
1142703	1	251
1142704	0	6
1142704	1	238
1142705	0	4
1142705	1	239
1142706	0	5
1142706	1	231
1142707	0	20
1142707	1	270
1142708	1	358
1142709	0	18
1142709	1	563
1142710	0	20
1142710	1	247
1142711	0	4
1142711	1	377
1142712	0	34
1142712	1	342
1142713	0	8
1142713	1	348
1142714	0	7
1142714	1	387
1142715	0	6
1142715	1	271
1142716	0	11
1142716	1	295
1142717	0	14
1142717	1	308
1142718	0	19
1142718	1	460
1142719	0	15
1142719	1	346
1142720	0	3
1142720	1	355
1142721	0	9
1142721	1	427
1142723	0	7
1142723	1	219
1142726	0	3
1142726	1	382
1142727	0	3
1142727	1	298
1142728	1	367
1142729	1	403
1142732	1	299
1142733	0	12
1142733	1	260
1142734	0	4
1142734	1	307
1142735	0	46
1142735	1	411
1142736	0	14
1142736	1	395
1142737	0	3
1142737	1	374
1142738	0	23
1142738	1	319
1142739	0	3
1142739	1	425
1142740	0	6
1142740	1	262
1142741	0	3
1142741	1	428
1142801	0	11
1142801	1	326
1142802	0	9
1142802	1	529
1142803	0	18
1142803	1	617
1142804	1	564
1142805	0	7
1142805	1	428
1142806	0	32
