SA1_7DIGITCODE_2016	AgeStudent	students
1140735	20-24	13
1140735	25+	18
1140736	5-14	49
1140736	15-19	28
1140736	20-24	24
1140736	25+	11
1140737	0-4	8
1140737	5-14	63
1140737	15-19	48
1140737	20-24	13
1140737	25+	15
1140738	5-14	33
1140738	15-19	28
1140738	20-24	13
1140738	25+	16
1140739	0-4	5
1140739	5-14	64
1140739	15-19	28
1140739	20-24	16
1140739	25+	13
1140741	0-4	24
1140741	5-14	72
1140741	15-19	48
1140741	20-24	30
1140741	25+	37
1140742	0-4	7
1140742	5-14	70
1140742	15-19	38
1140742	20-24	26
1140742	25+	17
1140743	0-4	5
1140743	5-14	80
1140743	15-19	34
1140743	20-24	18
1140743	25+	24
1140744	0-4	6
1140744	5-14	17
1140744	15-19	17
1140744	20-24	14
1140744	25+	26
1140745	0-4	5
1140745	5-14	45
1140745	15-19	47
1140745	20-24	17
1140745	25+	14
1140746	0-4	7
1140746	5-14	55
1140746	15-19	24
1140746	20-24	11
1140746	25+	21
1140747	0-4	9
1140747	5-14	56
1140747	15-19	34
1140747	20-24	15
1140747	25+	31
1140748	5-14	38
1140748	15-19	23
1140748	20-24	12
1140748	25+	15
1140749	0-4	14
1140749	5-14	114
1140749	15-19	61
1140749	20-24	34
1140749	25+	52
1140750	5-14	5
1140750	15-19	9
1140750	20-24	5
1140750	25+	9
1140751	0-4	11
1140751	5-14	78
1140751	15-19	39
1140751	20-24	29
1140751	25+	38
1140752	0-4	3
1140752	5-14	102
1140752	15-19	50
1140752	20-24	26
1140752	25+	39
1140753	0-4	15
1140753	5-14	105
1140753	15-19	47
1140753	20-24	26
1140753	25+	42
1140801	0-4	8
1140801	5-14	60
1140801	15-19	20
1140801	20-24	8
1140801	25+	11
1140802	0-4	10
1140802	5-14	28
1140802	15-19	9
1140802	20-24	4
1140802	25+	6
1140803	0-4	11
1140803	5-14	33
1140803	15-19	19
1140803	20-24	14
1140803	25+	28
1140804	0-4	6
1140804	5-14	85
1140804	15-19	47
1140804	20-24	21
1140804	25+	9
1140805	0-4	5
1140805	5-14	92
1140805	15-19	38
1140805	20-24	20
1140805	25+	20
1140806	0-4	9
1140806	5-14	71
1140806	15-19	32
1140806	20-24	14
1140806	25+	9
1140807	0-4	12
1140807	5-14	58
1140807	15-19	62
1140807	20-24	26
1140807	25+	11
1140808	0-4	3
1140808	5-14	33
1140808	15-19	11
1140808	20-24	3
1140808	25+	4
1140809	0-4	3
1140809	5-14	41
1140809	15-19	31
1140809	20-24	5
1140809	25+	7
1140810	0-4	8
1140810	5-14	72
1140810	15-19	30
1140810	20-24	20
1140810	25+	11
1140811	0-4	4
1140811	5-14	42
1140811	15-19	23
1140811	20-24	4
1140811	25+	9
1140812	0-4	15
1140812	5-14	111
1140812	15-19	26
1140812	20-24	8
1140812	25+	11
1140813	0-4	3
1140813	5-14	79
1140813	15-19	31
1140813	20-24	16
1140813	25+	15
1140814	0-4	4
1140814	5-14	69
1140814	15-19	35
1140814	20-24	18
1140814	25+	10
1140815	0-4	3
1140815	5-14	48
1140815	15-19	31
1140815	20-24	13
1140815	25+	20
1140816	0-4	3
1140816	5-14	42
1140816	15-19	26
1140816	20-24	8
1140816	25+	4
1140817	0-4	5
1140817	5-14	102
1140817	15-19	34
1140817	20-24	19
1140817	25+	9
1140818	0-4	4
1140818	5-14	69
1140818	15-19	26
1140818	20-24	6
1140818	25+	8
1140819	0-4	6
1140819	5-14	75
1140819	15-19	22
1140819	20-24	11
1140819	25+	13
1140820	0-4	3
1140820	5-14	65
1140820	15-19	17
1140820	20-24	17
1140820	25+	9
1140821	0-4	9
1140821	5-14	91
1140821	15-19	46
1140821	20-24	18
1140821	25+	11
1140822	0-4	6
1140822	5-14	56
1140822	15-19	37
1140822	20-24	15
1140822	25+	11
1140823	0-4	6
1140823	5-14	60
1140823	15-19	24
1140823	20-24	14
1140823	25+	11
1140824	0-4	4
1140824	5-14	29
1140824	15-19	10
1140824	20-24	6
1140824	25+	18
1140825	0-4	6
1140825	5-14	54
1140825	15-19	18
1140825	20-24	13
1140825	25+	12
1140826	0-4	6
1140826	5-14	71
1140826	15-19	31
1140826	20-24	18
1140826	25+	34
1140827	5-14	60
1140827	15-19	26
1140827	20-24	15
1140827	25+	8
1140829	0-4	4
1140829	5-14	78
1140829	15-19	40
1140829	20-24	18
1140829	25+	4
1140830	0-4	7
1140830	5-14	56
1140830	15-19	10
1140830	20-24	7
1140830	25+	4
1140831	0-4	15
1140831	5-14	92
1140831	15-19	43
1140831	20-24	36
1140831	25+	65
1140832	0-4	7
1140832	5-14	50
1140832	15-19	22
1140832	20-24	14
1140832	25+	28
1140833	0-4	3
1140833	5-14	40
1140833	15-19	17
1140833	20-24	6
1140833	25+	17
1140834	0-4	8
1140834	5-14	74
1140834	15-19	33
1140834	20-24	14
1140834	25+	23
1140835	5-14	62
1140835	15-19	29
1140835	20-24	10
1140835	25+	9
1140836	0-4	5
1140836	5-14	59
1140836	15-19	52
1140836	20-24	18
1140836	25+	18
1140838	0-4	10
1140838	5-14	124
1140838	15-19	36
1140838	20-24	27
1140838	25+	24
1140839	0-4	6
1140839	5-14	53
1140839	15-19	28
1140839	20-24	5
1140839	25+	5
1140840	0-4	15
1140840	5-14	62
1140840	15-19	19
1140840	20-24	21
1140840	25+	27
1140841	0-4	10
1140841	5-14	73
1140841	15-19	35
1140841	20-24	16
1140841	25+	8
1140842	0-4	5
1140842	5-14	68
1140842	15-19	24
1140842	20-24	14
1140842	25+	17
1140843	5-14	33
1140843	15-19	28
1140843	20-24	17
1140843	25+	29
1140844	0-4	4
1140844	5-14	83
1140844	15-19	31
1140844	20-24	20
1140844	25+	9
1140845	0-4	14
1140845	5-14	110
1140845	15-19	40
1140845	20-24	22
1140845	25+	8
1140846	0-4	9
1140846	5-14	58
1140846	15-19	21
1140846	20-24	12
1140846	25+	5
1140847	0-4	4
1140847	5-14	76
1140847	15-19	28
1140847	20-24	10
1140847	25+	15
1140848	0-4	8
1140848	5-14	73
1140848	15-19	42
1140848	20-24	17
1140848	25+	16
1140849	0-4	21
1140849	5-14	89
1140849	15-19	22
1140849	20-24	15
1140849	25+	38
1140850	0-4	7
1140850	5-14	69
1140850	15-19	24
1140850	20-24	25
1140850	25+	8
1140851	0-4	11
1140851	5-14	68
1140851	15-19	29
1140851	20-24	12
1140851	25+	13
1140852	0-4	3
1140852	5-14	39
1140852	15-19	22
1140852	20-24	19
1140852	25+	7
1140854	0-4	3
1140854	5-14	23
1140854	15-19	22
1140854	20-24	7
1140854	25+	3
1140855	0-4	9
1140855	5-14	29
1140855	15-19	26
1140855	20-24	16
1140855	25+	21
1140856	5-14	13
1140856	15-19	4
1140856	20-24	12
1140856	25+	15
1140857	0-4	7
1140857	5-14	37
1140857	15-19	8
1140857	20-24	14
1140857	25+	27
1140858	0-4	10
1140858	5-14	40
1140858	15-19	14
1140858	20-24	17
1140858	25+	18
1140859	0-4	10
1140859	5-14	54
1140859	15-19	17
1140859	20-24	20
1140859	25+	21
1140860	5-14	51
1140860	15-19	33
1140860	20-24	18
1140860	25+	16
1140902	0-4	4
1140902	5-14	75
1140902	15-19	37
1140902	20-24	13
1140902	25+	21
1140903	0-4	15
1140903	5-14	67
1140903	15-19	20
1140903	20-24	7
1140903	25+	13
1140904	0-4	14
1140904	5-14	68
1140904	15-19	32
1140904	20-24	14
1140904	25+	13
1140905	0-4	8
1140905	5-14	75
1140905	15-19	28
1140905	20-24	16
1140905	25+	23
1140906	0-4	10
1140906	5-14	56
1140906	15-19	20
1140906	20-24	7
1140906	25+	7
1140907	0-4	11
1140907	5-14	98
1140907	15-19	41
1140907	20-24	20
1140907	25+	13
1140908	0-4	15
1140908	5-14	95
1140908	15-19	37
1140908	20-24	13
1140908	25+	12
1140909	0-4	8
1140909	5-14	52
1140909	15-19	20
1140909	20-24	15
1140909	25+	3
1140910	0-4	3
1140910	5-14	66
1140910	15-19	18
1140910	20-24	11
1140910	25+	7
1140911	0-4	5
1140911	5-14	71
1140911	15-19	34
1140911	20-24	20
1140911	25+	16
1140912	0-4	3
1140912	5-14	45
1140912	15-19	20
1140912	20-24	6
1140912	25+	5
1140913	0-4	9
1140913	5-14	59
1140913	15-19	26
1140913	20-24	15
1140913	25+	13
1140914	0-4	8
1140914	5-14	96
1140914	15-19	46
1140914	20-24	24
1140914	25+	27
1140915	0-4	8
1140915	5-14	72
1140915	15-19	40
1140915	20-24	27
1140915	25+	14
1140916	0-4	8
1140916	5-14	61
1140916	15-19	28
1140916	20-24	14
1140916	25+	9
1140917	0-4	10
1140917	5-14	90
1140917	15-19	43
1140917	20-24	12
1140917	25+	20
1140918	0-4	8
1140918	5-14	64
1140918	15-19	16
1140918	20-24	6
1140918	25+	12
1140919	0-4	8
1140919	5-14	70
1140919	15-19	38
1140919	20-24	12
1140919	25+	12
1140921	0-4	11
1140921	5-14	94
1140921	15-19	32
1140921	20-24	18
1140921	25+	9
1140922	0-4	14
1140922	5-14	47
1140922	15-19	18
1140922	20-24	12
1140922	25+	9
1140923	0-4	8
1140923	5-14	59
1140923	15-19	22
1140923	20-24	17
1140923	25+	11
1140926	0-4	8
1140926	5-14	51
1140926	15-19	29
1140926	20-24	12
1140926	25+	10
1140927	0-4	14
1140927	5-14	74
1140927	15-19	33
1140927	20-24	19
1140927	25+	28
1140928	0-4	7
1140928	5-14	39
1140928	15-19	33
1140928	20-24	14
1140928	25+	12
1140929	0-4	6
1140929	5-14	79
1140929	15-19	45
1140929	20-24	29
1140929	25+	18
1140930	0-4	7
1140930	5-14	44
1140930	15-19	17
1140930	20-24	4
1140930	25+	8
1140931	0-4	13
1140931	5-14	86
1140931	15-19	41
1140931	20-24	28
1140931	25+	13
1140932	0-4	9
1140932	5-14	75
1140932	15-19	49
1140932	20-24	13
1140932	25+	14
1140933	0-4	9
1140933	5-14	83
1140933	15-19	40
1140933	20-24	26
1140933	25+	20
1140934	0-4	5
1140934	5-14	66
1140934	15-19	17
1140934	20-24	12
1140934	25+	8
1140935	0-4	9
1140935	5-14	68
1140935	15-19	31
1140935	20-24	17
1140935	25+	13
1140936	0-4	8
1140936	5-14	87
1140936	15-19	37
1140936	20-24	26
1140936	25+	10
1140937	0-4	5
1140937	5-14	73
1140937	15-19	37
1140937	20-24	19
1140937	25+	22
1140938	0-4	5
1140938	5-14	37
1140938	15-19	29
1140938	20-24	24
1140938	25+	14
1140939	0-4	8
1140939	5-14	58
1140939	15-19	35
1140939	20-24	19
1140939	25+	6
1140941	5-14	5
1140941	20-24	8
1140942	0-4	8
1140942	5-14	36
1140942	15-19	26
1140942	20-24	10
1140942	25+	3
1140943	0-4	10
1140943	5-14	85
1140943	15-19	48
1140943	20-24	28
1140943	25+	32
1140944	5-14	79
1140944	15-19	45
1140944	20-24	19
1140944	25+	33
1141001	0-4	22
1141001	5-14	113
1141001	15-19	51
1141001	20-24	21
1141001	25+	50
1141002	0-4	11
1141002	5-14	46
1141002	15-19	10
1141002	20-24	13
1141002	25+	10
1141003	0-4	6
1141003	5-14	87
1141003	15-19	36
1141003	20-24	20
1141003	25+	20
1141004	0-4	8
1141004	5-14	26
1141004	15-19	27
1141004	20-24	6
1141004	25+	16
1141005	0-4	5
1141005	5-14	46
1141005	15-19	25
1141005	20-24	7
1141005	25+	15
1141006	0-4	8
1141006	5-14	54
1141006	15-19	29
1141006	20-24	17
1141006	25+	12
1141007	0-4	10
1141007	5-14	118
1141007	15-19	61
1141007	20-24	16
1141007	25+	17
1141008	0-4	7
1141008	5-14	83
1141008	15-19	23
1141008	20-24	13
1141008	25+	18
1141009	5-14	52
1141009	15-19	31
1141009	20-24	20
1141009	25+	17
1141010	0-4	9
1141010	5-14	91
1141010	15-19	37
1141010	20-24	11
1141010	25+	17
1141012	0-4	6
1141012	5-14	76
1141012	15-19	33
1141012	20-24	13
1141012	25+	9
1141013	0-4	10
1141013	5-14	86
1141013	15-19	27
1141013	20-24	13
1141013	25+	13
1141014	0-4	9
1141014	5-14	39
1141014	15-19	12
1141014	20-24	14
1141014	25+	7
1141015	0-4	6
1141015	5-14	68
1141015	15-19	31
1141015	20-24	14
1141015	25+	12
1141016	0-4	11
1141016	5-14	68
1141016	15-19	38
1141016	20-24	13
1141016	25+	18
1141018	0-4	5
1141018	5-14	57
1141018	15-19	38
1141018	20-24	14
1141018	25+	18
1141020	0-4	6
1141020	5-14	80
1141020	15-19	49
1141020	20-24	20
1141020	25+	20
1141021	0-4	5
1141021	5-14	73
1141021	15-19	28
1141021	20-24	11
1141021	25+	13
1141022	0-4	3
1141022	5-14	79
1141022	15-19	44
1141022	20-24	16
1141022	25+	19
1141023	0-4	4
1141023	5-14	55
1141023	15-19	18
1141023	20-24	4
1141023	25+	10
1141024	0-4	6
1141024	5-14	77
1141024	15-19	37
1141024	20-24	22
1141024	25+	7
1141025	0-4	10
1141025	5-14	65
1141025	15-19	40
1141025	20-24	11
1141025	25+	7
1141027	0-4	11
1141027	5-14	78
1141027	15-19	37
1141027	20-24	8
1141027	25+	20
1141028	0-4	9
1141028	5-14	80
1141028	15-19	24
1141028	20-24	10
1141028	25+	20
1141029	0-4	5
1141029	5-14	44
1141029	15-19	15
1141029	20-24	5
1141029	25+	3
1141030	0-4	14
1141030	5-14	97
1141030	15-19	47
1141030	20-24	13
1141030	25+	16
1141031	0-4	11
1141031	5-14	77
1141031	15-19	27
1141031	20-24	22
1141031	25+	15
1141032	0-4	3
1141032	5-14	68
1141032	15-19	32
1141032	20-24	9
1141032	25+	7
1141033	0-4	3
1141033	5-14	50
1141033	15-19	25
1141033	20-24	11
1141033	25+	13
1141035	0-4	10
1141035	5-14	72
1141035	15-19	16
1141035	20-24	15
1141035	25+	9
1141037	0-4	7
1141037	5-14	58
1141037	15-19	30
1141037	20-24	16
1141037	25+	14
1141038	5-14	50
1141038	15-19	22
1141038	20-24	12
1141038	25+	4
1141039	0-4	10
1141039	5-14	71
1141039	15-19	39
1141039	20-24	19
1141039	25+	10
1141040	0-4	5
1141040	5-14	82
1141040	15-19	28
1141040	20-24	14
1141040	25+	3
1141041	0-4	5
1141041	5-14	64
1141041	15-19	28
1141041	20-24	9
1141041	25+	10
1141042	0-4	4
1141042	5-14	19
1141042	15-19	4
1141042	20-24	3
1141042	25+	3
1141044	0-4	10
1141044	5-14	53
1141044	15-19	17
1141044	20-24	14
1141044	25+	10
1141045	0-4	12
1141045	5-14	36
1141045	15-19	13
1141045	20-24	3
1141045	25+	4
1141046	0-4	3
1141046	5-14	36
1141046	15-19	17
1141046	20-24	7
1141046	25+	4
1141047	0-4	6
1141047	5-14	36
1141047	15-19	18
1141047	20-24	6
1141047	25+	8
1141048	0-4	15
1141048	5-14	46
1141048	15-19	18
1141048	20-24	8
1141048	25+	20
1141049	0-4	5
1141049	5-14	84
1141049	15-19	28
1141049	20-24	21
1141049	25+	15
1141050	0-4	7
1141050	5-14	29
1141050	15-19	22
1141050	20-24	10
1141050	25+	9
1141051	0-4	4
1141051	5-14	21
1141051	15-19	3
1141051	20-24	9
1141051	25+	3
1141052	0-4	29
1141052	5-14	156
1141052	15-19	28
1141052	20-24	21
1141052	25+	66
1141053	0-4	6
1141053	5-14	47
1141053	15-19	30
1141053	20-24	17
1141053	25+	7
1141101	0-4	5
1141101	5-14	66
1141101	15-19	31
1141101	20-24	12
1141101	25+	9
1141102	0-4	15
1141102	5-14	84
1141102	15-19	27
1141102	20-24	16
1141102	25+	9
1141103	0-4	8
1141103	5-14	74
1141103	15-19	42
1141103	20-24	8
1141103	25+	20
1141104	0-4	10
1141104	5-14	88
1141104	15-19	28
1141104	20-24	19
1141104	25+	10
1141105	0-4	8
1141105	5-14	105
1141105	15-19	43
1141105	20-24	11
1141105	25+	17
1141106	0-4	7
1141106	5-14	59
1141106	15-19	24
1141106	20-24	14
1141106	25+	10
1141107	0-4	11
1141107	5-14	62
1141107	15-19	22
1141107	20-24	8
1141107	25+	13
1141108	0-4	9
1141108	5-14	65
1141108	15-19	23
1141108	20-24	6
1141108	25+	14
1141109	0-4	3
1141109	5-14	42
1141109	15-19	8
1141109	20-24	7
1141109	25+	9
1141110	0-4	3
1141110	5-14	59
1141110	15-19	19
1141110	20-24	14
1141110	25+	14
1141111	0-4	8
1141111	5-14	91
1141111	15-19	38
1141111	20-24	10
1141111	25+	14
1141112	5-14	44
1141112	15-19	15
1141112	20-24	10
1141112	25+	7
1141113	5-14	41
1141113	15-19	15
1141113	20-24	8
1141113	25+	8
1141114	15-19	5
1141114	25+	8
1141115	0-4	3
1141115	5-14	43
1141115	15-19	39
1141115	20-24	14
1141115	25+	13
1141117	0-4	3
1141117	5-14	3
1141117	15-19	3
1141117	25+	3
1141118	0-4	9
1141118	5-14	62
1141118	15-19	23
1141118	20-24	16
1141118	25+	15
1141119	0-4	20
1141119	5-14	84
1141119	15-19	44
1141119	20-24	22
1141119	25+	18
1141120	0-4	3
1141120	5-14	57
1141120	15-19	28
1141120	20-24	10
1141120	25+	6
1141121	0-4	5
1141121	5-14	38
1141121	15-19	10
1141121	20-24	10
1141121	25+	13
1141122	0-4	3
1141122	5-14	26
1141122	15-19	16
1141122	20-24	16
1141122	25+	31
1141123	0-4	6
1141123	5-14	64
1141123	15-19	29
1141123	20-24	14
1141123	25+	18
1141124	0-4	9
1141124	5-14	77
1141124	15-19	31
1141124	20-24	10
1141124	25+	19
1141125	0-4	3
1141125	5-14	60
1141125	15-19	28
1141125	20-24	12
1141125	25+	11
1141126	0-4	8
1141126	5-14	94
1141126	15-19	17
1141126	20-24	19
1141126	25+	11
1141127	0-4	3
1141127	5-14	73
1141127	15-19	38
1141127	20-24	15
1141127	25+	15
1141128	0-4	9
1141128	5-14	63
1141128	15-19	20
1141128	20-24	4
1141128	25+	12
1141129	0-4	5
1141129	5-14	94
1141129	15-19	44
1141129	20-24	7
1141129	25+	18
1141130	0-4	8
1141130	5-14	52
1141130	15-19	39
1141130	20-24	14
1141130	25+	12
1141131	0-4	11
1141131	5-14	106
1141131	15-19	49
1141131	20-24	15
1141131	25+	19
1141132	0-4	10
1141132	5-14	70
1141132	15-19	35
1141132	20-24	16
1141132	25+	16
1141133	0-4	8
1141133	5-14	85
1141133	15-19	38
1141133	20-24	14
1141133	25+	12
1141134	0-4	11
1141134	5-14	85
1141134	15-19	44
1141134	20-24	38
1141134	25+	51
1141135	0-4	9
1141135	5-14	55
1141135	15-19	18
1141135	20-24	11
1141135	25+	9
1141136	0-4	6
1141136	5-14	76
1141136	15-19	30
1141136	20-24	19
1141136	25+	13
1141137	0-4	3
1141137	5-14	10
1141137	15-19	9
1141137	20-24	6
1141137	25+	10
1141138	0-4	3
1141138	5-14	30
1141138	15-19	18
1141138	20-24	13
1141138	25+	10
1141139	0-4	9
1141139	5-14	53
1141139	15-19	23
1141139	20-24	8
1141139	25+	14
1141140	0-4	9
1141140	5-14	99
1141140	15-19	57
1141140	20-24	17
1141140	25+	15
1141141	0-4	3
1141141	5-14	49
1141141	15-19	28
1141141	20-24	15
1141141	25+	5
1141142	0-4	4
1141142	5-14	80
1141142	15-19	30
1141142	20-24	17
1141142	25+	8
1141143	0-4	7
1141143	5-14	63
1141143	15-19	42
1141143	20-24	24
1141143	25+	12
1141144	0-4	12
1141144	5-14	78
1141144	15-19	46
1141144	20-24	16
1141144	25+	30
1141201	0-4	3
1141201	5-14	72
1141201	15-19	36
1141201	20-24	9
1141201	25+	12
1141202	0-4	11
1141202	5-14	103
1141202	15-19	30
1141202	20-24	11
1141202	25+	16
1141203	0-4	11
1141203	5-14	79
1141203	15-19	24
1141203	20-24	12
1141203	25+	13
1141204	5-14	25
1141204	15-19	17
1141204	20-24	32
1141204	25+	30
1141205	0-4	11
1141205	5-14	92
1141205	15-19	45
1141205	20-24	22
1141205	25+	11
1141206	0-4	4
1141206	5-14	60
1141206	15-19	30
1141206	20-24	12
1141206	25+	5
1141207	0-4	9
1141207	5-14	82
1141207	15-19	44
1141207	20-24	12
1141207	25+	21
1141208	5-14	35
1141208	15-19	8
1141208	20-24	9
1141208	25+	9
1141209	0-4	9
1141209	5-14	71
1141209	15-19	41
1141209	20-24	30
1141209	25+	12
1141210	0-4	8
1141210	5-14	46
1141210	15-19	27
1141210	20-24	11
1141210	25+	4
1141211	0-4	3
1141211	5-14	27
1141211	15-19	31
1141211	20-24	10
1141212	0-4	8
1141212	5-14	69
1141212	15-19	55
1141212	20-24	23
1141212	25+	8
1141214	0-4	3
1141214	5-14	46
1141214	15-19	44
1141214	20-24	18
1141214	25+	13
1141215	0-4	3
1141215	5-14	40
1141215	15-19	38
1141215	20-24	24
1141215	25+	7
1141217	0-4	8
1141217	5-14	59
1141217	15-19	31
1141217	20-24	23
1141217	25+	13
1141218	0-4	10
1141218	5-14	84
1141218	15-19	52
1141218	20-24	14
1141218	25+	22
1141219	0-4	13
1141219	5-14	70
1141219	15-19	26
1141219	20-24	13
1141219	25+	18
1141220	0-4	3
1141220	5-14	58
1141220	15-19	37
1141220	20-24	12
1141220	25+	7
1141221	0-4	8
1141221	5-14	83
1141221	15-19	37
1141221	20-24	22
1141221	25+	7
1141222	0-4	11
1141222	5-14	65
1141222	15-19	39
1141222	20-24	21
1141222	25+	27
1141223	0-4	7
1141223	5-14	72
1141223	15-19	128
1141223	20-24	29
1141223	25+	47
1141224	0-4	3
1141224	5-14	74
1141224	15-19	51
1141224	20-24	20
1141224	25+	12
1141225	0-4	4
1141225	5-14	69
1141225	15-19	40
1141225	20-24	20
1141225	25+	18
1141226	0-4	9
1141226	5-14	72
1141226	15-19	31
1141226	20-24	15
1141226	25+	18
1141227	0-4	6
1141227	5-14	67
1141227	15-19	26
1141227	20-24	13
1141227	25+	15
1141228	0-4	6
1141228	5-14	49
1141228	15-19	34
1141228	20-24	6
1141228	25+	13
1141229	0-4	3
1141229	5-14	41
1141229	15-19	19
1141229	20-24	16
1141229	25+	3
1141230	0-4	12
1141230	5-14	90
1141230	15-19	58
1141230	20-24	26
1141230	25+	19
1141231	0-4	5
1141231	5-14	54
1141231	15-19	30
1141231	20-24	11
1141231	25+	8
1141232	0-4	9
1141232	5-14	60
1141232	15-19	39
1141232	20-24	7
1141232	25+	11
1141233	0-4	7
1141233	5-14	57
1141233	15-19	34
1141233	20-24	13
1141233	25+	15
1141234	0-4	8
1141234	5-14	85
1141234	15-19	36
1141234	20-24	21
1141234	25+	20
1141235	0-4	5
1141235	5-14	48
1141235	15-19	26
1141235	20-24	15
1141235	25+	4
1141236	0-4	11
1141236	5-14	73
1141236	15-19	31
1141236	20-24	14
1141236	25+	18
1141237	0-4	4
1141237	5-14	90
1141237	15-19	42
1141237	20-24	23
1141237	25+	19
1141238	0-4	6
1141238	5-14	31
1141238	15-19	18
1141238	20-24	17
1141238	25+	12
1141240	0-4	8
1141240	5-14	36
1141240	15-19	17
1141240	20-24	7
1141240	25+	27
1141241	5-14	13
1141241	15-19	4
1141241	20-24	6
1141241	25+	3
1141242	0-4	3
1141242	5-14	99
1141242	15-19	122
1141242	20-24	31
1141242	25+	15
1141243	0-4	10
1141243	5-14	46
1141243	15-19	25
1141243	20-24	16
1141243	25+	25
1141301	0-4	6
1141301	5-14	18
1141301	15-19	9
1141301	20-24	11
1141301	25+	25
1141302	0-4	10
1141302	5-14	90
1141302	15-19	41
1141302	20-24	13
1141302	25+	17
1141303	0-4	14
1141303	5-14	38
1141303	15-19	10
1141303	20-24	6
1141303	25+	28
1141304	0-4	12
1141304	5-14	56
1141304	15-19	28
1141304	20-24	14
1141304	25+	27
1141305	0-4	6
1141305	5-14	27
1141305	15-19	14
1141305	20-24	7
1141305	25+	25
1141306	0-4	7
1141306	5-14	81
1141306	15-19	14
1141306	20-24	4
1141306	25+	20
1141307	0-4	3
1141307	5-14	30
1141307	15-19	14
1141307	20-24	7
1141307	25+	21
1141308	5-14	16
1141308	15-19	3
1141308	20-24	12
1141308	25+	15
1141309	0-4	4
1141309	5-14	25
1141309	15-19	8
1141309	20-24	8
1141309	25+	20
1141310	0-4	5
1141310	5-14	40
1141310	15-19	9
1141310	20-24	13
1141310	25+	30
1141311	0-4	5
1141311	5-14	48
1141311	15-19	19
1141311	20-24	8
1141311	25+	43
1141312	0-4	13
1141312	5-14	61
1141312	15-19	16
1141312	20-24	3
1141312	25+	13
1141313	0-4	11
1141313	5-14	62
1141313	15-19	3
1141313	20-24	5
1141313	25+	30
1141314	0-4	13
1141314	5-14	54
1141314	15-19	11
1141314	20-24	4
1141314	25+	10
1141315	0-4	9
1141315	5-14	77
1141315	15-19	18
1141315	20-24	5
1141315	25+	22
1141316	0-4	8
1141316	5-14	41
1141316	15-19	7
1141316	20-24	8
1141316	25+	18
1141317	5-14	36
1141317	15-19	22
1141317	20-24	17
1141317	25+	10
1141318	0-4	6
1141318	5-14	46
1141318	15-19	19
1141318	20-24	11
1141318	25+	14
1141319	0-4	13
1141319	5-14	52
1141319	15-19	20
1141319	20-24	8
1141319	25+	10
1141320	0-4	9
1141320	5-14	18
1141320	15-19	11
1141320	20-24	4
1141320	25+	17
1141321	0-4	7
1141321	5-14	56
1141321	15-19	20
1141321	20-24	9
1141321	25+	14
1141322	0-4	7
1141322	5-14	37
1141322	15-19	18
1141322	20-24	7
1141322	25+	11
1141323	0-4	4
1141323	5-14	48
1141323	15-19	20
1141323	20-24	16
1141323	25+	8
1141324	0-4	5
1141324	5-14	67
1141324	15-19	19
1141324	20-24	8
1141324	25+	12
1141325	0-4	6
1141325	5-14	33
1141325	15-19	22
1141325	20-24	19
1141325	25+	18
1141326	0-4	11
1141326	5-14	33
1141326	15-19	5
1141326	20-24	12
1141326	25+	24
1141327	0-4	3
1141327	5-14	17
1141327	20-24	3
1141327	25+	20
1141328	0-4	9
1141328	5-14	26
1141328	15-19	6
1141328	20-24	10
1141328	25+	15
1141329	0-4	10
1141329	5-14	42
1141329	15-19	9
1141329	20-24	19
1141329	25+	48
1141330	0-4	8
1141330	5-14	19
1141330	15-19	3
1141330	20-24	14
1141330	25+	27
1141331	0-4	5
1141331	5-14	31
1141331	15-19	8
1141331	20-24	4
1141331	25+	12
1141332	0-4	4
1141332	5-14	50
1141332	15-19	19
1141332	20-24	12
1141332	25+	21
1141333	0-4	8
1141333	5-14	23
1141333	15-19	13
1141333	20-24	8
1141333	25+	13
1141334	0-4	6
1141334	5-14	40
1141334	15-19	12
1141334	20-24	11
1141334	25+	21
1141335	0-4	3
1141335	5-14	19
1141335	15-19	3
1141335	20-24	6
1141335	25+	40
1141336	0-4	9
1141336	5-14	30
1141336	15-19	9
1141336	20-24	10
1141336	25+	39
1141337	0-4	9
1141337	5-14	17
1141337	15-19	7
1141337	20-24	7
1141337	25+	40
1141338	0-4	5
1141338	5-14	15
1141338	15-19	3
1141338	20-24	14
1141338	25+	38
1141339	0-4	5
1141339	5-14	22
1141339	15-19	5
1141339	20-24	13
1141339	25+	18
1141340	0-4	3
1141340	5-14	23
1141340	15-19	3
1141340	20-24	7
1141340	25+	27
1141341	0-4	10
1141341	5-14	28
1141341	15-19	3
1141341	20-24	5
1141341	25+	30
1141342	0-4	8
1141342	5-14	56
1141342	15-19	11
1141342	20-24	5
1141342	25+	15
1141401	0-4	3
1141401	5-14	21
1141401	15-19	11
1141401	20-24	13
1141401	25+	30
1141402	0-4	8
1141402	5-14	25
1141402	15-19	13
1141402	20-24	3
1141402	25+	13
1141403	0-4	6
1141403	5-14	29
1141403	15-19	9
1141403	20-24	7
1141403	25+	19
1141404	0-4	5
1141404	5-14	14
1141404	15-19	8
1141404	20-24	8
1141404	25+	16
1141405	0-4	4
1141405	5-14	28
1141405	15-19	16
1141405	20-24	11
1141405	25+	10
1141406	5-14	28
1141406	15-19	16
1141406	20-24	8
1141406	25+	22
1141407	0-4	12
1141407	5-14	20
1141407	15-19	8
