SA1_7DIGITCODE_2016	medianTotalFamilyIncome
1123617	49972
1123619	62348
1123620	79612
1123621	81224
1123622	45812
1123623	49608
1123624	88816
1123625	98384
1123626	69316
1123627	77428
1123628	83200
1123629	73632
1123630	58500
1123631	60788
1123632	59904
1123633	59540
1123634	73632
1123635	74256
1123636	61516
1123637	48308
1123638	58760
1123639	54184
1123640	99840
1123641	92092
1123642	73112
1123643	72176
1123644	61516
1123645	68900
1123646	56160
1123647	65780
1123648	54756
1123649	71240
1123701	75348
1123702	62816
1123703	82628
1123704	67704
1123705	71500
1123706	67600
1123707	43316
1123708	65728
1123709	80704
1123710	93756
1123711	94692
1123712	73320
1123713	73112
1123714	85280
1123715	47632
1123716	96044
1123719	83200
1123720	79612
1123721	79248
1123722	109876
1123723	69836
1123724	88348
1123725	87048
1123726	99112
1123727	57044
1123728	71500
1123729	78884
1123730	81900
1123731	98748
1123732	88816
1123733	85280
1123734	100724
1123735	63596
1123736	77428
1123737	72748
1123738	61984
1123739	61568
1123740	63076
1123741	65520
1123742	73632
1123743	61412
1123744	66300
1123745	56056
1123746	103116
1123747	96668
1123748	98384
1123749	96928
1123801	87724
1123802	81692
1123803	76960
1123804	64116
1123805	74256
1123806	92612
1123807	85748
1123808	82836
1123809	73216
1123810	71500
1123811	66248
1123812	67132
1123813	75088
1123814	99632
1123815	100256
1123816	79092
1123817	81900
1123818	97500
1123901	53352
1123902	56472
1123903	55224
1123905	69316
1123906	72748
1123907	71500
1123908	
1123909	69004
1123910	58864
1123911	67184
1123912	
1123913	67704
1123914	64532
1123915	
1123916	38948
1123917	71032
1123918	71032
1123919	66872
1123920	63700
1123921	92248
1123922	72124
1123923	62348
1123924	79872
1123925	65936
1123926	39312
1123927	73112
1124001	99632
1124002	86632
1124003	66612
1124004	70460
1124005	80600
1124006	83408
1124007	97500
1124008	81224
1124009	84500
1124010	108316
1124011	84032
1124012	93132
1124013	88192
1124014	92300
1124015	95732
1124016	81224
1124017	88816
1124018	86632
1124019	88348
1124020	86112
1124021	80184
1124022	66456
1124023	60476
1124024	95316
1124025	83200
1124101	65832
1124102	65884
1124103	58032
1124104	65936
1124105	69056
1124106	65364
1124107	61516
1124108	56836
1124109	60372
1124110	68016
1124111	62348
1124112	72904
1124113	60632
1124114	57200
1124115	
1124201	61724
1124202	84500
1124203	84500
1124204	105404
1124205	88608
1124206	86112
1124207	58500
1124208	97500
1124209	79924
1124210	
1124211	95316
1124212	94224
1124213	96824
1124214	89336
1124215	100724
1124216	97500
1124217	94432
1124218	112944
1124219	112424
1124301	56316
1124302	63076
1124303	70304
1124304	62140
1124305	53092
1124306	69056
1124307	58500
1124308	58500
1124309	63648
1124310	87724
1124311	54964
1124312	71500
1124313	61724
1124314	61724
1124315	62192
1124316	64324
1124317	66612
1124318	75452
1124319	57980
1124320	58500
1124321	68224
1124401	66612
1124402	75088
1124403	75556
1124404	64480
1124405	60892
1124406	60996
1124407	58500
1124408	62140
1124409	91364
1124410	59540
1124411	67964
1124412	54704
1124413	63232
1124414	53248
1124415	93132
1124416	58032
1124417	
1124418	59384
1124419	95836
1124420	
1124421	40456
1124422	54600
1124423	54912
1124424	47736
1124425	53716
1124426	48984
1124427	53612
1124428	61464
1124429	67756
1124430	57252
1124431	60320
1124432	59748
1124433	45032
1124434	64220
1124435	57928
1124501	41184
1124502	57200
1124503	53092
1124504	56316
1124505	45916
1124506	57408
1124507	49088
1124508	41236
1124509	57304
1124510	57668
1124511	50908
1124512	75816
1124513	65624
1124514	72644
1124515	68796
1124516	74464
1124517	73320
1124518	69056
1124519	66092
1124520	76336
1124521	50492
1124522	56108
1124523	61724
1124524	63024
1124525	58500
1124526	49712
1124527	66040
1124528	60320
1124601	68588
1124602	67132
1124603	75348
1124604	68900
1124605	79040
1124606	79092
1124607	79924
1124608	72072
1124609	62608
1124610	58760
1124611	76180
1124612	38376
1124613	50648
1124614	60528
1124615	61256
1124616	74464
1124617	76752
1124618	88088
1124619	72020
1124620	67964
1124621	85384
1124622	80964
1124623	71500
1124624	104468
1124625	57876
1124626	55796
1124627	49556
1124628	65624
1124629	94848
1124630	74204
1124631	120224
1124632	81900
1124633	48984
1124634	93184
1124701	45500
1124702	53612
1124703	65260
1124704	44772
1124705	56836
1124706	60112
1124707	77532
1124708	59540
1124709	36192
1124710	46800
1124711	70304
1124712	57408
1124713	56316
1124714	60996
1124715	63128
1124716	55588
1124717	40456
1124718	56992
1124719	47268
1124720	51428
1124721	53924
1124722	74724
1124723	36244
1124724	56108
1124725	59020
1124801	37700
1124802	56836
1124803	80184
1124804	59644
1124805	70668
1124806	74360
1124807	73632
1124808	74932
1124809	54184
1124810	68224
1124811	66872
1124812	65572
1124813	61256
1124814	62972
1124815	62452
1124816	62452
1124817	50492
1124818	57356
1124819	62608
1124820	73476
1124821	68952
1124822	50492
1124823	98748
1124824	74984
1124825	70200
1124826	81224
1124827	71500
1124828	59488
1124829	78676
1124830	70564
1124831	80184
1124832	80444
1124833	73112
1124834	54756
1124835	43004
1124836	67756
1124837	55224
1124838	60112
1124839	42640
1124840	56836
1124901	78468
1124902	92612
1124903	72904
1124904	69316
1124905	66768
1124906	62192
1124907	58500
1124908	82836
1124909	70356
1124910	90428
1124911	83200
1124912	75816
1124913	79040
1124914	60632
1124915	102492
1124916	72748
1124917	79612
1124918	77116
1124919	81224
1124920	82316
1124921	95004
1124922	92196
1124923	76648
1124924	105144
1124925	95732
1124926	80444
1124927	102648
1124928	
1124929	62816
1124930	46020
1124931	64012
1124932	42848
1124933	51168
1124934	41964
1124935	57044
1124936	73632
1124937	56316
1124938	62452
1124939	70200
1124940	76024
1124941	66872
1124942	66924
1124943	64324
1124944	86632
1125001	78832
1125003	105248
1125008	70772
1125009	82732
1125010	
1125011	74724
1125012	95628
1125013	78416
1125014	40196
1125015	85748
1125016	74048
1125017	70876
1125018	91884
1125019	39884
1125020	57408
1125021	47580
1125022	76492
1125023	113932
1125024	121940
1125025	61048
1125026	
1125027	
1125028	111800
1125029	116116
1125030	140400
1125031	92612
1125032	149448
1125033	110864
1125034	68224
1125035	76856
1125036	73892
1125101	60632
1125102	64324
1125103	65416
1125104	58500
1125105	60424
1125106	57044
1125107	68016
1125108	59488
1125109	84500
1125110	
1125111	65520
1125112	58500
1125113	55536
1125114	61724
1125115	72020
1125116	42432
1125117	65624
1125118	
1125119	67600
1125120	60320
1125121	59644
1125122	71812
1125123	91936
1125201	74724
1125202	56316
1125203	51220
1125204	63336
1125205	59956
1125206	80496
1125207	62816
1125208	53300
1125209	45292
1125210	53768
1125211	51376
1125212	69316
1125213	54600
1125214	62816
1125215	62088
1125216	52884
1125217	79612
1125218	80340
1125219	61724
1125220	78936
1125221	66300
1125222	74048
1125223	74048
1125224	82316
1125225	79872
1125226	68224
1125227	86112
1125228	72384
1125229	93600
1125230	54756
1125231	65572
1125232	72540
1125301	83200
1125302	73892
1125303	61724
1125304	55692
1125305	96772
1125306	66300
1125307	53872
1125310	65884
1125311	66456
1125312	77376
1125313	66300
1125314	67600
1125315	77012
1125316	69732
1125317	67600
1125319	
1125320	42224
1125321	75348
1125322	79612
1125324	
1125325	75816
1125326	63648
1125327	82472
1125328	95316
1125330	85280
1125331	85540
1125332	61048
1125333	79092
1125334	95940
1125335	67964
1125336	87360
1125337	94432
1125338	68900
1125401	49348
1125402	54184
1125403	39416
1125404	52676
1125405	52936
1125406	84500
1125407	85904
1125408	65520
1125409	70044
1125410	58500
1125411	48516
1125412	60736
1125413	72540
1125414	61516
1125415	65624
1125416	52884
1125417	74724
1125418	66404
1125419	65728
1125420	65884
1125421	44772
1125422	71760
1125423	74256
1125424	78520
1125425	77376
1125426	71500
1125427	82836
1125428	76492
1125429	60736
1125430	78884
1125431	69836
1125432	68432
1125434	74984
1125436	48828
1125437	48048
1125438	48256
1125439	60424
1125441	39156
1125442	58812
1125443	72748
1125444	77168
1125445	83772
1125446	91520
1125447	75088
1125448	62816
1125449	37700
1125450	55224
1125451	86632
1125452	72488
1125453	69056
1125454	
1125601	97500
1125602	70044
1125603	55692
1125604	58500
1125605	74724
1125606	96824
1125608	89336
1125609	97500
1125610	67184
1125611	46800
1125612	84500
1125613	98540
1125615	79612
1125616	94640
1125617	86112
1125618	
1125619	89492
1125620	83772
1125621	84916
1125622	96564
1125623	67288
1125624	84916
1125625	77428
1125626	63752
1125627	76076
1125628	82836
1125630	97968
1125631	88348
1125632	87724
1125633	72020
1125634	57408
1125635	68432
1125636	62504
1125637	77636
1125638	68796
1125639	80184
1125640	74048
1125641	66300
1125642	78728
1125643	80756
1125644	35360
1125645	72904
1125646	76492
1125647	104520
1125648	96200
1125649	90220
1125650	93444
1125651	115128
1125701	85748
1125702	95316
1125703	78520
1125704	75608
1125705	109564
1125706	97500
1125707	100048
1125708	85748
1125709	78936
1125710	83564
1125711	74360
1125712	96408
1125713	79612
1125714	87724
1125715	84500
1125716	75816
1125717	74152
1125718	73632
1125719	84500
1125720	75452
1125721	79300
1125722	92092
1125723	100724
1125724	134316
1125725	89648
1125726	85696
1125727	68224
1125728	78936
1125729	99632
1125730	60632
1125731	70408
1125732	70564
1125733	71500
1125734	78936
1125735	67600
1125736	75816
1125737	72748
1125738	94224
1125739	
1125740	75816
1125741	70668
1125742	91832
1125801	72748
1125802	70044
1125803	80860
1125804	92456
1125805	75192
1125806	48516
1125807	104780
1125808	71448
1125809	61724
1125810	86632
1125811	70408
1125812	72748
1125813	99112
1125814	67756
1125815	63648
1125816	40924
1125817	71500
1125818	65520
1125819	70200
1125820	69472
1125821	110812
1125822	75504
1125823	61984
1125824	74724
1125825	72644
1125826	99632
1125827	94900
1125828	85176
1125829	86112
1125830	68224
1125831	82316
1125901	72904
1125902	72904
1125903	54756
1125904	52832
1125905	69004
1125906	37700
1125907	65624
1125908	65832
1125909	93132
1125910	75972
1125911	95316
1125912	75816
1125913	69004
1125914	73112
1125915	57824
1125916	89856
1125917	62816
1125918	40456
1125919	68224
1125920	
1125921	61256
1125922	81224
1126001	62192
1126002	72176
1126003	73632
1126004	39780
1126005	94692
1126006	59384
1126007	69316
1126008	68224
1126009	73424
1126011	
1126012	76076
1126013	93132
1126014	81224
1126015	
1126101	63752
1126102	98644
1126103	74724
1126104	65624
1126105	58864
1126106	98384
1126107	74360
1126108	61724
1126109	56836
1126110	65936
1126111	62192
1126112	75660
1126113	72904
1126114	60632
1126115	60424
1126116	92456
1126117	81224
1126118	137800
1126119	58500
1126120	117000
1126201	49348
1126202	62816
1126203	72072
1126204	98540
1126205	88816
1126206	101816
1126207	102648
1126208	105092
1126209	100724
1126210	106444
1126211	76752
1126212	72280
1126213	79040
1126214	64428
1126215	59852
1126216	70772
1126301	63232
1126302	54496
1126303	62608
1126304	44044
1126305	64324
1126306	60632
1126307	40820
1126308	76076
1126309	81900
1126310	74724
1126311	83876
1126312	77012
1126313	60372
1126314	79612
1126315	69056
1126316	46800
1126317	62816
1126318	65468
1126319	77116
1126320	71500
1126321	63648
1126322	
1126401	67756
1126402	70772
1126403	73632
1126404	62348
1126405	66248
1126406	57824
1126407	85384
1126408	81900
1126409	75816
1126410	78832
1126411	106860
1126501	70772
1126502	62192
1126503	61464
1126504	80184
1126505	62192
1126506	74464
1126507	75816
1126508	
1126509	108316
1126510	107692
1126511	61360
1126512	58084
1126513	107224
1126514	98124
1126515	67340
1126516	86632
1126517	
1126601	
1126602	63648
1126603	49712
1126604	69836
1126605	61568
1126606	87724
1126607	61984
1126608	64168
1126609	71500
1126610	68900
1126611	50648
1126612	72540
1126613	60424
1126614	67444
1126615	79092
1126616	80132
1126617	84500
1126618	84500
1126619	76856
1126620	41964
1126621	84500
1126622	57824
1126701	82316
1126702	91520
1126703	110500
1126704	131196
1126705	67600
1126706	
1126707	67756
1126708	91936
1126709	83824
1126710	119548
1126711	108732
1126712	116324
1126713	74360
1126714	79300
1126715	147680
1126716	85540
1126717	79196
1126718	71864
1126719	89492
1126720	121316
1126721	115752
1126722	75504
1126723	77012
1126724	93132
1126725	92976
1126726	74724
1126727	55640
1126728	59540
1126729	55692
1126730	56316
1126731	95108
1126732	90012
1126733	75348
1126734	63752
1126735	113984
1126736	95628
1126737	111436
1126738	127348
1126739	142584
1126740	80756
1126741	95108
1126742	79300
1126743	75556
1126801	99892
1126802	75504
1126803	88816
1126804	94692
1126805	82836
1126806	127140
1126807	110500
1126808	
1126809	78520
1126810	99632
1126811	112632
1126812	106340
1126901	124800
1126902	109616
1126903	95836
1126904	103324
1126906	121940
1126907	76856
1126908	
1126909	
1126910	77636
1126911	133796
1126912	146796
1126913	75816
1126914	50648
1126915	52624
1126916	74412
1126917	75972
1126920	109044
1126921	69316
1126922	78572
1126923	72956
1126924	40456
1126925	58500
1126926	82836
1126927	52884
1126928	48256
1126929	67288
1126930	89024
1126931	69836
1126932	88348
1126933	75192
1126934	78572
1126935	80184
1126936	36400
1126937	37700
1126938	65572
1126939	57824
1126940	95316
1126941	110916
1126942	91936
1126943	105820
1126944	114296
1126945	113568
1126946	83824
1126947	84500
1126948	72748
1126949	50232
1126950	92872
1126951	101660
1126952	113048
1126953	113672
1126954	106600
1126955	88452
1127001	107484
1127003	57876
1127004	39416
1127005	35880
1127006	40768
1127007	37908
1127008	65884
1127009	56836
1127010	76856
1127011	67444
1127012	79612
1127013	91728
1127014	102492
1127015	95316
1127016	79040
1127017	72280
1127018	110032
1127019	105144
1127020	113724
1127021	78884
1127022	90532
1127023	109408
1127024	92092
1127025	73112
1127026	88348
1127027	70200
1127028	93184
1127029	70772
1127030	
1127031	92612
1127032	69836
1127033	
1127034	149448
1127101	79612
1127102	
1127103	91936
1127104	105040
1127105	71448
1127106	61360
1127107	70408
1127108	93600
1127109	74048
1127110	86112
1127111	72124
1127112	73840
1127113	95732
1127114	58500
1127116	69836
1127117	75192
1127118	109564
1127119	89856
1127120	71500
1127121	100724
1127122	95732
1127123	116480
1127124	111800
1127125	81224
1127126	61048
1127127	83668
1127128	74724
1127129	104988
1127130	84500
1127131	51064
1127132	66196
1127133	67184
1127134	97500
1127135	93756
1127136	87464
1127137	91780
1127138	79300
1127139	53612
1127140	55224
1127141	95316
1127142	73424
1127143	79040
1127144	72176
1127201	80184
1127202	74516
1127203	83304
1127204	87360
1127205	80600
1127206	84500
1127207	88348
1127208	105300
1127209	104780
1127210	98748
1127211	114400
1127213	88348
1127214	76336
1127215	81224
1127216	104988
1127217	68952
1127218	64012
1127219	40092
1127220	83200
1127221	44720
1127222	70980
1127223	65520
1127224	61048
1127225	79612
1127226	102648
1127301	55224
1127302	50908
1127303	52624
1127304	69056
1127305	67444
1127306	57200
1127307	65520
1127308	54340
1127309	53040
1127310	51324
1127311	
1127312	55224
1127401	63076
1127402	46800
1127403	74724
1127404	71500
1127405	58500
1127406	55224
1127407	65884
1127408	59020
1127409	49972
1127410	55224
1127411	56212
1127412	61984
1127413	49348
1127414	72280
1127415	
1127416	57200
1127501	77948
1127601	70044
1127602	60632
1127603	73424
1127604	69316
1127605	69316
1127606	75660
1127607	78780
1127608	72748
1127609	92248
1127610	94484
1127701	72280
1127702	71500
1127703	41132
1127704	77116
1127705	60944
1127706	120536
1127707	94224
1127708	88192
1127709	60632
1127710	78936
1127711	92976
1127712	56992
1127713	54184
1127714	54964
1127715	70044
1127716	63024
1127717	76024
1127718	76544
1127719	55900
1127720	57460
1127721	121316
1127722	80600
1127723	58500
1127724	65520
1127725	63856
1127726	77220
1127727	95004
1127728	72488
1127729	87048
1127730	107796
1127731	107900
1127732	109980
1127733	63856
1127734	66196
1127735	68588
1127736	75816
1127737	72956
1127738	59072
1127739	75192
1127740	
1127741	117988
1127801	74048
1127802	67600
1127803	61516
1127804	67184
1127805	
1127806	84448
1127808	71448
1127809	45812
1127810	45240
1127811	37544
1127812	38844
1127813	50908
1127815	65988
1127816	58500
1127817	57564
1127818	47268
1127819	39728
1127820	69472
1127821	48672
1127822	92612
1127823	75816
1127824	75348
1127825	86424
1127827	71500
1127828	85540
1127829	75192
1127830	47528
1127831	47528
1127832	68068
1127833	57408
1127834	68224
1127835	67184
1127836	70408
1127837	66300
1127838	78728
1127839	80756
1127840	57772
1127841	73216
1127842	53300
1127843	60632
1127844	67600
1127845	78832
1127846	76544
1127847	
1127848	96460
1127849	
1127850	69836
1127851	74724
1127852	99632
1127853	47372
1127854	91572
1127901	
1127902	
1127903	
1127905	67184
1127906	72384
1127907	65988
1127908	59904
1127909	45032
1127910	55224
1127912	49660
1127913	67184
1127914	52624
1127915	57096
1127916	59384
1127917	60320
1127918	79040
1127919	69836
1127920	45604
1127921	54600
1127922	55952
1127923	64168
1127924	58500
1127925	51532
1127926	49712
1127927	50440
1127928	49504
1127929	54184
1127930	44200
1127931	53196
1127932	45500
1127933	48204
1127934	50492
1127935	53612
1127936	63336
1127937	52416
1127938	
1127939	74724
1127940	61256
1127941	48932
1127942	71500
1128001	55692
1128002	49348
1128003	51064
1128004	50024
1128005	62608
1128006	46800
1128007	
1128008	51012
1128009	53144
1128010	42068
1128011	45916
1128012	46384
1128013	51532
1128014	58968
1128101	73112
1128102	75504
1128103	82108
1128104	86892
1128105	88348
1128106	68796
1128107	82316
1128108	73632
1128109	78884
1128110	70824
1128201	
1128202	51064
1128203	58500
1128204	59540
1128205	54756
1128206	47892
1128207	41288
1128208	49088
1128209	48828
1128210	52416
1128211	49348
1128212	63232
1128213	58500
1128214	60632
1128215	62816
1128216	61464
1128217	61048
1128218	76856
1128219	48360
1128220	61048
1128221	53144
1128222	49140
1128223	66248
1128224	65624
1128225	58500
1128226	74360
1128227	59852
1128228	60632
1128229	67184
1128230	62660
1128231	61412
1128232	59644
1128233	40872
1128234	57668
1128235	58812
1128236	57616
1128237	65780
1128238	65468
1128239	77116
1128301	56836
1128302	59852
1128303	79612
1128304	50336
1128305	53924
1128306	57876
1128307	51584
1128308	67184
1128309	63648
1128310	73632
1128311	
1128312	55224
1128313	78728
1128314	68484
1128315	63856
1128316	50024
1128317	67444
1128401	84500
1128402	96772
1128403	120536
1128404	84500
1128405	79612
1128406	92040
1128407	72956
1128408	74724
1128409	80808
1128410	116948
1128411	101088
1128412	93600
1128413	83564
1128414	84500
1128415	78624
1128416	65728
1128417	72904
1128418	72020
1128419	76648
1128420	92612
1128421	110032
1128422	117000
1128423	91832
1128424	88608
1128425	112008
1128426	93600
1128427	81692
1128428	97500
1128430	112632
1128431	69992
1128432	
1128433	117000
1128501	99112
1128502	95836
1128503	96824
1128504	78832
1128505	83564
1128506	93704
1128507	92768
1128508	84500
1128509	77116
1128510	93184
1128511	89076
1128512	84500
1128513	93704
1128514	83876
1128515	98280
1128516	87724
1128601	79040
1128602	
1128603	113724
1128604	70564
1128605	73632
1128606	92352
1128608	63856
1128609	69056
1128610	66872
1128611	80496
1128612	
1128613	87152
1128615	102336
1128616	106600
1128617	99632
1128618	67964
1128619	68224
1128620	79612
1128621	63648
1128622	98384
1128623	100048
1128624	74048
1128625	75608
1128626	79612
1128701	86320
1128702	105872
1128703	71136
1128704	78624
1128705	90376
1128706	86632
1128707	90324
1128708	82940
1128709	111072
1128710	74984
1128711	61724
1128712	84500
1128713	40560
1128714	82212
1128715	97500
1128716	106184
1128717	62504
1128718	87724
1128719	79040
1128720	82316
1128721	75348
1128722	
1128723	104988
1128724	84500
1128725	94900
1128726	
1128801	83200
1128802	79040
1128803	80756
1128804	89336
1128805	100724
1128806	114816
1128807	113152
1128808	91936
1128809	105820
1128810	
1128811	97500
1128812	79040
1128901	75816
1128902	69056
1128903	69628
1128904	117780
1128905	107224
1128906	116168
1128907	84500
1128908	86632
1128909	91832
1128910	101504
1128911	95316
1128912	101348
1128913	61256
1128914	75192
1128915	64220
1128916	64168
1128917	71500
1128918	61360
1128919	75816
1129001	104988
1129002	114816
1129003	114504
1129004	90012
1129005	113256
1129006	124540
1129007	163228
1129008	130676
1129009	113360
1129010	132600
1129011	125320
1129012	116272
1129013	127348
1129014	119496
1129015	110500
1129016	117000
1129017	98384
1129018	107484
1129019	112632
1129020	119548
1129021	116220
1129022	114660
1129023	114192
1129024	102024
1129025	105040
1129026	118768
1129027	110188
1129028	112632
1129029	122148
1129030	121940
1129031	119548
1129032	115804
1129033	116064
1129034	81900
1129035	115960
1129036	117000
1129037	99996
1129038	109876
1129039	121316
1129040	121316
1129041	124176
1129042	122876
1129043	110240
1129044	150748
1129045	129012
1129046	108316
1129047	111072
1129101	144248
1129102	184132
1129103	146952
1129104	113256
1129105	136500
1129106	130884
1129107	119132
1129108	148356
1129109	129116
1129110	159692
1129111	162916
1129112	160888
1129113	93600
1129114	115544
1129115	133016
1129116	117000
1129117	133224
1129118	107692
1129119	137436
1129120	129272
1129121	145132
1129122	122148
1129123	109616
1129124	149448
1129125	98748
1129127	
1129128	132288
1129129	165412
1129130	160316
1129131	133224
1129132	119132
1129133	101504
1129134	149448
1129135	109200
1129136	133224
1129137	167232
1129138	
1129139	112216
1129140	119288
1129141	127764
1129142	132028
1129143	151944
1129144	123448
1129145	127712
1129146	127764
1129147	
1129148	170612
1129149	166972
1129401	143000
1129402	180076
1129403	69732
1129404	149448
1129405	158340
1129406	135772
1129407	144820
1129408	156988
1129409	162500
1129410	145132
1129411	147316
1129412	141700
1129413	137332
1129414	122720
1129415	68536
1129416	141232
1129601	171548
1129602	126724
1129603	137436
1129604	135876
1129605	132340
1129606	171028
1129607	185692
1129608	125060
1129609	148356
1129610	153192
1129611	134732
1129612	126880
1129613	139256
1129614	168272
1129615	139724
1129616	158184
1129617	139724
1129618	169000
1129619	147316
1129620	151944
1129621	163072
1129622	118352
1129623	113724
1129624	144144
1129625	185484
1129626	152724
1129627	153088
1129628	136500
1129629	177060
1129630	145132
1129631	211224
1129632	143000
1129701	136500
1129702	124384
1129703	113256
1129704	114608
1129705	93600
1129706	111228
1129707	108992
1129708	115128
1129709	149448
1129710	138320
1129711	143000
1129712	143000
1129713	82628
1129714	143832
1129715	143000
1129716	97500
1129717	107692
1129718	115336
1129719	96408
1129720	111228
1129721	102648
1129722	133588
1129723	83564
1129724	100048
1129725	99632
1129726	95836
1129727	68224
1129728	102648
1129729	111228
1129730	98748
1129731	134888
1129732	138632
1129733	149448
1129734	109200
1129735	107692
1129736	110500
1129737	140400
1129738	132860
1129739	144404
1129740	105872
1129741	125632
1129742	140088
1129743	125320
1129744	157872
1129745	140816
1129746	127088
1129747	133588
1129748	139256
1129749	148720
1129750	131144
1129751	141336
1129752	122668
1129753	115700
1129754	119340
1129755	126256
1129756	106184
1129757	164632
1129758	157612
1129801	143000
1129802	120952
1129803	126724
1129804	131248
1129805	123448
1129806	120536
1129807	118508
1129808	128492
1129809	131040
1129810	114400
1129811	117000
1129812	106860
1129813	40820
1129814	89648
1129815	123448
1129816	94900
1129817	114400
1129901	77532
1129902	97500
1129903	84500
1129904	102336
1129905	79300
1129906	105456
1129907	92040
1129908	75088
1130001	97500
1130002	102076
1130003	125632
1130004	98384
1130005	107536
1130006	126048
1130007	114400
1130008	
1130009	111800
1130010	97500
1130011	117000
1130012	110500
1130013	131612
1130014	117000
1130015	92612
1130016	95108
1130017	117000
1130018	125632
1130019	119028
1130020	94224
1130021	99320
1130022	97916
1130023	108004
1130024	127348
1130025	100048
1130026	107224
1130027	112372
1130028	115804
1130029	106756
1130030	77116
1130031	98020
1130032	92092
1130033	112632
1130034	117000
1130035	94536
1130036	102180
1130037	103116
1130038	127192
1130039	
1130040	81224
1130041	103324
1130042	111852
1130043	108524
1130044	109200
1130045	96304
1130046	107068
1130047	122304
1130048	110500
1130049	106600
1130050	102492
1130051	118976
1130052	117728
1130053	113100
1130054	104832
1130055	89856
1130056	106444
1130057	93184
1130058	119132
1130059	125632
1130060	105872
1130061	99112
1130062	109824
1130063	109980
1130101	74048
1130102	88816
1130103	105612
1130104	108472
1130105	103220
1130106	103012
1130107	126932
1130108	106600
1130109	109928
1130110	123812
1130111	105820
1130112	106184
1130113	106600
1130114	115544
1130115	111800
1130116	104884
1130117	117988
1130118	131768
1130119	123084
1130120	95056
1130121	104884
1130122	113724
1130201	140556
1130202	132860
1130203	139516
1130205	142376
1130206	146120
1130207	139724
1130208	96408
1130209	105196
1130210	131300
1130211	124592
1130212	144820
1130213	132548
1130214	131248
1130215	151216
1130216	133224
1130217	157872
1130218	84500
1130219	163904
1130220	126048
1130221	117000
1130222	137228
1130223	139724
1130224	140608
1130225	158860
1130226	138632
1130227	175448
1130228	165516
1130229	153972
1130230	131508
1130231	130884
1130232	141128
1130233	149448
1130234	130988
1130235	134004
1130236	135668
1130237	128856
1130238	121836
1130239	53248
1130240	142220
1130241	129168
1130242	138320
1130243	127192
1130244	143000
1130245	135564
1130246	151632
1130301	108316
1130302	85540
1130303	
1130304	80756
1130305	77428
1130306	75296
1130307	95004
1130308	108004
1130309	
1130310	117676
1130311	102492
1130312	100152
1130313	
1130314	107224
1130315	106236
1130316	102336
1130317	109044
1130318	80964
1130319	66976
1130320	73736
1130321	95316
1130322	66300
1130323	84500
1130324	73892
1130325	79612
1130326	82316
1130327	72020
1130328	62972
1130329	62348
1130330	
1130332	85748
1130333	88140
1130334	75816
1130335	67184
1130336	74360
1130337	
1130338	65520
1130339	60632
1130340	108056
1130341	74724
1130342	65676
1130343	83668
1130344	91520
1130401	90220
1130402	91884
1130403	100724
1130404	69056
1130405	78676
1130406	84968
1130407	64168
1130408	54184
1130409	73632
1130410	80184
1130411	79612
1130412	84500
1130413	72956
1130414	86112
1130415	94224
1130416	95524
1130417	72332
1130418	82836
1130419	104468
1130420	93340
1130421	84500
1130422	95836
1130423	75816
1130424	109252
1130425	74464
1130426	73164
1130427	132600
1130428	68588
1130429	61724
1130430	77324
1130431	84500
1130432	89024
1130433	97968
1130434	96772
1130435	93444
1130436	88816
1130437	81900
1130438	75504
1130439	85124
1130440	87724
1130441	
1130442	98904
1130601	126568
1130602	113568
1130604	126932
1130605	48984
1130606	78884
1130607	91780
1130608	74984
1130609	60320
1130610	96668
1130611	115284
1130612	107848
1130613	110812
1130614	91936
1130615	109200
1130616	103012
1130617	127504
1130618	121316
1130619	115128
1130620	111436
1130621	94016
1130622	96928
1130623	70668
1130624	82316
1130625	74152
1130626	67184
1130627	45188
1130628	70200
1130629	
1130630	75816
1130631	87048
1130632	57668
1130633	63960
1130634	65676
1130635	72384
1130636	93600
1130637	128336
1130638	80080
1130639	100360
1130640	102856
1130641	85280
1130642	78780
1130643	40820
1130644	71500
1130645	44200
1130646	97500
1130647	47372
1130648	68588
1130649	53092
1130650	72748
1130651	127972
1130652	122356
1130701	102180
1130702	117832
1130703	126880
1130704	139984
1130705	96200
1130706	99632
1130707	84500
1130708	91676
1130709	74724
1130710	73112
1130711	104676
1130712	108888
1130713	110032
1130714	115596
1130715	91936
1130716	85176
1130717	80600
1130718	64012
1130719	81900
1130720	95836
1130721	
1130722	122460
1130723	112112
1130724	107224
1130725	129220
1130726	117988
1130727	80704
1130728	110500
1130729	92248
1130730	96408
1130731	104936
1130732	128076
1130733	121004
1130734	76336
1130735	72748
1130736	107120
1130737	95628
1130738	92872
1130739	74152
1130740	85696
1130741	73112
1130742	92300
1130743	122148
1130744	113724
1130745	125840
1130746	124124
1130747	125424
1130748	83772
1130749	74724
1130750	117676
1130751	114816
1130752	125632
1130753	124332
1130754	83200
1130755	94224
1130756	81224
1130801	76440
1130802	106184
1130803	108108
1130804	86112
1130805	103428
1130806	86632
1130807	70668
1130808	89856
1130809	91520
1130810	66196
1130811	35464
1130812	104832
1130813	95836
1130814	104624
1130815	87984
1130816	102336
1130817	97500
1130818	64948
1130819	96200
1130820	111436
1130821	91572
1130822	77116
1130823	83252
1130824	91884
1130825	81588
1130826	101452
1130827	85176
1130828	91364
1130829	92924
1130830	79404
1130831	110500
1130832	96928
1130833	93600
1130834	98176
