SA1_7DIGITCODE_2016	medianMortgageRepayment
1105717	18204
1105718	26040
1105719	16128
1105720	26520
1105801	25740
1105802	22764
1105804	16512
1105805	17316
1105806	26004
1105807	15600
1105808	16128
1105809	24300
1105811	18552
1105813	18204
1105814	26004
1105815	18204
1105816	18888
1105817	18432
1105818	18204
1105819	18588
1105820	15600
1105821	15600
1105822	18204
1105823	18708
1105824	16644
1105825	15600
1105826	20796
1105827	17784
1105828	15600
1105829	14040
1105830	16800
1105831	19500
1105832	16644
1105833	15900
1105834	16896
1105835	25008
1105836	13260
1105837	19584
1105838	20868
1105839	18876
1105840	18960
1105841	
1105842	26004
1105843	14112
1105844	20796
1105845	20796
1105846	18624
1105847	15600
1105848	18204
1105849	
1105850	18072
1105851	14208
1105852	
1105853	15600
1105854	16644
1105855	16848
1105856	18204
1105857	18204
1105858	
1105859	26004
1105860	18276
1105861	21000
1105862	27504
1105863	20796
1105864	23964
1105901	20280
1105902	20796
1105903	26004
1105904	
1105905	12996
1105906	12996
1105907	15600
1105908	15600
1105910	23400
1105912	16644
1105913	20796
1105914	16644
1105915	23400
1105916	26004
1105917	23400
1105918	23208
1105919	22464
1105920	20796
1105921	26508
1105922	19032
1105923	22152
1105924	15600
1105925	23400
1105926	24000
1105927	12996
1106001	23400
1106002	20016
1106003	15000
1106004	20796
1106005	14820
1106006	26004
1106007	10404
1106008	19200
1106009	22884
1106010	14400
1106011	19788
1106012	26208
1106013	20796
1106014	24960
1106015	18336
1106016	23760
1106017	20796
1106018	18384
1106019	18000
1106020	16800
1106021	
1106101	15600
1106102	21324
1106103	21720
1106104	15336
1106105	12000
1106106	16116
1106107	9972
1106108	18204
1106109	15600
1106110	14040
1106111	15600
1106112	16128
1106113	
1106114	15600
1106115	20796
1106116	15960
1106201	8244
1106202	10404
1106203	10404
1106204	11964
1106205	17424
1106206	11400
1106207	12828
1106208	5856
1106209	14304
1106210	9576
1106211	10800
1106212	9924
1106213	10956
1106214	13656
1106215	11400
1106216	7500
1106217	15180
1106218	9720
1106219	10404
1106220	7200
1106221	15264
1106222	7908
1106223	
1106224	
1106225	
1106301	
1106302	
1106303	13260
1106304	16800
1106305	21600
1106306	11940
1106307	
1106308	12000
1106309	12096
1106310	10404
1106311	12996
1106312	13524
1106313	14556
1106314	15084
1106315	15888
1106316	15060
1106317	8844
1106318	10404
1106319	10800
1106320	15348
1106321	10764
1106322	15864
1106323	14556
1106324	12096
1106325	15600
1106326	20544
1106327	22104
1106328	22548
1106329	17160
1106401	12996
1106402	12000
1106403	12000
1106404	11376
1106405	8400
1106406	13368
1106407	15600
1106408	14328
1106409	10764
1106410	11700
1106411	19500
1106412	11700
1106413	12996
1106414	13104
1106415	12348
1106416	13548
1106417	10404
1106418	15264
1106501	12996
1106502	9600
1106503	12192
1106504	12996
1106505	13524
1106506	13200
1106507	12996
1106508	14160
1106509	14400
1106510	16440
1106511	15600
1106512	11904
1106513	12996
1106514	12996
1106515	12000
1106516	20076
1106517	18156
1106518	13200
1106519	8400
1106520	9072
1106521	16800
1106522	11700
1106523	18300
1106524	15600
1106525	15600
1106526	15600
1106527	13524
1106528	10404
1106529	15600
1106601	10404
1106602	34800
1106603	20796
1106604	12348
1106605	10404
1106606	10920
1106607	10404
1106608	9660
1106609	13104
1106610	8760
1106611	10404
1106612	7800
1106613	4680
1106701	13104
