SA1_7DIGITCODE_2016	MotorVehicles.min	occupied_private_dwellings
1121417	4	8
1121419		5
1121419	0	14
1121419	1	58
1121419	2	64
1121419	3	21
1121419	4	9
1121421	0	11
1121421	1	76
1121421	2	64
1121421	3	14
1121421	4	11
1121422		4
1121422	0	16
1121422	1	87
1121422	2	69
1121422	3	19
1121422	4	8
1121423		3
1121423	0	3
1121423	1	34
1121423	2	58
1121423	3	15
1121423	4	7
1121424		4
1121424	0	15
1121424	1	61
1121424	2	37
1121424	3	14
1121424	4	5
1121425	0	8
1121425	1	46
1121425	2	39
1121425	3	13
1121425	4	16
1121426		5
1121426	0	4
1121426	1	41
1121426	2	71
1121426	3	25
1121426	4	9
1121427		17
1121427	0	14
1121427	1	69
1121427	2	76
1121427	3	22
1121427	4	8
1121428		8
1121428	0	16
1121428	1	87
1121428	2	64
1121428	3	29
1121428	4	15
1121429		3
1121429	1	23
1121429	2	50
1121429	3	21
1121429	4	13
1121430		3
1121430	0	8
1121430	1	45
1121430	2	60
1121430	3	22
1121430	4	14
1121431		3
1121431	0	4
1121431	1	31
1121431	2	48
1121431	3	8
1121431	4	8
1121432		4
1121432	0	13
1121432	1	77
1121432	2	92
1121432	3	22
1121432	4	12
1121433	0	4
1121433	1	32
1121433	2	52
1121433	3	13
1121433	4	15
1121434	0	8
1121434	1	39
1121434	2	54
1121434	3	25
1121434	4	3
1121501	0	3
1121501	1	26
1121501	2	26
1121501	3	15
1121501	4	4
1121502		3
1121502	0	5
1121502	1	28
1121502	2	49
1121502	3	15
1121502	4	13
1121503		8
1121503	0	19
1121503	1	82
1121503	2	41
1121503	3	16
1121503	4	9
1121504		7
1121504	1	30
1121504	2	44
1121504	3	16
1121504	4	14
1121505	0	6
1121505	1	68
1121505	2	69
1121505	3	23
1121505	4	16
1121506		4
1121506	0	3
1121506	1	45
1121506	2	58
1121506	3	15
1121506	4	11
1121507	0	12
1121507	1	74
1121507	2	65
1121507	3	22
1121507	4	10
1121508		4
1121508	0	12
1121508	1	72
1121508	2	41
1121508	3	12
1121508	4	3
1121509		3
1121509	0	7
1121509	1	69
1121509	2	52
1121509	3	18
1121509	4	9
1121510		13
1121510	0	15
1121510	1	56
1121510	2	52
1121510	3	15
1121510	4	3
1121511		3
1121511	1	29
1121511	2	54
1121511	3	29
1121511	4	18
1121512	1	22
1121512	2	41
1121512	3	10
1121512	4	5
1121513	0	6
1121513	1	54
1121513	2	53
1121513	3	30
1121513	4	14
1121514		3
1121514	0	3
1121514	1	33
1121514	2	36
1121514	3	7
1121514	4	4
1121516		8
1121516	0	15
1121516	1	94
1121516	2	53
1121516	3	8
1121516	4	11
1121517		9
1121517	0	16
1121517	1	46
1121517	2	26
1121517	3	6
1121517	4	12
1121518		5
1121518	0	19
1121518	1	68
1121518	2	39
1121518	3	18
1121518	4	11
1121519		11
1121519	0	29
1121519	1	62
1121519	2	36
1121519	3	23
1121519	4	5
1121520		3
1121520	0	10
1121520	1	36
1121520	2	33
1121520	3	17
1121520	4	9
1121521	1	4
1121521	2	9
1121521	3	5
1121522		5
1121522	0	5
1121522	1	59
1121522	2	66
1121522	3	22
1121522	4	14
1121524		3
1121524	0	9
1121524	1	48
1121524	2	53
1121524	3	16
1121524	4	10
1121525		6
1121525	0	4
1121525	1	45
1121525	2	46
1121525	3	13
1121525	4	9
1121601		4
1121601	0	3
1121601	1	53
1121601	2	62
1121601	3	12
1121601	4	8
1121602		4
1121602	0	3
1121602	1	51
1121602	2	62
1121602	3	10
1121602	4	13
1121603		3
1121603	0	10
1121603	1	103
1121603	2	102
1121603	3	37
1121603	4	15
1121604		5
1121604	0	4
1121604	1	59
1121604	2	65
1121604	3	19
1121604	4	10
1121605		9
1121605	0	5
1121605	1	33
1121605	2	42
1121605	3	13
1121605	4	13
1121606		4
1121606	0	6
1121606	1	74
1121606	2	75
1121606	3	28
1121606	4	17
1121607		16
1121607	0	9
1121607	1	111
1121607	2	93
1121607	3	28
1121607	4	10
1121608		15
1121608	0	12
1121608	1	108
1121608	2	139
1121608	3	45
1121608	4	14
1121609		3
1121609	0	3
1121609	1	55
1121609	2	80
1121609	3	28
1121609	4	17
1121610		3
1121610	0	3
1121610	1	46
1121610	2	61
1121610	3	22
1121610	4	10
1121611		3
1121611	0	3
1121611	1	27
1121611	2	54
1121611	3	17
1121611	4	11
1121612		3
1121612	0	3
1121612	1	42
1121612	2	119
1121612	3	35
1121612	4	32
1121613		6
1121613	0	3
1121613	1	42
1121613	2	54
1121613	3	13
1121613	4	11
1121614		7
1121614	0	4
1121614	1	61
1121614	2	37
1121614	3	25
1121614	4	6
1121615		6
1121615	0	4
1121615	1	85
1121615	2	66
1121615	3	30
1121615	4	14
1121616		9
1121616	0	3
1121616	1	68
1121616	2	58
1121616	3	17
1121616	4	10
1121617		6
1121617	0	3
1121617	1	79
1121617	2	102
1121617	3	41
1121617	4	23
1121701		13
1121701	0	46
1121701	1	81
1121701	2	7
1121702		7
1121702	1	15
1121702	2	45
1121702	3	28
1121702	4	13
1121703	0	3
1121703	1	20
1121703	2	43
1121703	3	14
1121703	4	3
1121704		3
1121704	1	34
1121704	2	60
1121704	3	32
1121704	4	22
1121705		12
1121705	0	13
1121705	1	85
1121705	2	69
1121705	3	17
1121705	4	17
1121706		11
1121706	0	5
1121706	1	43
1121706	2	64
1121706	3	17
1121706	4	9
1121707		12
1121707	0	35
1121707	1	72
1121707	2	29
1121707	3	6
1121707	4	3
1121708		5
1121708	0	14
1121708	1	54
1121708	2	47
1121708	3	13
1121708	4	12
1121709	1	24
1121709	2	54
1121709	3	23
1121709	4	13
1121710	0	7
1121710	1	36
1121710	2	35
1121710	3	7
1121710	4	7
1121711		5
1121711	0	3
1121711	1	50
1121711	2	87
1121711	3	37
1121711	4	14
1121712		7
1121712	0	9
1121712	1	43
1121712	2	45
1121712	3	19
1121712	4	10
1121713	0	3
1121713	1	38
1121713	2	65
1121713	3	12
1121713	4	7
1121714	1	28
1121714	2	61
1121714	3	18
1121714	4	20
1121716		3
1121716	1	33
1121716	2	132
1121716	3	37
1121716	4	12
1121718	2	3
1121719		5
1121719	0	10
1121719	1	62
1121719	2	50
1121719	3	18
1121719	4	3
1121720		3
1121720	0	3
1121720	1	29
1121720	2	22
1121720	3	5
1121720	4	9
1121721		8
1121721	0	12
1121721	1	76
1121721	2	90
1121721	3	16
1121721	4	8
1121722	0	12
1121722	1	47
1121722	2	69
1121722	3	27
1121722	4	11
1121723		3
1121723	0	7
1121723	1	55
1121723	2	76
1121723	3	27
1121723	4	12
1121724		5
1121724	1	21
1121724	2	58
1121724	3	20
1121724	4	14
1121725	1	26
1121725	2	117
1121725	3	38
1121725	4	14
1121726	1	23
1121726	2	69
1121726	3	18
1121726	4	8
1121729		3
1121729	0	8
1121729	1	30
1121729	2	50
1121729	3	26
1121729	4	24
1121730		3
1121730	1	18
1121730	2	58
1121730	3	22
1121730	4	9
1121731		4
1121731	1	27
1121731	2	74
1121731	3	37
1121731	4	12
1121732	1	28
1121732	2	100
1121732	3	34
1121732	4	18
1121733		3
1121733	1	15
1121733	2	83
1121733	3	24
1121733	4	9
1121735		8
1121735	0	3
1121735	1	75
1121735	2	270
1121735	3	69
1121735	4	31
1121736	1	32
1121736	2	69
1121736	3	21
1121736	4	13
1121801	0	3
1121801	1	18
1121801	2	59
1121801	3	29
1121801	4	22
1121802		6
1121802	0	13
1121802	1	72
1121802	2	33
1121802	3	14
1121802	4	14
1121803		8
1121803	1	20
1121803	2	39
1121803	3	15
1121803	4	22
1121805		4
1121805	0	3
1121805	1	23
1121805	2	35
1121805	3	13
1121805	4	16
1121806	1	10
1121806	2	14
1121806	3	4
1121807		8
1121807	0	9
1121807	1	33
1121807	2	17
1121807	3	11
1121808		5
1121808	0	3
1121808	1	42
1121808	2	63
1121808	3	15
1121808	4	8
1121809		14
1121809	0	7
1121809	1	43
1121809	2	27
1121809	3	18
1121809	4	17
1121810	1	14
1121810	2	28
1121810	3	30
1121810	4	19
1121811		13
1121811	0	3
1121811	1	44
1121811	2	53
1121811	3	35
1121811	4	10
1121812		11
1121812	0	19
1121812	1	113
1121812	2	101
1121812	3	33
1121812	4	17
1121813		3
1121813	1	12
1121813	2	34
1121813	3	18
1121813	4	7
1121814		4
1121814	0	10
1121814	1	66
1121814	2	76
1121814	3	28
1121814	4	12
1121815		6
1121815	0	6
1121815	1	15
1121815	2	35
1121815	3	20
1121815	4	14
1121816		9
1121816	1	20
1121816	2	46
1121816	3	27
1121816	4	26
1121818		11
1121818	0	27
1121818	1	109
1121818	2	63
1121818	3	20
1121818	4	9
1121819		6
1121819	0	4
1121819	1	45
1121819	2	38
1121819	3	14
1121820		5
1121820	0	3
1121820	1	26
1121820	2	29
1121820	3	16
1121820	4	10
1121821		3
1121821	0	8
1121821	1	13
1121821	2	42
1121821	3	15
1121821	4	18
1121822		12
1121822	0	7
1121822	1	74
1121822	2	80
1121822	3	39
1121822	4	22
1121823		5
1121823	0	3
1121823	1	37
1121823	2	29
1121823	3	22
1121823	4	12
1121824	0	4
1121824	1	18
1121824	2	14
1121824	3	4
1121824	4	3
1121825		6
1121825	1	21
1121825	2	56
1121825	3	29
1121825	4	17
1121826		11
1121826	0	13
1121826	1	26
1121826	2	30
1121826	3	28
1121826	4	21
1121827		10
1121827	0	29
1121827	1	93
1121827	2	17
1121827	3	9
1121827	4	11
1121828		5
1121828	0	3
1121828	1	24
1121828	2	48
1121828	3	21
1121828	4	10
1121829		3
1121829	0	7
1121829	1	38
1121829	2	11
1121829	3	10
1121829	4	3
1121830		12
1121830	0	31
1121830	1	164
1121830	2	27
1121831		12
1121831	0	21
1121831	1	114
1121831	2	25
1121831	3	8
1121831	4	3
1121832		13
1121832	0	18
1121832	1	97
1121832	2	23
1121832	3	4
1121833		3
1121833	0	3
1121833	1	32
1121833	2	35
1121833	3	14
1121833	4	6
1121834		3
1121834	0	4
1121834	1	59
1121834	2	87
1121834	3	30
1121834	4	13
1121835		8
1121835	0	23
1121835	1	53
1121835	2	36
1121835	3	15
1121835	4	17
1121836		3
1121836	0	7
1121836	1	45
1121836	2	36
1121836	3	25
1121836	4	4
1121837		3
1121837	0	3
1121837	1	60
1121837	2	85
1121837	3	30
1121837	4	15
1121838		3
1121838	1	9
1121838	2	10
1121838	3	7
1121838	4	7
1121839		4
1121839	0	4
1121839	1	31
1121839	2	31
1121839	3	17
1121839	4	5
1121840		3
1121840	1	17
1121840	2	53
1121840	3	23
1121840	4	24
1121841		3
1121841	1	14
1121841	2	29
1121841	3	21
1121841	4	19
1121842		9
1121842	0	14
1121842	1	128
1121842	2	54
1121842	3	11
1121842	4	12
1121843		4
1121843	1	22
1121843	2	20
1121843	3	16
1121843	4	13
1121901		7
1121901	0	9
1121901	1	45
1121901	2	44
1121901	3	12
1121901	4	11
1121902		6
1121902	0	19
1121902	1	60
1121902	2	44
1121902	3	5
1121902	4	3
1121903		3
1121903	0	13
1121903	1	63
1121903	2	44
1121903	3	21
1121903	4	4
1121904		7
1121904	0	12
1121904	1	49
1121904	2	41
1121904	3	22
1121904	4	6
1121905		3
1121905	0	3
1121905	1	36
1121905	2	27
1121905	3	5
1121906		3
1121906	0	3
1121906	1	35
1121906	2	30
1121906	3	6
1121906	4	6
1121907		6
1121907	0	9
1121907	1	40
1121907	2	25
1121907	3	8
1121907	4	3
1121908		5
1121908	0	4
1121908	1	39
1121908	2	56
1121908	3	34
1121908	4	16
1121909		3
1121909	0	5
1121909	1	22
1121909	2	61
1121909	3	11
1121909	4	10
1121910		16
1121910	0	33
1121910	1	143
1121910	2	80
1121910	3	21
1121910	4	14
1121911		3
1121911	0	5
1121911	1	41
1121911	2	56
1121911	3	21
1121911	4	9
1121912		3
1121912	0	4
1121912	1	34
1121912	2	25
1121912	3	9
1121912	4	3
1121913		3
1121913	1	26
1121913	2	55
1121913	3	21
1121913	4	11
1121914		4
1121914	0	3
1121914	1	39
1121914	2	76
1121914	3	19
1121914	4	14
1121915		3
1121915	0	3
1121915	1	23
1121915	2	39
1121915	3	12
1121915	4	6
1121916		12
1121916	0	16
1121916	1	60
1121916	2	42
1121916	3	8
1121917		12
1121917	0	19
1121917	1	76
1121917	2	57
1121917	3	26
1121917	4	23
1121918		8
1121918	0	22
1121918	1	78
1121918	2	45
1121918	3	16
1121918	4	3
1121919		3
1121919	1	22
1121919	2	47
1121919	3	15
1121919	4	12
1121922	1	7
1121922	2	8
1121922	3	8
1121922	4	10
1121923		7
1121923	0	3
1121923	1	38
1121923	2	79
1121923	3	38
1121923	4	15
1121924		3
1121924	1	17
1121924	2	40
1121924	3	20
1121924	4	12
1121925		7
1121925	0	3
1121925	1	27
1121925	2	41
1121925	3	19
1121925	4	18
1121926		4
1121926	1	33
1121926	2	57
1121926	3	22
1121926	4	8
1121929		7
1121929	0	10
1121929	1	43
1121929	2	34
1121929	3	10
1121929	4	3
1121930		8
1121930	0	12
1121930	1	63
1121930	2	50
1121930	3	14
1121930	4	8
1121931		5
1121931	0	3
1121931	1	54
1121931	2	59
1121931	3	23
1121931	4	16
1121933		3
1121933	0	3
1121933	1	49
1121933	2	40
1121933	3	15
1121933	4	6
1121934		17
1121934	0	7
1121934	1	52
1121934	2	53
1121934	3	16
1121934	4	10
1121935		8
1121935	0	18
1121935	1	76
1121935	2	68
1121935	3	17
1121935	4	11
1121936		9
1121936	0	9
1121936	1	53
1121936	2	61
1121936	3	16
1121936	4	3
1121937		3
1121937	1	45
1121937	2	57
1121937	3	16
1121937	4	14
1121938		5
1121938	0	3
1121938	1	55
1121938	2	83
1121938	3	29
1121938	4	18
1121939	0	3
1121939	1	27
1121939	2	33
1121939	3	17
1121939	4	4
1121940		3
1121940	0	15
1121940	1	31
1121940	2	35
1121940	3	6
1121940	4	7
1121941	1	26
1121941	2	52
1121941	3	15
1121941	4	4
1121942		11
1121942	0	10
1121942	1	35
1121942	2	19
1121942	3	8
1121942	4	6
1121943	0	3
1121943	1	38
1121943	2	12
1121943	4	4
1121944		19
1121944	0	34
1121944	1	87
1121944	2	40
1121944	3	9
1121944	4	4
1122001	1	41
1122001	2	71
1122001	3	28
1122001	4	9
1122002		3
1122002	1	32
1122002	2	50
1122002	3	23
1122002	4	11
1122003		3
1122003	0	3
1122003	1	39
1122003	2	67
1122003	3	21
1122003	4	10
1122004		5
1122004	1	44
1122004	2	72
1122004	3	23
1122004	4	18
1122005		10
1122005	1	45
1122005	2	78
1122005	3	33
1122005	4	13
1122006		7
1122006	0	4
1122006	1	77
1122006	2	75
1122006	3	34
1122006	4	6
1122007		3
1122007	0	9
1122007	1	59
1122007	2	56
1122007	3	35
1122007	4	11
1122009		11
1122009	0	14
1122009	1	85
1122009	2	61
1122009	3	20
1122009	4	11
1122010		9
1122010	0	7
1122010	1	63
1122010	2	78
1122010	3	24
1122010	4	3
1122011		3
1122011	1	69
1122011	2	105
1122011	3	32
1122011	4	16
1122012		3
1122012	1	41
1122012	2	56
1122012	3	28
1122012	4	6
1122013		4
1122013	0	3
1122013	1	53
1122013	2	83
1122013	3	30
1122013	4	8
1122014	1	49
1122014	2	55
1122014	3	20
1122014	4	10
1122015	0	3
1122015	1	22
1122015	2	54
1122015	3	19
1122015	4	5
1122016	0	3
1122016	1	41
1122016	2	74
1122016	3	26
1122016	4	18
1122017		5
1122017	0	3
1122017	1	42
1122017	2	69
1122017	3	21
1122017	4	14
1122018		5
1122018	1	32
1122018	2	54
1122018	3	20
1122018	4	10
1122019		8
1122019	0	3
1122019	1	42
1122019	2	50
1122019	3	16
1122019	4	3
1122020		13
1122020	0	10
1122020	1	92
1122020	2	97
1122020	3	30
1122020	4	12
1122021		14
1122021	0	8
1122021	1	103
1122021	2	98
1122021	3	30
1122021	4	16
1122024	2	3
1122024	4	5
1122101		4
1122101	0	4
1122101	1	19
1122101	2	49
1122101	3	23
1122101	4	19
1122102	1	16
1122102	2	27
1122102	3	16
1122102	4	7
1122103		3
1122103	0	3
1122103	1	30
1122103	2	43
1122103	3	18
1122103	4	13
1122104	0	4
1122104	1	36
1122104	2	52
1122104	3	18
1122104	4	8
1122105		3
1122105	1	28
1122105	2	20
1122105	3	21
1122105	4	8
1122106		4
1122106	0	4
1122106	1	43
1122106	2	60
1122106	3	33
1122106	4	14
1122107		4
1122107	0	3
1122107	1	11
1122107	2	50
1122107	3	25
1122107	4	16
1122108		5
1122108	0	8
1122108	1	98
1122108	2	104
1122108	3	31
1122108	4	6
1122109	1	18
1122109	2	29
1122109	3	19
1122109	4	5
1122110		3
1122110	0	5
1122110	1	16
1122110	2	41
1122110	3	22
1122110	4	24
1122111		5
1122111	1	18
1122111	2	31
1122111	3	27
1122111	4	24
1122112		3
1122112	0	3
1122112	1	43
1122112	2	66
1122112	3	18
1122112	4	12
1122113		11
1122113	0	5
1122113	1	33
1122113	2	46
1122113	3	19
1122113	4	4
1122114		4
1122114	1	28
1122114	2	50
1122114	3	21
1122114	4	7
1122115	0	12
1122115	1	53
1122115	2	43
1122115	3	23
1122115	4	16
1122116		4
1122116	1	23
1122116	2	31
1122116	3	13
1122116	4	12
1122117		3
1122117	1	35
1122117	2	50
1122117	3	17
1122117	4	15
1122118		3
1122118	0	3
1122118	1	9
1122118	2	16
1122118	3	27
1122118	4	10
1122119	1	30
1122119	2	37
1122119	3	5
1122119	4	8
1122120	1	14
1122120	2	19
1122120	3	8
1122120	4	10
1122201		3
1122201	0	9
1122201	1	48
1122201	2	58
1122201	3	21
1122201	4	7
1122202	0	7
1122202	1	45
1122202	2	46
1122202	3	22
1122202	4	9
1122203		7
1122203	0	13
1122203	1	81
1122203	2	67
1122203	3	25
1122203	4	4
1122204		3
1122204	0	12
1122204	1	70
1122204	2	94
1122204	3	16
1122204	4	4
1122205		3
1122205	0	3
1122205	1	40
1122205	2	63
1122205	3	26
1122205	4	7
1122206		4
1122206	0	3
1122206	1	57
1122206	2	85
1122206	3	20
1122206	4	12
1122207		3
1122207	0	14
1122207	1	68
1122207	2	74
1122207	3	36
1122207	4	10
1122208	0	18
1122208	1	71
1122208	2	73
1122208	3	18
1122208	4	3
1122209		3
1122209	1	17
1122209	2	49
1122209	3	8
1122209	4	8
1122210		6
1122210	0	18
1122210	1	90
1122210	2	74
1122210	3	15
1122210	4	9
1122211	1	22
1122211	2	51
1122211	3	19
1122211	4	12
1122212		3
1122212	0	22
1122212	1	73
1122212	2	74
1122212	3	19
1122212	4	15
1122213	0	19
1122213	1	26
1122213	2	36
1122213	3	12
1122213	4	3
1122214	0	22
1122214	1	63
1122214	2	48
1122214	3	12
1122214	4	4
1122215		5
1122215	0	23
1122215	1	41
1122215	2	47
1122215	3	12
1122215	4	5
1122216		4
1122216	0	9
1122216	1	66
1122216	2	64
1122216	3	21
1122216	4	7
1122217		5
1122217	0	16
1122217	1	72
1122217	2	91
1122217	3	12
1122217	4	9
1122218		3
1122218	0	18
1122218	1	82
1122218	2	77
1122218	3	9
1122218	4	4
1122219		6
1122219	0	14
1122219	1	81
1122219	2	50
1122219	3	9
1122219	4	7
1122220		3
1122220	0	13
1122220	1	82
1122220	2	66
1122220	3	25
1122220	4	6
1122223		3
1122223	0	16
1122223	1	70
1122223	2	102
1122223	3	25
1122223	4	10
1122224		6
1122224	0	11
1122224	1	55
1122224	2	81
1122224	3	18
1122224	4	7
1122225		8
1122225	0	8
1122225	1	55
1122225	2	61
1122225	3	21
1122225	4	7
1122226		3
1122226	0	6
1122226	1	36
1122226	2	63
1122226	3	26
1122226	4	15
1122227		3
1122227	0	4
1122227	1	34
1122227	2	84
1122227	3	23
1122227	4	14
1122228	0	7
1122228	1	36
1122228	2	72
1122228	3	14
1122228	4	6
1122229		7
1122229	0	13
1122229	1	57
1122229	2	58
1122229	3	18
1122229	4	4
1122230		5
1122230	0	6
1122230	1	44
1122230	2	62
1122230	3	12
1122230	4	10
1122231	0	3
1122231	1	33
1122231	2	52
1122231	3	16
1122231	4	4
1122232		3
1122232	0	3
1122232	1	54
1122232	2	62
1122232	3	20
1122232	4	6
1122233		3
1122233	1	43
1122233	2	59
1122233	3	19
1122233	4	5
1122234		3
1122234	0	3
1122234	1	33
1122234	2	55
1122234	3	12
1122234	4	13
1122235		7
1122235	0	8
1122235	1	57
1122235	2	96
1122235	3	36
1122235	4	6
1122236		3
1122236	0	3
1122236	1	37
1122236	2	40
1122236	3	16
1122236	4	4
1122239		18
1122239	0	41
1122239	1	108
1122239	2	55
1122239	3	7
1122240		3
1122240	0	14
1122240	1	62
1122240	2	66
1122240	3	26
1122240	4	7
1122301	1	26
1122301	2	36
1122301	3	13
1122301	4	4
1122302		3
1122302	0	10
1122302	1	62
1122302	2	53
1122302	3	11
1122302	4	11
1122303		10
1122303	0	17
1122303	1	92
1122303	2	77
1122303	3	20
1122303	4	12
1122304	0	6
1122304	1	49
1122304	2	47
1122304	3	26
1122304	4	9
1122306		7
1122306	0	11
1122306	1	65
1122306	2	44
1122306	3	26
1122306	4	12
1122307		9
1122307	1	65
1122307	2	57
1122307	3	12
1122307	4	8
1122308		4
1122308	0	3
1122308	1	39
1122308	2	50
1122308	3	17
1122308	4	10
1122309	1	5
1122309	2	3
1122310		6
1122310	0	8
1122310	1	87
1122310	2	49
1122310	3	21
1122310	4	12
1122311		3
1122311	0	30
1122311	1	101
1122311	2	55
1122311	3	22
1122311	4	14
1122312		5
1122312	0	10
1122312	1	75
1122312	2	49
1122312	3	17
1122312	4	9
1122313		12
1122313	0	22
1122313	1	137
1122313	2	47
1122313	3	19
1122313	4	18
1122314		4
1122314	1	19
1122314	2	40
1122314	3	25
1122314	4	23
1122315		8
1122315	1	21
1122315	2	40
1122315	3	16
1122315	4	15
1122316		3
1122316	0	4
1122316	1	24
1122316	2	19
1122316	3	14
1122316	4	11
1122317		5
1122317	0	15
1122317	1	80
1122317	2	27
1122317	3	15
1122318		4
1122318	1	48
1122318	2	59
1122318	3	10
1122318	4	6
1122319		7
1122319	0	17
1122319	1	50
1122319	2	37
1122319	3	6
1122319	4	3
1122320		6
1122320	0	9
1122320	1	64
1122320	2	53
1122320	3	14
1122320	4	7
1122321		5
1122321	0	16
1122321	1	28
1122321	2	20
1122321	3	10
1122321	4	3
1122322		7
1122322	0	12
1122322	1	57
1122322	2	63
1122322	3	16
1122322	4	7
1122323	1	35
1122323	2	42
1122323	3	14
1122323	4	11
1122324		3
1122324	0	4
1122324	1	35
1122324	2	35
1122324	3	7
1122324	4	6
1122325	1	10
1122325	2	15
1122325	3	9
1122325	4	4
1122401		3
1122401	0	10
1122401	1	50
1122401	2	86
1122401	3	19
1122401	4	4
1122402	0	7
1122402	1	21
1122402	2	63
1122402	3	19
1122402	4	7
1122403		38
1122403	0	168
1122403	1	71
1122403	2	10
1122403	3	3
1122404		12
1122404	0	38
1122404	1	53
1122404	2	63
1122404	3	18
1122404	4	8
1122405		18
1122405	0	80
1122405	1	56
1122405	2	26
1122405	3	4
1122405	4	3
1122406		7
1122406	0	15
1122406	1	28
1122406	2	17
1122406	3	3
1122406	4	3
1122407		14
1122407	0	16
1122407	1	86
1122407	2	37
1122407	3	3
1122407	4	3
1122408		7
1122408	0	4
1122408	1	36
1122408	2	27
1122408	3	8
1122410	1	7
1122411	0	12
1122411	1	57
1122411	2	46
1122411	3	12
1122411	4	4
1122412		6
1122412	0	23
1122412	1	80
1122412	2	78
1122412	3	27
1122412	4	11
1122413		8
1122413	0	19
1122413	1	83
1122413	2	62
1122413	3	10
1122413	4	3
1122414	0	15
1122414	1	57
1122414	2	55
1122414	3	14
1122414	4	9
1122415		6
1122415	0	13
1122415	1	81
1122415	2	37
1122415	3	10
1122415	4	9
1122417	0	13
1122417	1	49
1122417	2	33
1122417	3	5
1122418		11
1122418	0	33
1122418	1	88
1122418	2	75
1122418	3	21
1122418	4	15
1122419		3
1122419	0	20
1122419	1	71
1122419	2	46
1122419	3	6
1122419	4	5
1122420	0	6
1122420	1	33
1122420	2	17
1122420	3	3
1122420	4	3
1122421		9
1122421	0	40
1122421	1	110
1122421	2	80
1122421	3	20
1122421	4	11
1122422		14
1122422	0	20
1122422	1	106
1122422	2	83
1122422	3	18
1122422	4	10
1122423		4
1122423	0	21
1122423	1	64
1122423	2	46
1122423	3	9
1122423	4	3
1122424		8
1122424	0	19
1122424	1	74
1122424	2	45
1122424	3	14
1122424	4	5
1122425		16
1122425	0	19
1122425	1	91
1122425	2	50
1122425	3	20
1122425	4	8
1122426		15
1122426	0	45
1122426	1	118
1122426	2	67
1122426	3	16
1122426	4	5
1122427		7
1122427	0	18
1122427	1	67
1122427	2	83
1122427	3	27
1122427	4	15
1122428		3
1122428	0	11
1122428	1	38
1122428	2	50
1122428	3	15
1122428	4	4
1122429		3
1122429	0	5
1122429	1	47
1122429	2	85
1122429	3	26
1122429	4	6
1122430		4
1122430	0	5
1122430	1	50
1122430	2	62
1122430	3	15
1122430	4	7
1122431		6
1122431	0	10
1122431	1	49
1122431	2	73
1122431	3	16
1122431	4	8
1122432	0	3
1122432	1	25
1122432	2	32
1122432	3	13
1122432	4	10
1122501		7
1122501	0	8
1122501	1	65
1122501	2	80
1122501	3	26
1122501	4	17
1122502	0	5
1122502	1	47
1122502	2	46
1122502	3	12
1122503		3
1122503	0	12
1122503	1	50
1122503	2	64
1122503	3	13
1122503	4	4
1122504		7
1122504	0	37
1122504	1	114
1122504	2	97
1122504	3	24
1122504	4	4
1122505		5
1122505	0	4
1122505	1	47
1122505	2	66
1122505	3	13
1122505	4	5
1122506		5
1122506	0	4
1122506	1	37
1122506	2	43
1122506	3	12
1122506	4	10
1122507		3
1122507	0	22
1122507	1	70
1122507	2	67
1122507	3	17
1122507	4	9
1122508		9
1122508	0	7
1122508	1	71
1122508	2	81
1122508	3	22
1122508	4	10
1122509		7
1122509	0	5
1122509	1	66
1122509	2	40
1122509	3	10
1122509	4	4
1122510		7
1122510	0	6
1122510	1	64
1122510	2	33
1122510	3	9
1122510	4	7
1122511		3
1122511	0	10
1122511	1	40
1122511	2	58
1122511	3	9
1122511	4	6
1122512	0	3
1122512	1	57
1122512	2	59
1122512	3	19
1122512	4	5
1122513		3
1122513	0	6
1122513	1	89
1122513	2	94
1122513	3	25
1122513	4	6
1122514		10
1122514	0	15
1122514	1	108
1122514	2	64
1122514	3	21
1122514	4	7
1122515	0	5
1122515	1	37
1122515	2	43
1122515	3	15
1122516		10
1122516	0	26
1122516	1	83
1122516	2	73
1122516	3	13
1122516	4	3
1122517		6
1122517	0	24
1122517	1	49
1122517	2	43
1122517	3	10
1122517	4	9
1122518		7
1122518	0	17
1122518	1	74
1122518	2	54
1122518	3	23
1122518	4	5
1122519		6
1122519	0	10
1122519	1	91
1122519	2	65
1122519	3	14
1122519	4	4
1122520		4
1122520	0	3
1122520	1	26
1122520	2	24
1122520	3	17
1122520	4	8
1122521	1	37
1122521	2	79
1122521	3	20
1122521	4	6
1122522	1	17
1122522	2	48
1122522	3	21
1122522	4	12
1122523		14
1122523	0	56
1122523	1	104
1122523	2	45
1122523	3	11
1122523	4	3
1122524		3
1122524	0	7
1122524	1	83
1122524	2	72
1122524	3	18
1122524	4	10
1122525		6
1122525	0	12
1122525	1	80
1122525	2	49
1122525	3	17
1122525	4	3
1122526	0	7
1122526	1	67
1122526	2	78
1122526	3	23
1122526	4	14
1122527		4
1122527	0	10
1122527	1	38
1122527	2	42
1122527	3	14
1122528	0	3
1122528	1	30
1122528	2	62
1122528	3	27
1122528	4	6
1122529	0	6
1122529	1	43
1122529	2	30
1122529	3	10
1122529	4	4
1122530		3
1122530	0	16
1122530	1	83
1122530	2	74
1122530	3	20
1122530	4	5
1122531		3
1122531	0	8
1122531	1	44
1122531	2	38
1122531	3	15
1122531	4	8
1122532		4
1122532	0	6
1122532	1	47
1122532	2	46
1122532	3	12
1122532	4	4
1122534		3
