SA1_7DIGITCODE_2016	medianTotalHouseholdIncome
1142519	108316
1142520	
1142521	125944
1142522	71448
1142523	47164
1142601	128076
1142602	108004
1142603	94432
1142604	93496
1142605	84500
1142606	91676
1142607	81224
1142608	93704
1142609	87152
1142610	106184
1142611	76856
1142612	113984
1142613	160316
1142614	78520
1142615	127764
1142616	134316
1142617	117000
1142618	135200
1142619	100724
1142620	103116
1142621	93444
1142622	90168
1142623	78832
1142624	93964
1142625	92300
1142626	75816
1142627	81224
1142628	83980
1142629	78988
1142630	65208
1142631	80600
1142632	89180
1142633	77636
1142634	125632
1142635	186316
1142636	85748
1142637	91312
1142638	108316
1142639	111800
1142640	112632
1142641	107016
1142642	73632
1142643	127972
1142644	88504
1142645	99424
1142646	73736
1142647	224224
1142648	173316
1142649	128024
1142650	146848
1142651	132340
1142652	122356
1142653	66508
1142654	75816
1142655	87828
1142656	82316
1142701	108316
1142702	147680
1142703	178256
1142704	135564
1142705	36400
1142706	149448
1142707	112632
1142708	134316
1142709	125944
1142710	124176
1142711	124072
1142712	44200
1142713	135200
1142714	162500
1142715	99112
1142716	106184
1142717	112632
1142718	140088
1142719	109408
1142720	117000
1142721	148980
1142722	
1142723	114400
1142724	
1142725	
1142726	148720
1142727	121836
1142728	138632
1142729	146848
1142730	
1142731	
1142732	143000
1142733	120224
1142734	117000
1142735	52728
1142736	94744
1142737	134316
1142738	93132
1142739	128492
1142740	152724
1142741	144976
1142801	111436
1142802	110864
1142803	133588
1142804	128492
1142805	129064
1142806	125632
1142807	140972
1142808	117000
1142809	118820
1142810	127764
1142811	147680
1142812	135200
1142813	159016
1142814	117000
1142815	122876
1142816	112008
1142817	114400
1142818	132600
1142819	131144
1142820	134316
1142821	143832
1142822	184548
1142823	192088
1142824	122668
1142825	
1142826	217724
1142827	147316
1142828	144404
1142829	152256
1142830	128492
1142831	126828
1142832	135200
1142833	131092
1142834	118040
1142835	129116
1142836	125320
1142837	138632
1142838	
1142839	126048
1142840	132340
1142841	38688
1142842	133588
1142843	135876
1142844	124644
1142845	135772
1142846	40924
1142847	119392
1142848	121836
1142849	104780
1142850	146536
1142851	132600
1142852	147628
1142853	153348
1142854	161200
1142855	109564
1142856	137800
1142857	144820
1142858	170820
1142859	127088
1142860	108992
1142861	
1142862	125060
1142863	114400
1142864	151632
1142901	174148
1142902	120952
1142903	158184
1142904	169000
1142905	152464
1142906	157300
1142907	79872
1142908	119548
1142909	113516
1142910	96668
1142911	143000
1142912	133224
1142913	104572
1142914	126048
1142915	158548
1142916	118248
1142917	115856
1142918	
1142919	109200
1142920	36868
1142921	117000
1142922	153764
1142923	116480
1142924	118976
1142925	97084
1142926	112216
1142927	102024
1142928	110864
1142929	112632
1142930	60112
1142931	112320
1142932	135928
1142933	97968
1142934	134888
1142935	
1142936	134316
1142937	147680
1142938	104884
1142939	149448
1142940	150748
1142941	114556
1142942	148148
1142943	141960
1142944	111228
1142945	143000
1142946	120744
1142947	115804
1142948	110812
1142949	189436
1142950	135564
1142951	103428
1143001	80756
1143002	117520
1143003	172224
1143004	113880
1143005	157404
1143006	191256
1143007	170820
1143008	25584
1143009	135564
1143010	113516
1143011	143000
1143012	
1143013	145548
1143014	149448
1143015	92196
1143016	103220
1143017	89648
1143018	90428
1143019	105560
1143020	131144
1143021	144612
1143022	135980
1143023	169000
1143024	115856
1143025	72540
1143026	140816
1143027	114972
1143028	121056
1143029	109616
1143030	146224
1143031	175448
1143032	126724
1143033	148512
1143034	120224
1143035	84500
1143036	172692
1143037	123448
1143038	139256
1143101	104468
1143102	97500
1143103	92716
1143104	74048
1143105	84084
1143106	135408
1143107	114088
1143108	108160
1143109	131612
1143110	99216
1143111	124020
1143112	37908
1143113	138632
1143114	141336
1143115	
1143116	129012
1143117	121836
1143118	121420
1143119	81432
1143120	85072
1143121	89492
1143123	95316
1143124	101868
1143125	131924
1143126	100724
1143127	125892
1143128	144144
1143129	136916
1143130	142064
1143131	129064
1143132	117000
1143133	138632
1143134	128856
1143135	111436
1143136	82004
1143137	125840
1143139	118976
1143140	118404
1143141	121940
1143142	108316
1143143	182988
1143144	133900
1143145	35308
1143146	148720
1143147	124748
1143148	127764
1143149	143000
1143150	98020
1143151	110916
1143152	106808
1143153	125632
1143154	88504
1143155	140400
1143156	124540
1143157	82836
1143158	106600
1143159	93964
1143160	107796
1143201	111800
1143202	128336
1143203	134316
1143204	124280
1143205	
1143206	108316
1143207	
1143208	159224
1143209	177632
1143210	161200
1143211	62452
1143212	148720
1143213	122720
1143214	113724
1143301	111228
1143302	27092
1143303	149188
1143304	54860
1143305	140088
1143306	142064
1143307	126464
1143308	81432
1143309	33488
1143310	71500
1143311	84500
1143312	99320
1143313	92456
1143314	58916
1143315	99112
1143316	153608
1143317	118404
1143318	106184
1143319	104728
1143320	83460
1143321	76336
1143322	91728
1143323	91416
1143324	96668
1143325	75816
1143326	98644
1143327	120588
1143401	114660
1143402	114400
1143403	113568
1143404	131144
1143405	109772
1143406	123448
1143407	131092
1143408	125840
1143409	130572
1143410	125476
1143411	113412
1143412	99320
1143413	124124
1143414	96200
1143415	49608
1143416	104884
1143417	100256
1143418	127920
1143419	81224
1143420	98748
1143421	113308
1143422	60632
1143423	
1143424	106600
1143425	99892
1143426	86632
1143428	151840
1143429	162500
1143430	71500
1143431	76856
1143432	92612
1143433	64012
1143434	77584
1143435	95056
1143436	72280
1143437	69108
1143438	77428
1143440	104988
1143441	134316
1143442	115128
1143443	143000
1143444	91832
1143445	
1143446	100932
1143447	117728
1143448	123032
1143449	112892
1143501	92612
1143502	118716
1143503	99216
1143504	91416
1143505	114816
1143506	137800
1143507	124332
1143508	76492
1143510	108316
1143511	71500
1143512	117000
1143513	107224
1143515	72748
1143516	120692
1143517	111800
1143518	137124
1143519	105508
1143520	105456
1143521	135408
1143522	97136
1143523	127452
1143524	105040
1143525	97084
1143527	105612
1143528	87516
1143529	99632
1143530	88504
1143531	83928
1143532	112632
1143533	104884
1143534	104416
1143535	105092
1143536	108576
1143537	114400
1143538	115700
1143539	117884
1143540	103376
1143541	109928
1143542	114920
1143544	83408
1143545	88348
1143546	97500
1143547	102076
1143548	109772
1143549	124956
1143550	128856
1143551	133900
1143552	110500
1143553	74152
1143555	119340
1143557	88816
1143558	
1143559	110136
1143560	113620
1143561	115232
1143562	168948
1143563	111592
1143564	107224
1143565	128232
1143566	106028
1143567	110656
1143568	119756
1143569	124488
1143570	120744
1143571	46800
1143572	
1143573	96200
1143574	104468
1143575	107536
1143576	110500
1143601	34372
1143602	
1143603	37284
1143604	55484
1143605	22984
1143606	37336
1143607	117312
1143608	76856
1143609	89336
1143610	72384
1143611	80184
1143612	83824
1143613	73736
1143614	73892
1143615	78260
1143616	71500
1143617	61724
1143618	68900
1143619	84916
1143620	34788
1143621	34892
1143622	40716
1143623	120224
1143624	94692
1143625	76648
1143626	67184
1143627	83200
1143628	77116
1143629	
1143630	60476
1143631	76440
1143632	61984
1143633	77324
1143634	76232
1143635	80704
1143636	76856
1143637	108628
1143638	42432
1143639	37492
1143640	86632
1143641	77168
1143642	98540
1143643	68432
1143644	87256
1143645	100048
1143646	91520
1143701	68796
1143702	67444
1143703	74516
1143705	
1143706	82316
1143707	84500
1143708	75608
1143709	
1143710	57304
1143711	74724
1143712	62972
1143713	70044
1143714	67756
1143715	46020
1143716	49348
1143717	45656
1143718	37908
1143719	80184
1143720	76544
1143721	124748
1143722	
1143723	
1143724	60112
1143725	54288
1143726	53560
1143727	73008
1143728	67860
1143729	78988
1143730	84500
1143731	111800
1143732	128024
1143733	116064
1143735	118612
1143736	77636
1143737	88192
1143738	115128
1143739	109408
1143740	34008
1143741	
1143742	91624
1143743	102544
1143744	34320
1143745	97500
1143801	99892
1143802	85072
1143803	92456
1143804	91624
1143805	98072
1143806	82524
1143807	83824
1143808	96408
1143809	89180
1143810	78988
1143811	96200
1143812	86424
1143813	79612
1143814	82576
1143815	74724
1143816	87880
1143817	77272
1143818	92300
1143819	62452
1143820	89440
1143821	94900
1143822	93184
1143823	110500
1143824	99632
1143825	87724
1143826	102856
1143827	84500
1143828	73892
1143829	94224
1143830	94900
1143831	111436
1143833	80340
1143834	75660
1143835	35516
1143836	110760
1143837	117000
1143838	
1143839	31148
1143840	32760
1143841	42536
1143842	91416
1143843	69316
1143844	100256
1143845	31824
1143846	86892
1143847	32864
1143848	37960
1143849	36816
1143850	106756
1143851	90584
1143852	34788
1143853	115128
1143855	107796
1143856	104624
1143857	78728
1143858	92092
1143859	
1143901	
1144001	75608
1144002	40352
1144003	
1144005	136500
1144006	
1144007	73320
1144008	73788
1144009	88816
1144010	92872
1144011	76232
1144012	70928
1144013	90636
1144014	105872
1144015	55224
1144016	63336
1144017	66768
1144018	59228
1144019	105092
1144020	71084
1144021	71032
1144022	83304
1144023	69004
1144024	110968
1144025	66872
1144026	88608
1144027	82732
1144028	72280
1144029	89336
1144030	60840
1144031	112632
1144032	34892
1144033	62816
1144034	79300
1144035	76024
1144036	64688
1144037	73112
1144038	57772
1144039	75244
1144040	79716
1144041	148148
1144042	178724
1144043	68224
1144044	71864
1144045	133900
1144046	139152
1144101	75660
1144102	84500
1144103	76752
1144104	93184
1144105	121316
1144106	123448
1144107	56628
1144108	70356
1144109	76336
1144110	64116
1144111	50648
1144112	91468
1144113	86424
1144114	77584
1144115	56732
1144116	106028
1144117	77532
1144118	92924
1144119	86632
1144120	81588
1144122	72332
1144123	37440
1144124	62348
1144125	64688
1144126	71916
1144127	82940
1144128	85072
1144129	80912
1144130	102856
1144131	80860
1144132	93184
1144133	85384
1144134	94224
1144135	78572
1144136	82472
1144137	64428
1144138	59696
1144201	73008
1144203	
1144204	28444
1144205	42640
1144206	86632
1144207	66872
1144208	27924
1144209	84500
1144210	93704
1144211	101816
1144212	66768
1144213	83876
1144214	78832
1144215	89336
1144216	73840
1144217	73892
1144218	97500
1144219	62608
1144220	74412
1144221	59956
1144222	63284
1144223	65416
1144224	72072
1144225	55484
1144226	46800
1144227	79456
1144228	80184
1144229	46280
1144230	38376
1144231	32916
1144232	38428
1144233	
1144234	62660
1144235	71500
1144236	64376
1144237	63024
1144238	60892
1144239	86476
1144240	69836
1144241	94692
1144242	87256
1144243	84500
1144244	51532
1144245	81796
1144246	66612
1144247	67964
1144248	85384
1144249	89336
1144250	68224
1144251	86892
1144252	76752
1144253	40976
1144254	123760
1144255	120848
1144256	120484
1144301	106340
1144302	94224
1144303	81692
1144304	80184
1144305	89336
1144306	87360
1144307	88816
1144308	92924
1144309	88348
1144310	105352
1144311	100360
1144312	
1144313	98384
1144314	70772
1144315	82316
1144316	78468
1144317	57876
1144318	87984
1144319	97448
1144320	86112
1144321	53040
1144322	93184
1144323	86424
1144324	96304
1144325	88348
1144326	92612
1144327	72904
1144328	46800
1144329	66508
1144330	63596
1144331	61516
1144332	84500
1144333	67600
1144334	86112
1144335	72072
1144336	59852
1144337	52260
1144338	72852
1144339	70460
1144340	80548
1144341	82472
1144342	
1144343	57772
1144344	85644
1144345	71500
1144346	88244
1144347	58500
1144348	63804
1144349	74412
1144350	61724
1144401	23192
1144402	42900
1144403	78884
1144404	37700
1144405	45604
1144406	42016
1144407	63024
1144408	85488
1144409	42796
1144410	109564
1144411	91780
1144412	132444
1144413	138892
1144414	123448
1144415	130676
1144416	125892
1144417	122148
1144418	80184
1144419	104832
1144420	73216
1144421	75088
1144422	96044
1144423	73840
1144424	63752
1144425	86840
1144426	73112
1144427	80184
1144428	135200
1144429	126048
1144430	76752
1144431	62816
1144432	70356
1144433	93808
1144434	86424
1144435	122148
1144436	88348
1144437	88816
1144438	51688
1144439	80704
1144440	104780
1144441	68224
1144442	41080
1144443	38220
1144444	46280
1144445	86840
1144446	82836
1144447	100724
1144448	75088
1144449	69732
1144450	93184
1144451	73632
1144452	84500
1144453	66040
1144454	70720
1144455	137436
1144456	97500
1144501	43836
1144502	37700
1144503	95212
1144504	78572
1144505	113568
1144506	89024
1144507	82316
1144508	84500
1144509	105612
1144510	100256
1144511	76752
1144512	77116
1144513	100724
1144514	72748
1144515	116116
1144601	103220
1144602	117988
1144603	115908
1144604	105872
1144605	86424
1144606	95836
1144607	98280
1144608	120848
1144609	55380
1144610	113412
1144611	115336
1144612	132652
1144613	87256
1144614	135668
1144615	109616
1144616	119548
1144617	121472
1144618	93132
1144619	113724
1144701	114400
1144702	76076
1144703	68796
1144704	101504
1144705	88816
1144706	68536
1144707	85540
1144708	93184
1144709	99632
1144710	98748
1144711	59852
1144712	48984
1144713	93860
1144714	96668
1144715	135408
1144716	136448
1144717	141700
1144718	91728
1144719	100256
1144720	111592
1144721	53924
1144722	76284
1144723	102856
1144724	159224
1144725	73892
1144726	99892
1144727	65676
1144728	73112
1144729	49764
1144730	79612
1144731	65416
1144732	
1144733	74360
1144734	81224
1144735	99112
1144736	140608
1144737	108888
1144738	51636
1144739	64428
1144740	88608
1144741	78832
1144742	97500
1144743	97500
1144801	94224
1144802	96200
1144803	118248
1144804	99632
1144805	102960
1144806	75608
1144807	105404
1144808	112372
1144809	119288
1144810	135356
1144811	103220
1144812	94900
1144813	119548
1144814	109356
1144815	106600
1144816	107484
1144817	111592
1144818	88348
1144819	85904
1144820	102336
1144821	83408
1144822	81224
1144823	83564
1144824	84500
1144901	53300
1144902	53612
1144903	54964
1144904	60112
1144905	67704
1144906	58500
1144907	56004
1144908	69836
1144909	60372
1144910	49972
1144911	63856
1144912	52832
1144913	46124
1144914	60112
1144915	49348
1145001	97448
1145002	55588
1145003	117884
1145004	115336
1145005	98176
1145006	119548
1145007	91572
1145008	98280
1145009	107588
1145010	77012
1145011	80600
1145012	96824
1145013	86892
1145014	89648
1145015	84500
1145016	65936
1145017	88348
1145018	89856
1145019	95836
1145020	118508
1145021	
1145022	105976
1145023	88348
1145024	92612
1145025	101816
1145026	79300
1145027	109876
1145028	110032
1145029	128180
1145030	119756
1145031	122148
1145032	122148
1145033	105716
1145034	126516
1145035	
1145036	112008
1145037	96044
1145038	106600
1145039	
1145040	111800
1145041	101140
1145042	134004
1145043	161772
1145044	112632
1145045	123448
1145046	96772
1145047	108524
1145048	99632
1145049	80184
1145050	110500
1145051	105144
1145101	84500
1145201	48516
1145202	57096
1145203	64220
1145204	52572
1145205	50336
1145206	43004
1145207	52468
1145208	50388
1145209	55536
1145210	50544
1145211	43056
1145212	49972
1145213	37856
1145214	40352
1145215	38636
1145216	61724
1145217	44356
1145218	71864
1145219	61360
1145220	58500
1145221	60112
1145222	35724
1145223	58240
1145224	60372
1145225	59228
1145226	61048
1145227	58084
1145228	65624
1145229	76180
1145230	53820
1145231	46436
1145232	59228
1145233	56836
1145234	56732
1145235	72280
1145236	49140
1145237	36608
1145301	58448
1145302	71864
1145303	73736
1145304	64220
1145305	75088
1145306	63752
1145307	72644
1145308	82524
1145309	78572
1145310	82836
1145311	83044
1145312	89336
1145313	97500
1145314	62816
1145315	83408
1145316	62816
1145317	
1145318	76232
1145319	87152
1145320	79612
1145321	78728
1145322	109044
1145323	65572
1145324	81900
1145325	79196
1145326	73736
1145327	79976
1145328	71500
1145401	93652
1145402	83200
1145403	97500
1145404	80340
1145405	100048
1145406	118040
1145407	108680
1145408	132132
1145409	110500
1145410	93600
1145411	113932
1145412	91832
1145413	81224
1145414	53508
1145415	52312
1145416	83304
1145417	82316
1145418	92612
1145419	87048
1145420	79976
1145421	77012
1145422	97500
1145423	71500
1145424	101088
1145425	73840
1145426	96564
1145427	83304
1145428	97500
1145429	87724
1145430	94796
1145431	90376
1145432	86216
1145433	102180
1145434	38532
1145435	87724
1145436	91780
1145437	116428
1145438	109200
1145439	98384
1145440	99632
1145441	92924
1145442	100724
1145443	93860
1145444	78936
1145445	94224
1145446	80184
1145447	105924
1145448	111800
1145449	96408
1145450	124072
1145451	58500
1145501	65312
1145502	63544
1145503	85748
1145504	61724
1145505	77324
1145506	65884
1145507	63232
1145508	61880
1145509	71500
1145510	59748
1145511	69316
1145512	66924
1145513	55068
1145514	75348
1145515	39884
1145601	
1145701	94692
1145702	110760
1145703	94224
1145704	63960
1145705	76076
1145706	84500
1145707	85488
1145708	70980
1145709	73996
1145710	97500
1145711	83096
1145712	75452
1145713	60008
1145714	66248
1145715	85228
1145716	72280
1145717	73996
1145718	74724
1145719	66872
1145720	79872
1145721	96252
1145722	92612
1145723	79092
1145724	100256
1145725	90012
1145726	92924
1145727	89076
1145728	109200
1145729	94588
1145730	99892
1145731	75504
1145732	108628
1145733	100256
1145734	95004
1145735	95316
1145736	98904
1145737	93756
1145738	83200
1145739	78572
1145740	92092
1145741	92872
1145801	107432
1145802	103012
1145803	98384
1145804	107536
1145805	88816
1145806	104728
1145807	110292
1145808	109512
1145809	97500
1145810	90012
1145811	91780
1145812	102492
1145813	91364
1145814	90428
1145815	109980
1145816	42744
1145817	95316
1145818	112008
1145819	89440
1145820	94224
1145821	79456
1145822	97500
1145823	93184
1145824	107692
1145825	103948
1145826	87724
1145827	83408
1145828	112216
1145829	109824
1145830	95056
1145831	124280
1145832	96668
1145833	34060
1145834	75504
1145835	84500
1145836	82836
1145837	93756
1145838	109616
1145839	111800
1145840	117000
1145841	128336
1145842	122148
1145843	42016
1145844	102336
1145845	88348
1145846	96200
1145847	99320
1145848	116012
1145849	114608
1145901	98748
1145902	84500
1145903	92612
1145904	85072
1145905	69108
1145906	104468
1145907	111436
1145908	81224
1145909	79976
1145910	90116
1145911	100724
1145912	80288
1145913	97032
1145914	117000
1145915	108628
1145916	105300
1145917	111228
1145918	97500
1145919	115232
1145920	122512
1145921	111800
1145922	119548
1145923	116220
1145924	114192
1145925	108732
1145926	96200
1145927	103324
1145928	77532
1145929	94536
1145930	91728
1145931	105404
1145932	25428
1145933	104520
1145934	108524
1146001	126880
1146002	131872
1146003	114088
1146004	104728
1146005	91520
1146006	183612
1146007	120224
1146008	118612
1146009	106600
1146010	92092
1146011	88088
1146012	123448
1146013	116480
1146014	103584
1146015	111488
1146016	95316
1146017	
1146018	128700
1146019	92768
1146020	111332
1146021	95316
1146022	104728
1146023	107900
1146024	119652
1146025	138632
1146026	99372
1146027	112840
1146028	112944
1146029	97500
1146030	132132
1146031	137800
1146032	98748
1146033	114972
1146034	109980
1146035	131976
1146036	110500
1146037	98904
1146038	99112
1146039	141700
1146040	126256
1146041	144820
1146042	139152
1146043	105300
1146044	114816
1146045	89648
1146046	98384
1146047	134680
1146048	118248
1146049	132756
1146101	76336
1146102	85124
1146103	95940
1146104	93444
1146105	76648
1146106	101660
1146107	93964
1146108	91884
1146109	92300
1146110	89856
1146111	101348
1146112	107120
1146113	65728
1146114	100048
1146115	92300
1146116	94692
1146117	83096
1146118	95524
1146119	80184
1146120	79144
1146121	76336
1146122	95836
1146123	91728
1146124	82628
1146125	102336
1146126	86424
1146127	71812
1146128	77012
1146129	48880
1146130	70096
1146131	92092
1146132	81900
1146133	
1146134	66196
1146135	66040
1146136	49556
1146137	70564
1146138	76440
1146139	84916
1146140	30836
1146141	76128
1146202	63492
1146203	68692
1146204	73840
1146205	85384
1146206	44980
1146207	70824
1146208	49244
1146209	87360
1146210	71500
1146211	113932
1146212	69056
1146213	73112
1146214	64584
1146215	
1146217	65572
1146218	60788
1146219	61256
1146220	101192
1146221	82316
1146223	66924
1146224	52520
1146225	68952
1146226	80184
1146227	44356
1146228	78260
1146229	109564
1146230	80184
1146231	98956
1146232	105872
1146233	107640
1146234	87256
1146235	98748
1146236	91624
1146237	75348
1146238	81588
1146239	83460
1146240	53196
1146241	133588
1146242	80756
1146243	49816
1146244	52728
1146245	55588
1146246	128804
1146301	109980
1146302	115804
1146303	95524
1146304	132392
1146305	120536
1146306	96200
1146307	97136
1146308	145704
1146310	122148
1146311	85540
1146312	118248
1146313	102336
1146314	87724
1146315	131144
1146316	105404
1146317	100048
1146318	47788
1146319	151632
1146320	112632
1146321	112632
1146401	62504
1146402	62608
1146403	57824
1146404	34060
1146405	46592
1146406	38220
1146407	114660
1146408	87204
1146409	57408
1146410	50752
1146411	63128
1146412	55224
1146413	43836
1146414	52416
1146415	71500
1146416	70460
1146417	40924
1146418	61984
1146419	56524
1146420	63804
1146421	35880
1146422	71500
1146423	63804
1146424	25740
1146425	50908
1146426	58500
1146427	
1146428	111540
1146429	66300
1146430	62504
1146431	91572
1146432	70044
1146433	50024
1146501	105924
1146502	
1146503	
1146504	130780
1146505	119964
1146507	109616
1146508	108316
1146509	122720
1146510	75608
1146511	76752
1146512	57564
1146513	106860
1146514	104936
1146515	124748
1146516	118976
1146601	82576
1146602	97500
1146603	85904
1146604	71500
1146605	68692
1146606	
1146607	84500
1146608	98540
1146609	61308
1146610	57876
1146611	81224
1146612	78676
1146613	79508
1146614	67444
1146615	97500
1146616	73996
1146617	75244
1146618	34996
1146619	51688
1146620	56576
1146621	42328
1146622	93860
1146623	62140
1146624	51012
1146625	71500
1146626	104520
1146627	71812
1146628	69212
1146629	57928
1146630	56472
1146631	71500
1146632	70772
1146633	66716
1146701	
1146702	96564
1146703	38948
1146704	47788
1146705	
1146706	
1146707	91416
1146708	
1146709	62192
1146710	56056
1146711	78624
1146712	94224
1146713	59176
1146714	66040
1146715	88504
1146716	80756
1146717	70824
1146718	82628
1146719	98176
1146720	75816
1146721	53924
1146722	71084
1146723	85904
1146724	67652
1146725	52728
1146726	58136
1146727	66300
1146728	102648
1146729	78884
1146730	122304
1146731	131300
1146732	140400
1146733	93860
1146734	64324
1146735	109200
1146736	98280
1146737	108108
1146738	75608
1146739	88348
1146740	94796
1146741	91780
1146742	81068
1146743	101348
1146744	85748
1146745	99632
1146801	95992
1146802	77116
1146803	99632
1146804	124384
1146805	92456
1146806	122148
1146807	101088
1146808	
1146809	
1146810	105820
1146811	77324
1146812	92612
1146813	93600
1146814	87724
1146815	82316
1146816	101348
1146817	91832
1146818	144144
1146819	132860
1146901	97500
1146902	107380
1146903	95316
1146904	106184
1146905	101504
1146906	112632
1146907	
1146908	
1146909	119808
1146910	107692
1146911	124280
1146912	103116
1146913	115128
1146914	112268
1146915	114400
1146916	118716
1146917	133692
1146918	110968
1146919	89076
1146920	103428
1147001	91832
1147002	82316
1147003	96616
1147004	95316
1147005	107588
1147006	87308
1147007	96356
1147008	91780
1147009	92508
1147010	96200
1147011	96200
1147012	95108
1147013	95212
1147014	84500
1147015	110812
1147016	97500
1147017	87984
1147018	82836
1147019	90428
1147020	99788
1147021	106704
1147022	97500
1147023	112632
1147024	107952
1147026	96096
1147027	93184
1147028	89648
1147029	105716
1147030	97500
1147031	113568
1147032	88192
1147033	82628
1147034	102856
1147035	97500
1147036	85852
1147037	93704
1147038	77532
1147039	101088
1147040	94536
1147042	97500
1147043	112632
1147044	108316
1147045	105924
1147046	105976
1147047	92040
1147301	89336
1147302	122824
1147303	120224
1147304	118768
1147305	105144
1147306	
1147307	
1147308	134004
1147309	136500
1147310	102336
1147311	114868
1147312	88400
1147313	140816
1147316	109720
1147317	
1147318	117000
1147319	134316
1147320	160888
1147321	85176
1147322	82732
1147323	73632
1147324	114816
1147325	107848
1147326	101556
1147327	102908
1147328	108004
1147329	98748
1147330	111436
1147501	
1147601	105820
1147602	122356
1147603	93704
1147604	79976
1147605	89076
1147606	76440
1147607	123968
1147608	128700
1147609	107068
1147610	110864
1147611	112632
1147612	83824
1147613	100724
1147614	81224
1147615	103116
1147616	101816
1147617	95836
1147618	104780
1147619	115128
1147620	120848
1147621	115804
1147622	132756
1147623	84864
1147624	94224
1147625	106028
1147626	98176
1147627	120224
1147628	83096
1147629	81224
1147630	79300
1147631	96304
1147632	108940
1147633	97864
1147634	91780
1147635	99632
1147636	82316
1147637	115960
1147638	77012
1147639	89752
1147640	122980
1147641	72280
1147642	129116
1147643	128336
1147644	113724
1147645	100724
1147646	111020
1147647	80132
1147648	101348
1147649	121576
1147650	97500
1147651	85176
1147652	102180
1147653	115128
1147654	100724
1147655	113724
1147656	40872
1147701	95836
1147702	
1147703	86632
1147704	91676
1147705	
1147706	77116
1147707	105196
1147708	83564
1147709	63648
1147710	68900
1147711	52936
1147712	88192
1147713	78884
1147714	92612
1147715	77376
1147716	49348
1147717	46280
1147718	110760
1147719	88816
1147720	106808
1147721	44200
1147722	66612
1147723	
1147724	79040
1147725	91780
1147726	111800
1147727	99112
1147728	88348
1147729	110500
1147730	
1147731	107016
1147732	105456
1147733	57668
1147734	76544
1147735	71500
1147736	77220
1147737	101608
1147738	98384
1147739	
1147740	96096
1147741	98540
1147742	85020
1147743	68484
1147744	73944
1147745	101660
1147746	86424
1147747	93184
1147748	40248
1147749	102492
1147750	95836
1147751	72540
1147752	59748
1147801	77116
1147802	100984
1147803	54184
1147804	128492
1147805	73008
1147806	24024
1147807	59124
1147808	81900
1147809	51064
1147810	119860
1147811	106340
1147812	97500
1147813	103220
1147814	114400
1147815	105092
1147816	104468
1147817	79924
1147818	104780
1147819	98072
1147820	38324
1147821	92092
1147822	67184
1147823	70044
1147824	72280
1147825	99632
1147826	100724
1147827	87724
1147828	43004
1147829	69316
1147830	85228
1147831	90324
1147832	85384
1147833	107536
1147834	100048
1147835	120848
1147836	96980
1147837	82056
1147838	81900
1147901	61048
1147902	69836
1147903	65624
1147904	65624
1147905	59020
1147906	67756
1147907	62504
1147908	69836
1147909	
1147910	70304
1147911	68796
1147912	40040
1147913	65468
1147914	62660
1147915	46540
1147916	42172
1147917	
1147918	63804
1147919	64324
1147920	41132
1147921	65936
1147922	60840
1147923	67756
1147924	60476
1147925	60840
1147926	76596
1147927	78676
1147928	
1147929	63856
1147930	70304
1147931	33956
1147932	50232
1147933	60112
1147934	63180
1147935	90948
1147936	
1147937	
1147938	
1147939	58500
1147940	60424
1147941	51012
1147942	69004
1147943	62296
1148001	49348
1148002	45032
1148003	40976
1148004	40768
1148005	65832
1148006	65312
1148007	67444
1148008	62816
1148009	59176
1148010	63648
1148011	66612
1148012	47372
1148013	65520
1148014	53300
1148015	72852
1148016	35204
1148017	43316
1148018	
1148019	57408
1148020	65572
1148021	62348
1148022	70408
1148023	44408
1148024	102076
1148025	41964
1148026	50440
1148027	43680
1148028	50804
1148029	57772
1148030	45916
1148031	43420
1148032	71968
1148101	71864
1148102	72644
1148103	67600
1148104	72280
1148105	74152
1148106	73944
1148107	79040
1148108	76648
1148109	33020
1148110	61984
1148111	66768
1148112	68380
1148113	74048
1148114	65468
1148115	52572
1148116	67600
1148117	70200
1148118	79612
1148119	69732
1148120	71968
1148121	64532
1148122	66196
1148123	70408
1148124	56420
1148125	80236
1148126	71500
1148127	45032
1148128	77428
1148129	65936
1148130	61724
1148131	50856
1148132	49556
1148133	
1148134	
1148135	57304
1148136	87724
1148137	78780
1148138	62816
1148139	79768
1148140	71500
1148141	71500
1148142	72956
1148143	
1148144	
1148145	82108
1148146	76076
1148202	143000
1148203	153088
1148205	78884
1148206	72904
1148207	
1148208	104624
1148209	105092
1148210	84500
1148211	83200
1148212	78520
1148213	79300
1148214	54756
1148215	80964
1148216	65884
1148217	70824
1148218	79248
1148219	70304
1148220	89024
1148221	88816
1148222	92300
1148223	78728
1148224	93028
1148225	78884
1148226	81224
1148227	75504
1148228	87984
1148229	69316
1148230	74152
1148231	79404
1148232	81900
1148233	71500
1148234	94900
1148235	86112
1148236	104520
1148237	94536
1148238	80756
1148239	91780
1148240	70408
1148241	90324
1148242	89492
1148243	101192
1148244	97500
1148245	84500
1148246	85540
1148247	94588
1148248	88920
1148249	86320
1148250	72904
1148251	86320
1148252	91676
1148253	85176
1148254	82524
1148255	81796
1148257	90116
1148258	73320
1148259	131248
1148260	132860
1148261	130884
1148262	128492
1148263	117676
1148264	61152
1148301	48724
1148302	57772
1148303	41288
1148304	49920
1148305	64012
1148306	33748
1148307	55796
1148308	37180
1148309	57668
1148310	44512
1148311	48360
1148312	66456
